;south;dakota;thank;state;work;learn;week;support;thanks;sd;students;great;family;bill;life;proud;families;night;people;business;legislation;sb;157;year;happy;health;pierre;legislative;high;together;visiting;communities;future;show;signed;capitol;birthday;serve;safety;forward;tune;enjoyed;leadership;@realdonaldtrump;everyone;generation;rushmore;enjoy;working;learning;farmers;love;house;@lgrhoden;mount;program;page;#southdakotaopenforbusiness;talk;experience;grateful;kids;session;highlighting;next;strong;notebook;farm;favorite;engage;young;practice;advocates;grow;stronger;stories;beautiful;coming;reality;forever;senior;photo;marliss;progress;red;four;help;chargers;place;flags;celebrate;schoolers;opportunities;pages;morning;create;behalf;hope;#hifromsd;safe
south;0;28;4;0;0;10;2;6;2;0;0;0;2;2;2;0;0;0;8;2;6;6;6;4;0;4;2;0;0;4;2;4;4;2;4;0;2;4;0;0;0;2;2;0;0;2;2;4;2;2;0;0;0;0;2;0;0;2;2;0;2;2;0;2;2;2;0;2;0;0;6;2;0;2;2;2;2;0;0;0;0;0;2;0;2;2;2;0;2;0;4;0;0;0;0;2;0;0;0;0
dakota;0;0;6;0;0;8;2;2;2;0;0;0;2;2;2;0;0;0;8;2;2;4;4;4;0;4;2;0;0;2;2;4;4;0;2;0;2;4;0;0;0;2;2;0;0;4;2;4;2;2;0;0;0;0;2;0;0;2;0;0;2;2;0;2;4;2;0;2;2;0;6;2;0;2;4;2;2;0;0;0;0;0;2;0;2;0;2;0;2;0;4;0;0;0;0;2;0;2;0;0
thank;0;0;0;0;4;0;0;2;0;2;2;4;0;4;0;2;2;2;0;0;0;2;2;0;0;2;4;4;2;0;4;4;2;0;0;0;0;2;2;0;0;4;2;2;2;4;2;0;0;2;2;0;4;0;2;2;2;0;2;2;0;0;0;2;4;0;0;4;4;0;2;2;0;2;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0
state;0;0;0;0;6;2;0;0;0;8;4;4;0;0;2;4;2;0;0;2;0;0;0;2;0;0;0;2;2;4;0;0;0;0;2;2;0;0;0;4;0;0;4;2;0;0;0;0;2;2;2;2;0;0;0;2;2;0;0;2;2;0;2;0;0;0;0;0;0;6;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;0;0;0;2;0;2;2;0;0;2;0;0;2;0
work;0;0;0;0;0;6;2;0;2;4;4;6;2;4;2;4;4;0;0;0;0;0;0;0;0;0;0;4;6;2;0;0;0;0;2;0;0;0;2;2;0;2;0;2;0;0;0;2;0;0;2;0;0;0;0;4;4;0;2;4;2;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;4;4;0;0;0;2;2;0;2
learn;0;0;0;0;0;0;4;2;2;2;2;6;2;2;2;0;2;0;4;2;4;2;2;2;0;2;0;2;4;0;2;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;2;2;0;2;2;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;4;2;0;0;2;0;2;0;0
week;0;0;0;0;0;0;0;0;0;0;2;4;2;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;4;0;0;2;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0
support;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;0;2;2;2;4;4;6;6;0;0;0;2;0;0;2;2;4;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0
thanks;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;2;0;2;0;2;0;0;0;0;2;0;2;0;2;0;0;0;2;0;2;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;2;0;0;2;0;0;0
sd;0;0;0;0;0;0;0;0;0;0;2;4;2;2;0;2;4;4;0;2;0;2;2;0;0;0;2;2;2;2;0;2;2;0;0;0;0;0;0;4;0;0;2;2;2;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;2;2;2;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;2;0;0;4;0;2;0;2;0;0;0;2;2;0;2;2;0;0;0;0
students;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;4;4;0;0;4;2;0;4;0;0;0;0;0;0;4;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0
great;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;2;0;0;2;4;2;4;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;4;2;2;0;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;4;2;0;2;0;0;2;0;0
family;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;0;0;0;0
bill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;2;0;0;0;0;2;2;0;4;0;0;0;2;2;0;2;0;0;2;0;0;2;2;0;2;0;4;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0;4;0;0;2
life;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0
proud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;4;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0
families;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;0;0;2;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
night;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0
