;health;city;covid19;public;people;toronto;physical;distancing;safe;housing;@topublichealth;new;safely;streets;live;music;important;work;community;pandemic;staff;cycling;move;affordable;venues;continue;working;support;follow;along;parks;help;ontario;lanes;torontos;bike;stay;outdoors;across;recovery;everyone;testing;areas;relief;still;university;citys;together;provincial;staying;local;space;enjoy;active;tips;weekend;may;care;spaces;part;find;provide;protect;distance;take;access;cant;please;household;learn;province;cities;mental;lake;clear;mask;shore;reopening;months;measures;residents;reopen;data;means;create;2;6;use;program;forward;outside;coming;good;road;pedestrians;place;plan;home;summer;heat
health;0;36;44;62;8;20;28;20;12;12;22;16;8;4;2;0;16;12;10;6;16;16;8;2;0;10;10;12;12;6;2;10;22;6;8;8;10;14;4;10;10;12;4;0;6;8;8;6;12;14;6;6;2;8;6;6;2;18;0;6;6;2;6;4;4;14;6;6;6;0;14;4;24;0;14;2;0;10;2;12;4;6;10;6;4;4;4;2;6;12;10;2;12;0;0;6;4;6;6;0
city;0;0;42;30;24;40;20;24;24;6;4;10;6;12;18;14;8;20;16;18;32;6;10;2;12;14;12;10;2;10;14;10;2;12;4;12;2;4;24;4;10;2;10;12;8;6;2;8;8;4;14;12;10;4;2;14;12;6;8;4;8;16;2;4;6;10;4;6;4;2;2;6;2;6;2;0;6;4;2;8;6;2;8;4;8;6;0;0;6;10;6;6;0;0;6;4;6;4;10;4
covid19;0;0;0;22;20;16;14;12;20;16;24;20;6;2;12;6;8;18;8;22;8;4;8;8;6;12;12;6;6;2;4;8;10;4;6;4;6;2;10;10;14;2;10;8;2;0;12;6;6;4;8;2;0;2;6;2;6;4;6;6;4;6;4;2;4;14;8;4;10;4;4;8;0;0;8;0;0;4;2;6;0;0;12;4;2;4;0;2;4;6;0;0;4;2;0;4;8;4;6;4
public;0;0;0;0;12;24;16;16;8;4;6;4;8;8;0;0;10;8;0;8;12;0;8;2;0;10;14;2;4;4;10;8;12;4;6;4;6;6;10;8;4;10;2;0;2;2;6;4;10;2;4;12;4;0;0;4;0;2;8;4;0;6;4;2;4;8;2;4;2;0;10;0;0;0;10;0;0;8;2;12;0;2;8;0;2;2;2;2;6;10;2;4;2;0;2;6;2;4;4;0
people;0;0;0;0;0;6;16;16;14;6;4;6;32;22;6;0;10;4;2;14;4;12;14;6;0;0;14;4;4;8;16;2;0;14;2;12;4;10;12;8;2;4;2;4;4;6;4;10;6;4;0;18;4;4;0;2;0;4;14;2;2;0;6;8;2;8;0;2;4;2;2;2;2;2;2;0;2;2;0;2;2;0;2;2;8;2;0;2;6;2;8;2;6;0;6;2;2;2;2;4
toronto;0;0;0;0;0;0;10;8;4;0;2;8;4;4;12;14;0;8;12;2;12;4;2;2;8;10;6;6;2;4;6;6;6;6;8;6;0;0;4;2;2;4;6;2;2;2;2;2;6;2;8;2;4;2;0;2;2;0;4;4;2;8;2;4;4;0;4;4;4;0;2;6;2;2;2;0;0;6;2;8;2;8;2;8;0;0;0;2;0;4;4;4;4;0;4;4;2;6;4;0
physical;0;0;0;0;0;0;0;70;26;2;24;10;10;14;2;0;16;2;0;4;4;8;6;2;0;16;4;2;14;4;12;6;2;8;2;10;14;22;10;2;8;0;10;0;4;6;4;2;2;16;0;16;8;12;6;8;4;2;10;6;2;4;6;12;6;0;0;4;8;8;2;4;16;0;4;8;0;4;0;4;8;4;2;4;8;10;10;4;6;0;12;0;8;4;2;2;2;2;2;0
distancing;0;0;0;0;0;0;0;0;24;2;14;8;14;14;2;0;16;2;0;4;6;4;6;2;0;16;4;2;6;4;12;6;2;10;2;10;8;18;10;2;10;0;10;0;4;6;4;2;2;10;0;18;10;4;4;10;4;2;8;6;2;4;6;4;6;2;0;4;6;8;2;4;8;2;2;8;2;4;0;4;8;4;2;4;8;8;10;2;6;0;10;0;4;2;0;2;2;2;2;0
safe;0;0;0;0;0;0;0;0;0;4;12;2;0;12;2;2;8;8;0;12;4;6;6;4;2;10;4;0;10;2;4;4;4;6;2;6;14;12;2;0;12;2;8;4;4;4;2;4;0;6;2;6;10;8;8;4;6;8;6;8;2;0;4;6;4;0;2;2;0;4;4;2;4;0;0;4;0;4;0;4;6;2;4;2;6;4;8;2;6;2;4;0;2;2;0;0;0;0;4;6
housing;0;0;0;0;0;0;0;0;0;0;0;12;0;4;0;0;6;6;6;4;2;0;0;22;0;0;2;2;0;0;0;0;0;0;8;0;0;0;0;4;2;2;2;0;0;0;6;0;0;0;0;2;0;0;0;0;0;4;4;2;0;0;2;0;2;6;2;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;4;6;4;0;0;2;4;0;0;0;0;0;0
@topublichealth;0;0;0;0;0;0;0;0;0;0;0;2;12;0;0;0;14;2;2;6;4;4;2;0;0;6;6;4;28;0;0;4;0;0;2;0;12;14;2;4;10;0;2;0;6;0;0;0;0;14;6;0;6;16;24;2;0;2;0;4;2;0;12;12;4;4;2;4;10;12;0;0;12;0;2;16;0;0;0;0;0;2;4;0;0;2;8;4;0;2;10;0;4;0;0;0;4;0;2;0
