;senate;president;impeachment;democrats;partisan;families;work;country;proud;coal;stand;discuss;trial;washington;defending;#kentucky;put;new;process;communities;trump;strong;nation;framers;presidents;house;believe;kentuckys;institutions;great;lincoln;miners;life;abraham;take;#kyindc;presidency;protect;conclusion;kentucky;reckless;et;floor;thank;longterm;world;economy;power;republic;norms;national;speak;week;@bretbaier;proved;watch;job;innocent;trumps;state;confirming;shortterm;senates;colleagues;office;army;men;human;@foxnews;recovery;attack;couldnt;firewall;businesses;iowa;position;honor;joining;women;priorities;whove;safe;union;think;entire;honored;law;talk;tonight;@kyfb;bluegrass;individuals;friends;workers;preparing;farm;architects;gain;treasured;divided
senate;0;10;4;6;10;2;2;2;0;0;0;0;4;2;0;2;2;2;4;0;2;2;0;6;2;6;0;0;2;2;2;0;0;2;2;2;2;0;2;0;4;0;4;2;0;0;0;2;2;0;0;2;2;0;2;0;0;0;4;2;2;4;0;2;2;0;0;0;0;0;2;0;4;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0
president;0;0;0;6;4;4;2;2;4;2;2;0;2;4;0;2;2;2;0;4;8;4;0;2;0;4;2;2;2;0;2;2;2;2;2;0;4;2;0;2;2;0;0;0;0;0;2;2;0;0;2;0;2;0;2;0;0;0;4;4;2;2;0;2;2;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0
impeachment;0;0;0;2;4;0;0;0;0;0;0;6;6;0;4;0;0;0;6;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;2;0;6;0;2;4;4;0;0;0;0;2;2;4;0;2;0;2;2;4;0;0;0;0;0;0;4;0;2;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;2;0;0;0
democrats;0;0;0;0;4;0;2;2;0;0;0;0;0;4;0;0;2;2;2;0;2;0;0;0;0;2;2;0;2;0;0;0;0;0;4;0;4;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;2;4;0;0;4;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2
partisan;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;4;2;6;0;0;4;0;0;0;0;0;0;0;2;0;0;0;4;0;2;0;0;0;0;2;4;2;0;0;0;0;4;0;0;0;0;0;0;4;0;2;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0
families;0;0;0;0;0;0;2;2;4;4;4;0;0;2;0;4;0;0;0;4;2;2;2;0;0;0;0;2;0;2;2;4;0;2;0;4;0;2;0;0;0;0;0;4;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;2;2;0;0;2;0;0;0;4;0;0;2;2;0;2;0;0;2;0
work;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;6;0;2;2;4;2;0;0;0;0;0;0;2;0;2;2;0;0;2;0;4;0;4;0;2;0;0;0;2;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;4;0;0;2;0;2;0;2;2;0;0;0;2;2;0;0;2;0;0;0;0;0;2;0;0;0;2
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;2;0;0;2;0;0;2;2;0;0;2;0;0;2;0;0;0;0;2;2;0;2;2;0;0;2;2;0;2;2;4;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
proud;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;4;0;0;0;6;4;0;2;0;0;0;0;4;0;0;0;4;0;0;0;2;0;6;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;4;2;0;0;0;0;2;0;2;0;0;0;0;2;0
coal;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;2;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0
