Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter,TweetsTokenized
"As we gradually and methodically lift restrictions aimed at combating the coronavirus, it is incumbent upon South Carolinians to follow to the guidance and recommendations provided by our public health experts to keep themselves and their loved ones safe. (1/)",284,2020-05-08 20:29:00,TweetDeck,184,49,henrymcmaster,1258856450975133696,,16335288,False,https://t.co/F7W8nZSVAV,en,May,Q2,"['gradually', 'methodically', 'lift', 'restrictions', 'aimed', 'combating', 'coronavirus', 'incumbent', 'upon', 'south', 'carolinians', 'follow', 'guidance', 'recommendations', 'provided', 'public', 'health', 'experts', 'loved', 'ones', 'safe', '1']"
"Today is Public Servant Recognition Day, part of Public Servant Recognition Week in South Carolina. This year especially please take a moment to thank the public servants who have worked tirelessly through this pandemic to maintain vital services on which we rely. #TeamSC",296,2020-05-06 12:15:00,TweetDeck,212,68,henrymcmaster,1258007352948617217,,16335288,False,https://t.co/i9wAodm9ZA,en,May,Q2,"['public', 'servant', 'recognition', 'part', 'public', 'servant', 'recognition', 'week', 'south', 'carolina', 'year', 'especially', 'please', 'take', 'moment', 'thank', 'public', 'servants', 'worked', 'tirelessly', 'pandemic', 'maintain', 'vital', 'services', 'rely', '#teamsc']"
"Thank you to #TeamSC for working quickly to develop , a one-stop-shop for South Carolinians to get help and information related to #COVID19. We will be continually updating it as the situation and our response to it evolve.",270,2020-05-05 21:24:57,Twitter for iPhone,87,19,henrymcmaster,1257783364158971904,,16335288,False,https://t.co/Nl5VqysXnc,en,May,Q2,"['thank', '#teamsc', 'working', 'quickly', 'develop', 'onestopshop', 'south', 'carolinians', 'help', 'information', 'related', '#covid19', 'continually', 'updating', 'situation', 'response', 'evolve']"
"I have proclaimed tomorrow a statewide day of prayer in South Carolina—for those who have lost loved ones, for our frontline workers, and for all of us as we work to recover from this pandemic.",217,2020-05-02 21:35:27,Twitter for iPhone,1270,314,henrymcmaster,1256698846492667904,,16335288,False,https://t.co/Bj9fQBJDD0,en,May,Q2,"['proclaimed', 'tomorrow', 'statewide', 'prayer', 'south', 'carolinafor', 'lost', 'loved', 'ones', 'frontline', 'workers', 'work', 'recover', 'pandemic']"
This is welcome news for the communities affected by the tornadoes. Thank you @realDonaldTrump for the disaster declaration.,148,2020-05-02 20:33:27,Twitter for iPhone,114,29,henrymcmaster,1256683243367251968,,16335288,False,https://t.co/RAUYbEL5r1,en,May,Q2,"['welcome', 'news', 'communities', 'affected', 'tornadoes', 'thank', '@realdonaldtrump', 'disaster', 'declaration']"
"@postandcourier @GrantSSC @Citadel1842 Grant, Thank you for the wonderful masks and your service to our state.  They are great.  We will have them distributed and put to good use.  I look forward to thanking you in person real soon.",232,2020-05-02 00:17:48,Twitter for iPhone,34,8,henrymcmaster,1256377314201481216,14693499.0,16335288,False,,en,May,Q2,"['@postandcourier', '@grantssc', '@citadel1842', 'grant', 'thank', 'wonderful', 'masks', 'service', 'state', 'great', 'distributed', 'put', 'good', 'use', 'forward', 'thanking', 'person', 'real', 'soon']"
"South Carolinians, now more than ever, should be vigilant in protecting themselves, their loved ones, and their communities by practicing social distancing and continuing to follow the advice and recommendations from our public health experts.",267,2020-05-01 20:19:42,TweetDeck,450,134,henrymcmaster,1256317392923193344,,16335288,False,https://t.co/hYgmPiKHpQ,en,May,Q2,"['south', 'carolinians', 'vigilant', 'protecting', 'loved', 'ones', 'communities', 'practicing', 'social', 'distancing', 'continuing', 'follow', 'advice', 'recommendations', 'public', 'health', 'experts']"
"If you haven't already, please take the time to fill out the #2020Census questionnaire  to make sure every South Carolinian is counted.",183,2020-05-01 14:03:28,TweetDeck,73,24,henrymcmaster,1256222711870783489,,16335288,False,https://t.co/IhbUy0vhLL,en,May,Q2,"['havent', 'please', 'take', 'fill', '#2020census', 'questionnaire', 'south', 'carolinian', 'counted']"
"Team South Carolina stands ready to help NASCAR restart the season at Darlington Raceway with three races next month that can be enjoyed by fans from home on television, radio, and online. (2/2)",194,2020-04-30 19:42:48,Twitter Web App,171,29,henrymcmaster,1255945718562353152,16335288.0,16335288,False,,en,April,Q2,"['team', 'south', 'carolina', 'stands', 'ready', 'help', 'nascar', 'restart', 'season', 'darlington', 'raceway', 'races', 'next', 'month', 'enjoyed', 'fans', 'home', 'television', 'radio', 'online', '22']"
"As our nation restarts, I can think of no better place for NASCAR to drop the green flag than at Darlington Raceway in South Carolina. (1/2)",164,2020-04-30 19:42:47,Twitter Web App,489,103,henrymcmaster,1255945717153058816,,16335288,False,https://t.co/ef8r7nle2j,en,April,Q2,"['nation', 'restarts', 'think', 'place', 'nascar', 'drop', 'green', 'flag', 'darlington', 'raceway', 'south', 'carolina', '12']"
Thank you!,34,2020-04-29 14:57:14,Twitter for iPhone,98,19,henrymcmaster,1255511467576754176,,16335288,False,https://t.co/L1wvP6a6M0,en,April,Q2,['thank']
"A million thanks to @Boeing, Discommon, Prisma Health, and everyone else who made today’s delivery of 1,500,000 masks for our frontline workers possible—another stellar example of communication, cooperation, and collaboration in South Carolina.",268,2020-04-27 00:02:40,Twitter for iPhone,429,72,henrymcmaster,1254561566474764288,,16335288,False,https://t.co/Ez1OqnqxMA,en,April,Q2,"['million', 'thanks', '@boeing', 'discommon', 'prisma', 'health', 'everyone', 'else', 'todays', 'delivery', '1500000', 'masks', 'frontline', 'workers', 'possibleanother', 'stellar', 'example', 'communication', 'cooperation', 'collaboration', 'south', 'carolina']"
"Today we held our first meeting of #accelerateSC, a superb group of healthcare professionals, business leaders, public officials, and educators that is working on the plan to get South Carolina back up and running at full speed as soon as it is safe to do so.",283,2020-04-23 23:01:25,Twitter for iPhone,380,41,henrymcmaster,1253458986743009295,,16335288,False,https://t.co/6r9TaIFcjf,en,April,Q2,"['held', 'meeting', '#acceleratesc', 'superb', 'group', 'healthcare', 'professionals', 'business', 'leaders', 'public', 'officials', 'educators', 'working', 'plan', 'south', 'carolina', 'running', 'full', 'speed', 'soon', 'safe']"
"Finally we want to thank all of our parents who have had to step up to be educators quickly and unexpectedly. We know that this has not been easy, and we thank you for your understanding, cooperation, and hard work.

(3/)",221,2020-04-22 16:56:11,Twitter Web App,79,9,henrymcmaster,1253004685591576579,16335288.0,16335288,False,,en,April,Q2,"['finally', 'thank', 'parents', 'step', 'educators', 'quickly', 'unexpectedly', 'easy', 'thank', 'understanding', 'cooperation', 'hard', 'work3']"
