;new;#covid19;mexico;health;home;covid19;stay;state;announced;additional;cases;positive;#alltogethernm;spread;mexicans;@nmdoh;officials;tests;currently;info;public;totaling;related;pandemic;bringing;testing;safe;slow;deaths;information;#askgovmlg;statewidesadly;update;mexicos;unemployment;virus;lives;continue;order;federal;businesses;care;essential;community;staying;please;people;support;benefits;may;thank;social;#stayhomesavelives;death;save;face;help;tomorrow;week;provide;emergency;protect;todays;live;tune;ensure;actions;online;insurance;reopening;part;la;workers;assistance;receive;government;crisis;funds;criteria;staff;critical;important;@nmdws;risk;work;economy;across;residents;reality;distancing;still;family;statewide;fight;available;watch;en;nursing;working;thanks
new;0;134;174;112;64;96;58;102;64;66;78;68;54;46;80;50;68;64;62;60;36;60;56;38;56;14;26;28;44;20;22;44;22;40;20;22;24;22;16;30;16;16;16;14;18;20;16;18;16;12;10;12;12;20;18;10;18;10;12;10;14;12;6;14;6;14;10;8;10;14;14;0;16;12;10;16;12;12;6;10;12;12;12;10;8;8;12;6;14;12;8;4;4;12;14;10;0;4;10;8
#covid19;0;0;88;78;32;62;32;74;58;66;78;62;34;38;32;50;62;58;52;56;24;54;48;24;50;10;6;26;40;20;0;44;24;26;6;12;14;12;10;2;8;18;4;6;8;8;6;6;8;6;8;10;10;14;10;6;4;6;2;12;8;8;10;14;6;12;4;2;8;4;8;6;4;0;2;2;12;4;2;10;4;6;4;2;6;6;4;4;2;10;0;2;4;8;4;12;2;0;4;0
mexico;0;0;0;80;32;78;34;76;60;62;72;62;26;30;14;50;56;58;56;56;12;56;54;16;52;8;10;18;40;16;14;44;4;0;6;10;10;18;6;20;14;10;6;8;8;12;10;10;4;8;2;6;6;18;6;0;12;4;4;0;6;4;2;4;0;8;4;4;4;4;6;0;4;6;6;6;8;6;4;4;8;4;2;0;6;0;12;4;4;4;4;0;0;8;6;2;0;2;2;2
health;0;0;0;0;32;62;28;74;56;58;56;56;22;20;16;44;58;56;54;58;50;56;52;8;52;4;14;12;38;4;6;44;4;14;0;8;4;10;20;8;4;20;10;12;6;8;8;8;0;10;8;2;2;16;4;4;6;4;2;0;20;6;0;0;0;6;6;0;2;4;2;0;8;0;2;6;6;2;2;6;4;4;0;4;2;0;4;0;2;0;0;2;0;0;0;0;0;0;4;0
home;0;0;0;0;0;24;86;14;4;4;8;10;32;46;28;8;4;6;2;4;18;4;2;12;2;4;18;36;4;4;18;0;4;12;0;16;24;12;12;2;4;10;18;18;28;12;10;2;0;8;4;8;10;4;20;6;4;0;2;6;6;10;2;2;2;6;12;0;0;4;14;0;6;0;0;2;2;0;2;2;6;2;0;10;6;0;0;8;6;2;6;4;0;6;0;2;0;6;2;4
covid19;0;0;0;0;0;0;24;64;64;56;66;66;10;26;18;56;60;60;56;58;4;58;58;10;54;14;4;18;44;8;16;44;6;6;4;8;4;6;2;4;2;6;8;4;4;8;8;0;4;2;4;4;8;14;6;2;2;0;6;4;4;2;4;4;4;2;2;0;2;0;6;6;6;0;0;4;2;0;8;0;10;4;2;2;4;0;0;6;8;2;4;2;6;2;0;4;4;6;4;4
stay;0;0;0;0;0;0;0;12;2;2;10;6;32;42;24;4;4;4;2;2;16;2;2;18;0;6;16;34;2;6;18;0;0;8;2;16;14;16;10;6;6;10;16;12;10;12;12;0;2;4;4;4;8;2;12;6;4;0;2;2;6;6;0;2;2;6;6;0;2;2;14;0;2;2;0;6;2;2;0;2;6;4;2;8;8;0;0;4;6;0;2;2;0;6;2;0;0;2;2;2
state;0;0;0;0;0;0;0;0;58;56;60;58;16;10;14;48;66;56;56;58;12;56;52;10;52;4;8;4;38;0;8;44;10;18;4;4;2;8;6;10;4;4;2;4;4;2;2;10;4;6;2;2;6;18;0;8;8;0;0;12;2;6;0;10;8;2;2;0;0;6;4;0;6;4;2;10;6;6;0;0;0;4;4;4;0;2;12;2;2;2;2;0;2;4;6;8;0;2;4;2
announced;0;0;0;0;0;0;0;0;0;62;66;66;0;4;2;52;56;62;56;58;0;58;56;0;54;6;0;2;42;0;2;44;4;0;2;0;0;0;2;0;0;6;0;0;0;2;4;2;0;0;0;0;2;14;0;0;0;0;6;0;0;0;6;0;0;0;0;0;2;0;0;6;0;0;0;0;0;0;6;4;0;0;2;0;0;0;0;6;0;0;2;0;6;0;0;0;0;6;0;4
additional;0;0;0;0;0;0;0;0;0;0;62;62;0;6;6;48;56;60;54;56;2;56;52;2;52;4;0;2;38;2;0;44;2;0;4;0;0;0;6;2;2;4;4;0;2;2;0;0;4;6;0;8;2;14;0;6;0;2;2;6;2;0;4;0;0;2;2;4;2;0;0;4;0;4;4;0;0;0;0;6;0;0;2;0;0;0;0;4;0;4;0;0;0;0;2;0;0;0;0;0
