;new;state;big;help;people;residents;great;war;call;thank;community;work;future;city;programs;members;todays;forward;everyone;invest;continue;president;family;move;canadians;support;iran;families;budget;services;step;investigation;moment;country;key;3;building;justice;ensure;24;trumps;neglect;days;park;answers;take;media;abuse;love;free;ottawa;breaking;education;colleges;child;missouri;communities;full;life;stand;yorkers;watch;world;plan;working;safety;donald;together;ukraine;congress;taking;congratulations;protect;generation;medical;vote;stop;paid;best;emissions;visit;build;week;equity;democrats;arizona;expressway;necessary;2020;resources;important;leadership;air;answered;trump;million;allies;ready;question;home
new;0;4;0;4;2;2;2;0;0;0;0;0;2;6;0;0;2;0;2;0;0;0;4;0;0;0;0;2;0;2;2;0;0;0;0;0;2;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;4;2;2;2;0;0;0;0;0;0;4;0;2;0;4;0;0;2;2;2;0;2;0;0;0;2;0;2;2;2;0;0;2;0;0;0;0;0;0;2
state;0;0;0;4;4;2;4;0;0;0;4;0;0;0;0;2;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0
big;0;0;0;0;0;0;2;0;0;0;2;0;4;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;4;0;2;0;0;2;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0
help;0;0;0;0;2;0;2;0;2;0;2;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2
people;0;0;0;0;0;2;2;4;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0
residents;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;2
great;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;2;2;2;0;4;0;0;2;4;0;0;0;0;2;0;2;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0
war;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
call;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;2;0;0;2;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
