;trudeau;canadians;justin;conservatives;canadas;letting;trudeaus;canada;pandemic;liberals;parliament;world;help;month;government;canadian;chinese;work;mps;#backtoworkbonus;shut;behalf;heritage;deserve;important;live;party;fall;liberal;celebrating;celebrate;across;thank;think;leadership;foreign;businesses;country;fix;programs;national;remember;still;community;lost;questioning;communist;spending;support;economic;weak;democracy;unacceptable;public;accountability;enough;debate;marks;update;stand;hes;bank;approach;workers;attend;months;peoples;auditor;keeps;cerb;affairs;spent;hong;nothing;communities;oversight;conservative;committed;minister;pay;serve;generous;issues;flexible;local;people;12;principles;times;coptic;provide;new;difficult;million;best;inaction;plan;instead;6;general
trudeau;0;36;52;12;6;20;4;6;10;14;14;2;0;4;12;4;6;2;6;0;12;2;2;8;2;8;6;12;8;0;2;0;0;10;4;4;0;2;8;8;2;0;6;4;4;8;4;4;0;4;4;8;6;6;8;4;8;0;6;4;6;2;2;0;4;6;2;8;8;0;4;8;2;4;0;6;0;0;2;2;0;0;4;0;0;4;4;6;4;0;4;2;2;2;2;6;2;4;0;6
canadians;0;0;34;24;6;16;12;4;12;12;8;2;6;10;8;2;4;10;2;10;8;4;4;10;6;6;2;10;2;2;2;0;2;2;4;2;6;0;8;8;2;0;4;0;4;6;2;4;4;8;4;6;4;4;6;6;2;2;8;0;0;4;6;4;0;4;0;4;4;6;2;4;0;4;0;2;4;6;2;4;2;6;2;6;2;0;2;0;2;0;6;4;4;2;2;4;4;4;2;4
justin;0;0;0;10;6;20;18;4;8;10;10;2;0;6;12;2;8;2;2;2;8;0;2;10;4;8;8;8;6;0;0;0;0;6;6;10;0;0;4;4;2;0;6;2;2;8;6;4;0;6;6;6;4;2;6;6;6;0;6;4;4;8;6;0;0;6;2;6;8;2;8;4;2;4;0;4;0;2;6;2;0;2;2;2;0;2;6;4;2;0;6;2;2;4;0;6;0;2;2;4
conservatives;0;0;0;0;18;0;2;12;4;4;4;6;6;6;4;2;4;8;4;10;2;10;8;0;2;0;2;2;0;6;6;8;2;0;0;0;4;4;2;2;0;4;2;2;0;0;2;0;4;2;0;6;2;0;4;0;2;4;0;6;2;0;2;4;0;2;0;2;0;6;0;0;6;2;6;4;4;6;0;4;2;6;2;6;2;4;2;0;0;2;0;0;0;0;4;2;2;0;0;2
canadas;0;0;0;0;0;0;0;8;2;0;0;8;4;6;0;4;2;0;0;2;0;10;10;0;2;2;2;0;0;8;6;8;2;2;0;4;2;4;0;0;4;4;2;2;0;2;2;0;4;2;0;0;0;0;0;0;0;6;0;4;0;2;0;2;0;0;2;0;2;0;4;0;2;0;4;0;0;0;2;2;2;0;2;0;0;2;0;2;0;2;0;0;0;0;4;0;2;0;0;0
letting;0;0;0;0;0;0;4;2;4;2;2;0;0;2;4;0;0;0;2;0;2;0;0;4;2;2;0;4;6;0;0;0;0;2;0;0;0;0;4;4;2;0;2;0;4;2;0;4;0;2;0;0;4;0;2;2;2;0;2;0;2;2;0;0;0;2;0;4;6;0;0;4;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;4;0;2;0;2;0;0;4;2
trudeaus;0;0;0;0;0;0;0;2;2;6;0;2;2;2;2;2;4;0;0;2;0;0;0;2;2;2;4;0;0;0;0;0;0;0;8;6;0;0;2;2;0;0;0;2;0;2;4;2;2;2;8;0;0;0;0;2;0;0;2;0;2;6;6;0;0;0;0;0;0;2;4;0;0;2;0;0;0;2;4;0;0;2;0;2;0;0;2;0;0;0;2;0;0;2;0;4;0;0;2;0
canada;0;0;0;0;0;0;0;0;8;0;0;8;2;0;0;0;0;4;0;2;0;4;0;0;2;0;0;0;2;2;6;6;6;2;0;0;0;4;0;0;0;2;0;4;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;0;0;2;0;2;0;2;2;0;0;2;0;0;4;2;2;2;2;4;0;0;4;2;0;0;2;0;2;2;0;0;0;0
pandemic;0;0;0;0;0;0;0;0;0;4;0;0;4;2;2;0;0;2;0;0;0;2;0;2;6;0;0;0;0;0;0;4;6;0;0;0;0;4;0;0;2;0;2;2;4;0;0;4;0;2;0;0;0;0;0;2;0;0;4;0;2;0;0;0;0;2;0;0;2;0;0;4;0;0;2;0;0;0;0;0;4;0;2;0;2;2;0;0;6;0;2;4;6;0;0;2;2;0;0;0
liberals;0;0;0;0;0;0;0;0;0;0;4;0;2;2;2;0;0;0;2;0;4;0;0;2;2;2;0;4;0;0;0;0;0;2;2;0;0;0;4;4;0;0;0;2;0;2;0;4;2;2;2;2;0;0;2;0;0;0;4;0;4;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;4;0;0;0;2;0;0;0;0;2;2;2;0;2
