;ca;tune;#covid19;new;cases;continue;health;home;physical;take;update;positive;confirmed;stay;people;help;hospitals;public;state;lives;thank;moment;live;curve;work;workers;healthcare;practice;flattening;wear;seriously;million;#stayhomesavelives;together;hands;listen;save;spread;crisis;california;mask;distancing;reopening;across;safe;californians;working;actions;school;science;icu;fight;meet;days;protect;testing;important;literally;allow;states;great;healthy;making;staying;change;firstinthenation;still;trump;simply;distancing#stayhomesavelives;grateful;homelessness;risk;vote;1;start;cant;impact;face;housing;isnt;communities;country;care;wash;provide;address;cas;stores;job;families;major;guided;#casots;system;2;record;love;next;weeks
ca;0;0;34;92;58;56;22;40;36;48;2;46;54;28;22;10;46;18;12;20;8;8;2;28;16;10;12;20;30;4;26;8;14;2;4;0;10;4;8;2;4;14;16;12;6;8;14;12;4;18;26;6;8;14;6;10;10;8;14;10;4;12;4;6;2;4;4;4;4;20;4;2;6;2;6;2;4;18;4;2;4;2;6;4;4;8;2;4;4;4;4;4;12;0;2;6;2;0;12;12
tune;0;0;66;0;0;0;0;2;0;0;62;0;0;0;0;2;0;0;4;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;8;0;0;0;0;0;0;0;0
#covid19;0;0;0;24;6;14;8;12;16;12;68;4;4;6;6;6;4;4;2;12;0;6;4;8;10;4;2;14;6;12;8;2;4;2;8;2;10;20;0;4;12;14;6;8;4;4;12;10;2;6;2;6;2;10;6;12;4;4;2;0;2;2;4;4;0;0;6;0;4;0;2;0;0;0;0;2;6;6;8;0;8;4;0;4;8;0;2;8;2;0;2;4;2;0;4;0;0;0;4;4
new;0;0;0;0;56;38;14;26;26;44;2;46;54;18;8;10;46;10;2;10;4;2;0;20;10;4;10;14;22;4;22;8;12;2;2;2;4;4;2;8;2;8;8;4;4;6;10;10;2;10;26;0;6;12;2;4;2;0;12;2;2;0;4;4;2;4;4;4;0;20;2;2;2;0;4;4;0;16;2;2;2;0;0;6;2;4;2;4;0;8;0;2;4;0;4;2;4;0;8;6
cases;0;0;0;0;0;34;4;18;22;42;0;42;54;16;4;0;42;2;2;10;0;0;0;16;0;0;2;10;20;0;20;0;12;0;0;0;2;0;0;0;0;2;4;2;0;0;2;10;0;10;22;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;20;0;0;0;0;0;0;2;16;0;0;0;0;0;2;0;0;0;2;0;0;0;0;4;0;0;0;0;0;2;2
continue;0;0;0;0;0;0;6;20;28;38;0;24;34;16;4;0;24;8;4;4;2;0;0;26;8;0;2;14;30;0;16;0;6;0;0;0;4;0;0;0;0;6;12;6;4;2;2;4;2;12;18;6;0;2;4;4;4;2;10;4;2;4;0;4;0;0;2;0;2;20;0;0;0;0;2;0;6;2;0;0;0;0;2;0;0;0;0;4;4;0;0;0;10;0;2;0;0;2;0;0
health;0;0;0;0;0;0;0;8;12;6;0;6;4;4;6;6;8;30;0;8;2;2;4;8;4;4;8;4;6;0;2;4;2;4;0;4;4;0;6;0;0;2;10;0;4;4;2;6;2;14;4;0;0;2;10;4;2;0;6;4;2;2;0;4;0;0;2;2;0;2;0;0;4;2;6;2;0;6;0;2;2;4;0;10;0;6;4;2;2;2;0;0;8;4;8;0;0;0;0;2
home;0;0;0;0;0;0;0;0;34;22;2;20;16;42;4;4;20;8;2;12;2;8;2;18;4;4;2;24;16;0;20;0;12;4;0;2;10;6;0;0;0;18;10;0;2;0;8;2;0;12;10;2;4;0;0;2;6;6;6;2;0;4;0;18;0;0;0;0;0;10;0;0;0;0;2;0;4;10;0;0;4;2;0;0;0;2;0;2;4;0;0;0;8;0;0;0;0;0;2;2
physical;0;0;0;0;0;0;0;0;0;24;2;24;22;24;4;0;22;4;0;16;2;2;0;24;0;2;0;34;20;6;14;0;4;0;10;0;14;0;0;0;8;26;8;0;2;0;2;10;2;8;14;0;2;4;0;0;8;12;6;0;0;0;0;12;0;0;2;0;0;22;0;0;0;0;0;2;4;6;6;0;2;0;0;4;12;0;2;0;0;0;0;0;4;2;2;0;0;0;0;0
take;0;0;0;0;0;0;0;0;0;0;2;34;40;18;8;2;34;2;6;4;0;0;0;20;0;0;2;12;24;2;32;2;8;0;8;0;2;2;0;2;2;6;8;2;0;0;4;4;0;6;20;0;0;2;0;2;0;0;6;2;0;2;0;4;0;0;2;2;0;18;0;0;0;0;0;0;0;12;0;0;0;0;0;2;6;0;2;6;2;0;0;0;6;2;0;0;0;0;2;2
update;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
positive;0;0;0;0;0;0;0;0;0;0;0;0;40;18;8;0;44;2;2;6;0;2;0;8;0;2;2;12;10;0;16;2;8;0;0;0;0;0;0;2;0;4;0;2;0;0;2;4;0;4;24;0;2;2;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;20;0;0;0;0;2;0;0;14;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;6
confirmed;0;0;0;0;0;0;0;0;0;0;0;0;0;14;4;0;40;2;2;10;0;0;0;16;0;0;2;10;20;0;18;0;12;0;0;0;2;0;0;0;0;2;4;2;0;0;0;10;0;8;22;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;20;0;0;0;0;0;0;0;14;0;0;0;0;0;2;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;18;6;2;6;4;6;0;12;6;0;0;22;10;0;20;0;8;4;0;0;4;4;0;0;0;10;2;0;4;0;6;2;2;8;8;2;4;0;0;0;2;4;2;2;0;6;4;0;0;0;0;0;0;10;4;0;0;0;0;2;4;10;0;0;2;4;0;0;0;0;0;2;4;0;0;0;6;0;0;0;0;0;2;2
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;6;8;2;6;2;2;2;0;4;2;2;2;4;4;6;0;2;4;2;2;2;4;2;2;0;0;4;0;2;4;0;0;2;0;2;2;6;2;2;2;0;0;0;4;0;2;2;0;0;2;0;0;2;2;2;0;6;2;0;4;2;0;2;2;4;0;2;0;2;0;4;2;2;0;0;0;2;2;2;0;0;4
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;4;2;0;4;2;2;0;0;2;2;4;2;4;2;0;6;10;4;0;4;0;2;0;4;6;2;0;2;4;0;2;6;2;4;0;4;0;2;2;2;2;2;0;4;2;2;0;0;0;0;0;2;0;0;0;0;0;2;0;6;2;0;2;0;4;0;0;0;2;2;4;0;0;0;0;0;0;2;2
hospitals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;4;2;0;8;2;2;2;10;10;0;16;0;8;0;0;0;0;0;0;0;0;2;0;2;2;0;2;4;0;4;22;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;20;2;0;0;0;2;4;0;12;0;0;0;2;0;4;0;0;0;0;4;0;0;0;0;0;2;0;0;0;2;2
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;8;2;0;0;2;6;4;2;0;2;6;0;4;2;0;2;0;2;2;12;0;2;4;0;4;0;16;2;2;2;2;6;0;2;0;6;4;0;6;0;4;0;0;0;0;0;0;0;0;2;2;4;0;0;2;4;0;2;2;0;2;0;0;0;0;4;0;0;0;14;0;0;2;0;0;0;2
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;6;0;0;0;8;0;2;2;0;0;0;2;0;0;0;0;2;0;0;0;4;4;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2;6;0;0;2;6;6;2;4;0;0;0;0;0;2;4;0;2;0
