;new;watch;#coronavirus;briefing;york;live;daily;mask;giving;yorkers;wear;holding;updates;state;ny;reopening;health;workers;reopen;people;testing;1130am;available;region;begin;covid;phase;states;may;closed;thank;et;interpretation;asl;captioning;symptoms;pandemic;lost;public;help;mental;cases;honor;regions;government;great;1;care;covid19;essential;video;respect;tested;country;communities;work;death;lives;support;tell;working;masks;call;nys;illness;frontline;facts;businesses;data;cant;crisis;actions;continue;heroes;staff;required;federal;#newyorktough;across;safe;1200pm;food;covidrelated;share;yesterday;contact;children;rate;virus;americans;show;nursing;provide;regional;part;families;protect;together;local;george
new;0;4;2;0;64;0;0;16;0;58;10;0;0;26;8;16;2;4;16;8;14;0;2;10;14;12;14;2;14;0;4;0;0;0;0;10;10;12;4;12;6;4;0;6;6;8;12;0;6;6;6;0;10;2;4;8;0;0;6;8;4;4;4;4;4;2;4;4;2;0;6;4;4;4;2;2;0;2;4;4;0;4;6;6;10;6;4;4;2;0;2;4;2;2;2;8;0;4;0;0
watch;0;0;124;126;2;64;64;2;64;2;2;62;62;2;0;0;0;0;0;0;0;36;0;0;0;0;0;0;2;0;0;26;0;0;0;4;0;0;0;0;0;4;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;14;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0
#coronavirus;0;0;0;124;0;64;62;0;62;2;0;62;62;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;26;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
briefing;0;0;0;0;0;64;64;0;64;0;0;62;62;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
york;0;0;0;0;0;0;0;0;0;2;0;0;0;22;8;10;0;2;14;4;6;0;0;6;10;6;6;2;8;0;2;0;0;0;0;4;4;0;0;2;4;4;0;6;2;2;6;0;0;4;0;0;2;2;4;8;0;0;6;0;2;4;6;0;2;0;0;4;4;0;6;0;0;2;0;2;0;0;2;4;0;2;4;0;0;4;4;2;2;0;0;2;0;0;0;0;2;2;0;0
live;0;0;0;0;0;0;2;0;2;0;2;62;62;0;0;2;0;0;0;2;0;0;2;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
daily;0;0;0;0;0;0;0;0;64;0;0;0;0;0;0;2;0;2;0;0;0;36;0;2;0;0;0;0;0;0;0;26;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
mask;0;0;0;0;0;0;0;0;2;14;46;0;0;0;0;4;2;4;2;4;0;0;0;4;2;0;2;0;2;0;4;0;0;0;0;0;0;0;16;4;0;0;2;0;4;6;2;2;0;0;8;12;2;0;0;0;2;2;0;8;0;4;0;0;0;2;0;2;0;4;0;0;2;0;0;2;0;4;2;2;0;0;0;0;0;0;0;0;0;0;6;0;0;0;6;0;4;0;0;0
giving;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
yorkers;0;0;0;0;0;0;0;0;0;0;10;0;0;6;2;4;0;0;4;4;6;0;2;4;8;4;6;0;6;0;4;0;0;0;0;6;4;12;4;4;0;0;2;2;4;6;6;0;6;0;6;0;4;2;0;0;0;0;2;8;2;0;0;0;2;2;4;0;0;0;0;6;4;0;0;0;0;4;2;2;0;4;2;8;10;4;0;2;0;0;2;0;2;2;2;8;2;2;0;0
