;trump;great;president;united;states;people;federal;republican;new;democrats;campaign;administration;left;government;national;obama;nothing;presidential;america;party;working;donald;considering;investigating;radical;job;leadership;bill;country;2016;york;strong;guide;big;security;russia;news;announced;jacksonville;best;americans;house;official;cant;history;andrew;man;wonderful;help;love;unofficial;could;war;next;reports;scheme;convention;dr;iowa;late;sending;month;greatest;russian;ted;hear;looking;billion;bring;weapons;pleased;j;commission;good;center;white;year;use;coming;live;protect;totally;carolina;attack;vote;joe;turn;friend;city;information;francisco;police;communications;brought;team;syrian;election;amazing;making;cruz
trump;0;4;18;6;2;4;6;6;2;6;12;6;4;0;6;2;2;6;0;0;6;12;2;4;4;2;2;2;0;6;2;0;0;2;0;6;0;0;0;0;0;2;4;2;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;6;0;0;0;0;2;0;0;6;2;2;0;2;0;0;0;2;0;4;0;0;0;2;0;0;2;0;0;0;2;2;2;2;4;2;6;0
great;0;0;4;4;2;6;2;2;2;0;0;6;0;2;2;0;0;4;4;2;0;0;0;0;0;0;2;2;2;0;0;4;0;0;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;2;0;2;4;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2
president;0;0;0;8;6;4;2;6;0;2;10;0;0;0;4;4;2;4;0;2;4;8;2;0;0;2;0;2;0;2;0;2;0;2;0;2;2;4;0;0;0;4;2;2;0;4;0;0;0;0;0;0;0;2;4;0;0;2;0;2;0;2;0;2;2;0;2;0;0;0;2;4;2;2;2;4;0;0;2;2;0;2;0;0;0;2;0;0;2;0;0;0;2;0;2;0;2;0;2;2
united;0;0;0;0;22;6;2;0;4;0;0;2;0;0;4;0;0;0;6;0;4;4;0;0;0;2;0;2;0;0;4;0;0;0;0;2;2;0;0;0;0;0;2;0;2;4;0;0;0;0;0;4;2;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;4;4;4;0;0;0;0;0;2;0;2;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0
states;0;0;0;0;0;4;0;0;4;0;0;2;0;0;4;0;0;0;6;0;4;2;0;0;0;0;0;2;0;0;4;0;0;0;0;2;2;0;0;0;0;0;2;0;2;4;0;0;0;0;0;4;2;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;4;4;2;0;0;0;0;0;2;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
people;0;0;0;0;0;0;8;2;2;2;0;2;0;6;0;0;0;0;2;0;0;2;2;0;0;2;0;2;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;2;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;2;0
federal;0;0;0;0;0;0;0;0;4;2;0;2;0;10;0;0;2;0;0;2;0;4;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;4;0;0;2;0;2;4;0
republican;0;0;0;0;0;0;0;0;0;8;4;0;4;0;2;2;0;4;0;4;2;0;0;2;4;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;4;2;0;0;2;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;2;0;4;4;0;0;0;2;0;0;0;0;2;2;4;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4
new;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;8;0;0;0;0;0;2;0;0;0;2;0;2;0;0;2;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0
democrats;0;0;0;0;0;0;0;0;0;0;2;0;10;4;0;0;8;2;0;2;2;0;0;2;10;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
