;states;united;new;people;great;president;state;trump;national;federal;man;wants;campaign;job;sent;house;take;number;world;times;trying;court;americans;home;act;congress;young;troops;nothing;security;another;american;republican;little;economy;dr;stop;big;kill;democrats;sign;bring;convention;best;iraq;massive;york;information;bill;2;news;death;investigation;washington;game;ruled;hillary;september;attacks;november;greatly;illegal;working;everyone;cut;joe;friends;year;collecting;prayers;amazing;iran;government;good;biden;lot;announce;country;support;california;patriot;report;historic;democratic;judge;cia;help;week;word;lied;womens;former;hampshire;nfl;republicans;north;hospital;white;senate;thoughts
states;0;26;2;6;0;4;4;4;0;2;0;4;2;0;2;0;4;0;0;2;0;6;2;0;0;0;2;4;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;2;2;0;0;0;0;0;2;0;4;0;0;2;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;4;2;0;2;2;0;0;0;0;0;0;0;2
united;0;0;2;4;0;4;4;4;0;0;0;4;2;0;2;0;4;0;0;2;0;2;2;0;0;0;0;4;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;4;2;0;2;2;0;0;0;0;0;0;0;2
new;0;0;0;8;4;4;6;4;0;0;0;8;0;2;0;0;0;6;2;6;2;0;2;0;2;0;0;0;2;0;0;0;2;0;2;0;2;4;0;2;2;2;0;0;0;2;6;2;2;0;0;0;0;0;2;0;0;0;2;4;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;2;2;0;0;0;0
people;0;0;0;0;2;2;4;2;2;2;0;2;0;6;0;0;0;6;2;0;0;4;2;2;2;2;2;2;2;4;0;6;2;0;0;0;2;2;0;0;2;2;0;0;0;2;0;4;0;0;0;0;0;2;0;2;0;0;2;2;0;0;2;0;0;0;2;0;2;2;0;0;2;0;0;2;2;2;0;2;2;0;0;0;2;0;0;0;0;0;2;2;4;0;2;0;0;0;0;2
great;0;0;0;0;0;0;2;2;0;0;2;4;2;4;0;2;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;4;0;2;2;0;4;2;4;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;2;2;0;0;0;2;0;0;0;0;0;2;4;0;0;2;2;0;2;0;0;0;4;0;0;0;0;0;0;0;2;2;2;0
president;0;0;0;0;0;0;2;12;0;2;2;2;2;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;0;4;0;0;0;2;4;2;0;0;0;2;2;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;4;0;0;0;2;0;0;0;0;2;0;0;2;2;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0
state;0;0;0;0;0;0;0;0;2;2;4;4;0;2;2;0;2;2;0;2;0;0;2;4;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;0;2;0;0;0;2;2;0;0;0;2;0;0;2;0;2;0;0;2;0;0;2;0;0;0;4;2;0;0;2;0;0;0;0
trump;0;0;0;0;0;0;0;0;0;2;2;2;4;0;0;2;0;2;0;2;0;2;0;0;0;0;0;0;2;0;4;0;2;0;2;2;0;4;0;0;2;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;2;2;4;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;4;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;4;0;0;2;2;0;0;0;0;2;2;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;6;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
