;great;president;trump;united;people;states;new;act;american;federal;house;department;government;help;national;end;job;washington;part;times;donald;man;media;order;million;state;security;tired;police;world;nfl;affordable;war;russia;killed;office;care;york;number;senate;party;trying;thing;reserve;committee;percent;working;investigating;city;texas;country;shut;spent;force;left;year;forward;white;shot;called;executive;dc;democrat;beyond;given;eastern;terrorist;days;welcome;trumps;business;election;fbi;bad;partnership;series;foundation;civil;deaths;collection;key;love;announced;threat;calls;case;attack;fight;v;nra;monday;health;best;public;special;may;charges;campaign;reports;ending
great;0;2;4;0;2;0;8;0;2;2;2;2;0;2;0;2;8;4;4;2;0;2;4;0;2;2;0;0;2;0;0;0;2;2;0;0;0;2;0;2;0;6;2;2;2;0;4;2;0;0;2;0;0;0;0;0;2;0;0;2;0;4;0;0;2;0;0;0;4;0;0;0;0;2;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;2;0;0
president;0;0;10;6;0;6;4;0;0;2;2;2;0;0;2;0;4;2;0;2;4;0;2;8;0;4;2;0;0;2;0;0;2;2;0;0;0;2;0;0;4;2;2;0;0;0;2;0;2;0;4;0;2;2;2;0;0;2;0;0;6;2;2;0;0;0;0;2;0;2;0;0;0;6;0;0;2;0;0;0;0;0;2;0;4;2;0;4;2;0;0;2;0;0;0;0;0;0;0;2
trump;0;0;0;4;0;4;4;0;0;0;0;4;2;0;0;2;0;2;2;0;8;2;2;4;0;0;2;0;0;4;2;0;0;4;0;2;0;0;0;0;2;2;0;0;0;0;4;6;0;0;4;0;4;2;0;0;0;0;0;0;4;2;0;0;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;0;2;2;0;0;0;6;0;0
united;0;0;0;0;0;16;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;2;0;0;0;0;0;0;4;0;0;0;0
people;0;0;0;0;0;0;0;0;10;0;0;2;0;2;0;4;0;0;0;4;0;2;2;0;2;0;0;2;0;0;0;0;2;0;4;2;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;4;0;0;0;0;2;0;0;0;0;0;2;2;0;0;2;0;2;0;0;2;2;0;0;2;0;0;0;2;0;0;0;0;0
states;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;6;2;4;2;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;8;0;0;0;4;0;0;0;0;0;2;4;0;0;0;0;2;0;0;0;0;0;2;0;4;0;0;2;0;0;0;2;0;0;0;0;4;0;4;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;0;0;0
act;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;4;0;2;0;2;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
american;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;2;6;2;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;0;0;0;2;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
