;firstinthenation;state;new;change;homelessness;climate;billion;ca;@realdonaldtrump;prescription;build;ban;healthcare;wall;country;values;great;put;created;school;address;drug;job;months;system;drugs;days;global;later;crisis;invested;record;issues;violence;prisons;big;ways;1;people;housing;standards;standing;hope;within;cant;breathe;companies;air;year;help;take;largest;executive;1b;proposing;funding;allow;reached;family;treating;2019;remind;women;low;create;established;cas;stand;2;prevention;generic;access;affordable;order;emergency;experiencing;pay;hair;australia;services;2020;tackle;nation;away;across;paid;border;decade;5;administration;cannot;lose;million;addressing;families;thank;face;head;making;pharmaceutical
firstinthenation;0;0;2;0;0;0;0;2;0;4;0;4;2;0;0;0;0;0;2;2;0;0;0;0;2;4;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;2;4;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0
state;0;0;0;0;0;0;0;4;0;2;0;2;0;0;6;2;0;2;2;0;0;2;2;4;0;0;0;0;0;0;0;2;4;2;4;2;2;0;0;0;0;2;2;2;0;0;2;0;0;0;2;2;0;0;2;0;0;2;0;0;2;0;0;2;0;2;2;0;2;0;2;0;0;0;0;0;0;2;0;0;2;0;4;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
new;0;0;0;2;2;4;2;4;4;0;2;2;2;0;0;2;0;0;2;2;2;0;2;2;0;0;2;0;2;0;2;0;2;2;0;0;0;0;0;2;2;2;0;2;0;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;2;0
change;0;0;0;0;0;4;2;2;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;4;0;0;2;0;2;0;2;2;0;0;0;0;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0
homelessness;0;0;0;0;0;2;4;2;4;0;0;0;2;0;0;4;0;2;2;0;4;0;2;0;4;0;4;0;2;2;2;0;0;0;2;0;0;4;2;4;0;0;0;2;2;0;0;0;0;0;0;0;2;2;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;0;4;0;2;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0
climate;0;0;0;0;0;0;2;4;0;0;0;0;4;0;0;4;0;0;0;0;2;0;2;2;2;0;0;2;0;4;0;0;2;4;2;0;0;2;0;0;2;2;0;0;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;4;0;0;2;0;2;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0
billion;0;0;0;0;0;0;0;2;4;0;2;0;2;0;0;2;0;4;0;0;2;0;0;0;2;0;0;2;0;4;2;0;0;0;2;0;2;6;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;2;0;0;0;0;0;2;2;2;0;2;2;0;0
ca;0;0;0;0;0;0;0;0;2;0;0;2;2;0;4;4;0;2;0;0;0;0;2;4;0;0;0;0;0;0;0;0;4;2;0;4;2;2;2;0;0;4;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;2;4;0;0;2;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0
@realdonaldtrump;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;2;2;2;0;0;0;0;2;0
prescription;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;2;2;0;4;0;2;0;0;0;0;0;0;0;4;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
build;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
ban;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;2;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0
