;montana;national;public;lands;guard;future;leaders;montanas;greatest;members;college;president;support;americas;thanks;families;saved;great;break;agree;tax;country;state;making;values;protect;soldiers;tribe;courses;land;fund;life;home;health;air;shared;choosing;especially;citizen;attack;announced;decisions;honor;hard;services;work;solutions;benefit;wall;budget;order;community;students;climate;difference;conservation;council;washington;montanans;difficult;west;critical;montanan;ought;congratulations;give;governors;skills;shell;@megsimps;little;communities;leaving;border;impressed;treasures;share;airmen;proud;dollars;aircraft;education;serve;folks;access;new;pressure;show;american;monuments;cheer;engagement;central;example;makes;c130;serving;saddled;incredible;cant
montana;0;6;2;2;4;2;2;0;2;4;2;2;4;4;6;0;2;0;0;0;0;2;2;4;0;4;2;2;0;0;0;2;2;0;4;0;2;2;0;0;2;2;2;0;0;2;2;2;2;0;2;2;2;2;4;2;2;0;2;2;0;2;4;0;2;0;0;2;2;0;2;2;0;2;2;2;2;2;2;0;4;0;2;2;0;0;0;0;2;0;0;2;0;2;2;2;0;0;2;0
national;0;0;2;2;8;0;2;2;2;6;0;4;2;0;2;2;0;0;0;2;0;2;0;2;0;2;6;2;2;0;2;0;0;0;2;0;2;0;4;4;2;4;2;0;0;0;0;2;4;0;2;0;0;0;0;0;2;4;0;2;2;0;0;2;0;2;2;0;2;0;2;0;2;4;0;2;0;4;0;0;4;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;0
public;0;0;0;8;0;0;0;0;4;0;0;0;0;2;2;0;0;4;0;2;0;0;0;0;2;4;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
lands;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;0;0;4;0;2;0;0;0;0;2;4;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
guard;0;0;0;0;0;0;2;2;0;6;0;4;2;0;0;2;0;0;0;0;0;0;0;2;0;0;6;0;0;0;2;0;0;0;2;0;2;0;4;0;2;4;2;0;0;0;0;0;4;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;4;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0
future;0;0;0;0;0;0;4;0;0;0;0;2;2;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
leaders;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;2;0;0;2;0;0;2;0;2;0;0;2;2;0;0;0;0;0;2;0;2;0;2;2;0;0;2;2;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;2;2;2;0;2;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
montanas;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;2;2;2;2;0;2;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
greatest;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
members;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;0;0;0;0;0;2;2;0;2;4;0;0;0;2;0;0;0;2;0;4;0;4;0;2;2;4;0;0;2;0;0;4;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;4;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0
college;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
