;missouri;covid19;testing;state;recovery;director;across;economy;continue;missourians;@healthylivingmo;missouris;community;county;forward;#showmestrong;budget;briefing;economic;local;may;@missouri_ng;million;workforce;good;new;st;give;work;law;still;louis;live;businesses;help;communities;data;training;critical;reopen;news;citizens;enforcement;working;great;facebook;morning;people;plan;june;dr;hospitals;response;jobs;williams;another;year;support;available;move;week;update;hard;hospitalized;needs;health;decisions;3pm;facilities;everyone;efforts;dollars;1;randall;department;safe;city;ppe;care;together;protests;making;take;school;social;continues;development;press;officers;yesterday;fair;infrastructure;protect;afternoon;teams;throughout;joined;test;kansas;progress
missouri;0;30;12;40;20;4;26;14;12;4;0;4;8;8;20;6;0;0;8;8;6;0;4;6;16;10;12;4;8;10;8;10;4;20;6;12;6;4;4;14;14;16;8;10;16;0;4;2;4;8;0;10;2;4;0;2;2;10;8;14;4;4;6;6;4;6;0;0;0;2;2;0;2;0;2;2;8;2;2;8;4;4;4;2;4;8;6;0;6;2;4;4;8;4;0;2;0;0;4;4
covid19;0;0;32;22;28;2;12;18;22;18;10;20;12;6;14;14;14;8;12;4;6;12;6;2;16;8;0;4;14;4;12;0;2;4;6;4;8;0;6;14;12;6;2;12;4;0;14;2;8;2;4;6;18;0;2;0;4;2;10;8;6;6;12;12;4;2;10;0;2;4;4;0;4;0;2;4;6;0;2;6;2;6;6;0;8;4;4;2;0;0;2;4;6;2;8;8;4;10;6;6
testing;0;0;0;12;14;2;6;0;6;6;18;14;12;14;6;14;0;2;6;4;4;18;0;4;2;2;2;6;6;0;0;0;2;2;10;2;0;0;4;4;2;8;0;4;4;0;4;4;4;0;2;0;2;2;0;2;0;2;0;4;8;4;4;0;0;0;0;0;2;2;6;0;6;0;2;6;0;2;0;2;0;0;4;0;0;4;0;2;0;2;4;0;2;0;16;4;2;4;0;4
state;0;0;0;0;8;8;36;12;2;12;6;8;10;2;8;4;12;2;2;10;2;2;2;8;4;12;14;2;6;6;4;14;6;6;12;10;6;2;6;6;4;6;6;6;6;2;4;4;2;2;4;0;6;6;4;4;4;8;2;6;4;8;6;0;12;0;4;2;0;2;10;2;4;2;0;6;8;2;0;2;4;2;4;0;0;6;4;2;4;2;6;2;4;6;0;10;2;0;6;0
recovery;0;0;0;0;0;8;4;14;14;6;4;20;4;0;16;22;2;10;24;4;4;2;0;6;2;0;0;4;4;0;4;0;2;4;4;4;6;0;6;4;4;6;0;4;2;4;10;0;16;2;4;0;6;0;4;2;0;0;0;8;0;6;4;0;2;4;2;4;0;2;2;0;4;4;0;6;2;4;2;2;0;4;6;0;4;0;4;4;0;0;0;4;2;0;0;0;6;0;2;6
director;0;0;0;0;0;0;4;2;2;0;20;6;2;0;0;0;4;24;10;0;0;4;0;0;6;0;0;18;0;0;0;0;18;2;0;0;0;0;0;0;4;2;0;0;0;20;0;0;4;0;22;0;0;0;22;12;2;0;0;0;2;8;2;0;0;0;0;16;0;2;0;0;0;20;0;2;0;0;0;2;0;2;0;0;0;0;0;16;0;0;2;2;0;10;0;0;6;0;0;2
across;0;0;0;0;0;0;0;6;2;8;2;0;6;0;4;0;6;2;2;4;2;2;2;2;2;6;2;0;4;6;2;2;0;8;4;8;4;0;6;4;0;4;6;0;0;0;2;0;4;0;2;0;4;0;2;2;0;6;2;2;0;0;2;0;6;0;0;0;2;2;4;0;0;0;0;2;0;2;0;0;8;2;0;0;0;4;2;2;8;2;2;6;2;2;0;2;0;0;2;0
economy;0;0;0;0;0;0;0;0;6;6;2;8;4;0;12;10;8;2;4;0;2;0;2;2;2;4;4;0;2;0;6;2;2;8;2;2;4;0;4;2;2;4;0;6;4;2;6;2;6;0;2;0;0;2;2;0;2;4;0;10;0;2;4;0;4;4;6;0;0;4;6;0;0;2;0;2;2;0;0;6;0;4;0;0;2;0;2;0;0;0;0;4;2;2;0;2;2;0;2;2
continue;0;0;0;0;0;0;0;0;0;6;0;4;2;0;8;2;2;4;2;2;4;0;2;2;4;2;0;2;2;2;8;0;0;4;0;2;6;0;2;6;4;2;2;2;2;0;4;4;4;4;0;6;4;0;0;4;2;2;8;4;0;0;0;6;0;0;4;2;2;10;2;0;6;0;0;2;0;4;2;8;2;2;8;0;12;2;2;0;2;0;0;2;8;0;0;4;2;0;0;4
missourians;0;0;0;0;0;0;0;0;0;0;0;2;4;0;6;2;2;0;4;6;2;2;2;4;0;2;0;4;10;4;2;0;0;6;8;2;4;2;0;4;0;0;4;0;0;0;2;0;0;2;0;0;6;2;0;0;0;2;0;2;4;0;2;4;4;2;4;0;2;2;8;0;4;0;0;6;2;0;2;2;4;4;2;0;0;2;0;0;4;0;0;0;2;2;0;2;2;2;2;2
