kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_all,freq_all
dion,2,matter,5,talked,8,coast,6,thanks,6,available,6,forward,27
loved,2,celebrate,5,phone,7,mourning,6,tough,6,communities,6,info,27
glad,2,fighting,5,credit,7,supplies,6,whether,6,protective,6,whether,27
sector,2,increasing,5,plan,7,situation,6,organizations,6,signed,6,front,27
local,2,benefit,5,affected,7,assistance,6,canadian,6,able,6,territories,26
aftermath,2,businesses,5,vulnerable,7,keeping,6,impacts,6,could,6,equipment,26
spring,2,economies,5,staff,7,strong,6,latest,6,women,6,indigenous,26
looking,2,announced,5,info,7,remember,6,indigenous,6,week,6,take,26
la,2,middle,4,medical,7,lost,6,subsidy,6,year,6,government,26
hate,2,fight,4,yesterday,7,efforts,6,increase,6,supplies,5,phone,26
