;trump;united;president;states;people;house;federal;great;government;state;russian;former;national;new;department;campaign;party;american;investigation;world;russia;news;women;signed;fbi;j;mission;job;trying;best;security;article;election;country;democrats;act;senate;hillary;may;james;donald;third;growth;service;clinton;media;work;good;justice;family;death;texas;duty;americans;white;says;online;attacks;republican;comey;year;association;voted;end;democrat;player;shifty;south;police;attorney;vice;working;political;minister;countries;important;northern;canada;condra;supporters;announced;officers;february;history;force;general;email;bernie;baltimore;violence;cincinnati;friday;venezuela;york;sanders;presidential;possible;times;fact;line
trump;0;2;14;2;4;4;8;2;6;2;4;2;2;6;0;8;2;2;2;0;2;2;0;0;4;10;0;2;2;0;0;0;6;0;0;0;0;0;4;2;8;0;0;0;0;0;0;0;0;0;2;2;0;2;0;4;0;0;2;2;0;2;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;0;4;0;2;2;0;0;0
united;0;0;8;24;0;2;2;0;0;2;0;0;4;0;0;0;0;0;0;6;2;2;2;2;0;0;2;2;2;0;4;0;0;4;0;0;2;0;4;0;0;0;2;2;0;0;0;0;0;0;2;0;2;4;2;2;0;4;2;0;0;2;0;2;0;0;0;0;2;0;4;0;2;0;4;0;2;0;0;0;2;2;0;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;2
president;0;0;0;8;0;2;6;0;4;2;4;4;6;4;0;0;0;2;2;0;0;2;0;0;4;2;0;0;2;0;2;0;0;0;0;2;0;0;6;2;0;0;2;0;0;0;0;0;0;0;2;0;2;2;2;4;0;0;0;2;0;4;2;0;0;2;0;0;2;2;4;0;0;0;2;0;0;0;0;0;2;2;0;0;4;2;0;0;0;0;0;4;0;2;0;0;0;0;0;2
states;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;6;2;2;2;0;0;0;2;0;2;0;2;0;0;4;0;0;2;0;4;0;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;2;0;2;0;0;0;2;0;2;0;0;0;0;2;0;4;0;0;0;4;0;2;0;0;0;2;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2
people;0;0;0;0;0;2;2;4;0;2;0;0;0;0;2;0;0;6;0;0;0;2;0;0;0;2;0;2;0;4;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0
house;0;0;0;0;0;0;2;0;0;0;2;2;0;2;0;4;2;4;2;0;2;0;0;2;0;2;0;4;0;0;0;2;0;0;0;2;2;2;0;0;2;0;4;0;2;2;0;0;0;0;2;2;0;2;8;0;0;0;2;0;0;0;4;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;2;2;2;0;2;0;0
federal;0;0;0;0;0;0;0;0;4;4;2;2;0;4;2;2;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;2;2;2;0;0;0;0;2;0;2;2;0;4;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0
great;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;4;0;4;0;2;0;2;0;0;2;6;0;0;2;2;2;0;2;0;0;0;2;0;0;0;0;0;4;2;0;6;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;4;4;0;0;2;0;2;0;0;2;2;2;4;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0
state;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;0;4;0;2;0;0;0;2;0;0;0;0;0;4;0;2;2;0;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;2;0;0;0;0
