;state;utah;year;new;quality;growth;ensure;budget;work;future;#utpol;place;coming;air;plan;live;million;best;family;utahns;life;session;ongoing;working;nation;utahs;everyone;morning;prepare;health;children;education;invest;end;making;forward;recommend;news;drive;legislature;local;together;tonight;bill;process;grateful;governor;commuting;changes;special;states;2020;thriving;inauguration;increased;safely;welcome;communities;investments;general;address;legislative;49;lives;another;information;billion;recommendations;people;safety;injuries;population;good;passing;looking;funding;broken;transit;jeanette;thank;lets;increase;taking;economically;raise;1847;commend;hear;legislators;mental;congratulations;efficiency;families;k12;dream;@slcmayor;land;lost;easy;acclaimed
state;0;6;2;2;0;6;0;2;4;0;2;2;4;0;2;2;0;4;2;2;2;0;2;0;2;2;0;0;4;0;2;0;0;0;2;0;0;2;2;0;2;0;2;0;0;2;0;0;0;2;2;0;0;2;2;2;2;0;2;0;4;0;0;0;2;2;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;2;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0
utah;0;0;4;4;2;6;2;0;4;6;2;4;2;0;6;4;2;6;4;4;4;2;0;0;4;2;0;0;4;0;4;0;4;2;2;0;2;0;2;0;0;2;2;2;2;0;2;0;0;2;2;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;2;4;0;0;4;4;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0
year;0;0;0;8;4;2;0;2;2;4;0;0;2;4;2;0;6;0;0;0;2;0;2;0;0;4;0;0;0;2;2;2;4;4;0;2;4;0;0;4;0;0;0;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;4;0;2;2;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;4;2;0;0;0;0;2
new;0;0;0;0;2;0;0;4;2;2;0;0;2;2;0;0;4;0;0;2;2;0;4;0;0;2;0;0;2;2;2;2;0;4;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;0;0;2;4;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;2
quality;0;0;0;0;0;2;4;2;0;2;2;0;0;4;4;0;2;2;0;4;6;0;0;0;0;2;0;2;0;2;0;0;2;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
growth;0;0;0;0;0;0;2;2;2;2;4;2;2;0;6;2;2;2;2;4;2;0;0;0;2;4;0;2;2;0;2;0;2;0;2;0;4;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
ensure;0;0;0;0;0;0;0;2;0;2;2;0;0;2;4;0;0;2;0;4;4;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
budget;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;4;0;0;4;2;0;4;0;0;0;0;2;0;2;0;2;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;2;4;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0
work;0;0;0;0;0;0;0;0;0;4;2;4;4;0;0;4;0;4;4;2;0;0;0;2;4;0;0;0;0;0;0;0;2;2;2;2;0;0;2;0;0;2;0;0;0;0;2;0;2;0;0;2;0;0;2;0;0;2;2;0;0;0;0;2;4;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;2;0;0;4;2;2;0;0;0;0;2;2;0;2;0;0;0;0;2
future;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;2;2;4;2;2;2;0;0;0;2;2;0;0;0;0;2;0;4;2;0;2;2;0;2;0;0;2;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;0;2;2;0;0;0;0;2
#utpol;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;2;4;2;4;0;4;2;0;2;4;2;0;0;0;0;2;2;4;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;2;4;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0
place;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;4;2;0;0;0;0;4;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
coming;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2
air;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
plan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;4;0;0;0;0;2;0;2;2;0;2;0;2;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
live;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;0;0;0;4;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;2;0;0;0;4;2;2;4;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;2;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;2;0;4;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;2;0;0;0;0;2;0;0;0;4;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
family;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;2;2;0;0;0;4;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0
utahns;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;0;2;0;2;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
life;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;2;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
session;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;2;0;2;0;0;0;0;2;0;2;2;2;0;0;0;0;2;0;2;0;0;0;0;2;0;0;4;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0
ongoing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;2;0;2;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;2;0;0;0;0
nation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
utahs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
everyone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
morning;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
prepare;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
children;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
