;people;w;paid;leave;help;workers;ubi;coronavirus;call;bill;healthcare;gop;care;could;student;pay;working;etc;policy;still;sick;work;relief;emergency;rent;take;away;suspensions;public;needs;lot;money;everyone;mortgage;cant;debt;progressive;important;major;new;loan;please;enough;nyc;climate;thank;great;support;payments;lives;means;hands;senate;unemployment;campaign;tax;bc;put;millions;insurance;payment;trump;health;state;covid;feel;fight;ny14;good;dem;afford;hospitals;understand;peoples;thing;crisis;happy;may;single;ways;corporate;tv;protect;year;stronger;move;bills;try;voters;families;vote;eviction;policies;rep;community;fund;next;jobs;response;worker
student;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;0;4;0;0;2;0;0;0;0;2;0;0;0;0;0;6;0;6;0;2;0;2;10;0;0;0;0;0;2;0;8;0;2;0;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;2;0;4;0;0;0;2;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;2;0;0
pay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;4;2;0;2;0;0;2;2;4;0;8;0;0;0;0;2;0;4;2;0;2;0;0;2;2;0;2;0;2;0;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;0;2
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;2;2;2;2;0;0;0;0;2;2;0;2;0;2;2;0;2;0;4;2;0;0;2;4;0;4;2;0;2;2;2;2;2;4;0;0;0;2;0;2;0;0;0;2;2;2;2;0;2;2;0;0;0;0;0;0;0;4;2;2;0;2;0;0;0;0;0;2;0;0;0;4;0;2;2;2;0;0
etc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;4;2;2;0;2;0;2;0;2;0;2;0;2;4;2;2;0;4;0;0;0;2;0;6;2;2;4;0;2;0;2;0;2;2;2;2;0;4;2;0;4;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;4;0;2;0
policy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;2;0;0;4;2;2;0;0;0;2;2;4;0;2;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;4;0;0
still;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;4;0;2;2;0;0;2;0;0;0;2;0;0;6;0;2;0;2;2;0;2;4;4;2;2;0;2;0;0;0;0;0;2;4;0;2;0;0;4;2;0;6;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0
sick;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;2
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;4;0;0;2;0;4;0;6;0;2;2;0;0;0;2;0;4;0;0;2;0;4;0;0;0;2;0;0;0;4;0;4;4;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;2;0;2;4;0;0;0;0;4;0;2
relief;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;4;0;2;0;0;4;0;4;0;4;0;0;2;0;2;0;2;0;0;0;0;0;2;2;0;2;4;2;0;0;0;0;2;2;2;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;4;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;2;0;0;2
emergency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;2;0;2;0;0;0;0;0;2;0;2;0;0;0;2;2;2;0;2;0;0;8;0;2;2;0;2;4;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;2;2;0;4;0;0;0;0;0;0;0;0;6;2;0;0;0;0;2;0;0
