kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD
iowans,1,monuments,1,possible,3,residents,3,plan,3,celebrate,2,service,10
ask,1,cheer,1,provide,3,important,3,forward,3,responding,2,local,10
letting,1,engagement,1,flatten,3,work,3,hard,3,impacted,2,coronavirus,9
knows,1,central,1,means,3,ensure,3,quickly,3,year,2,schools,9
becomes,1,example,1,doubt,3,economic,3,capacity,3,exercise,2,front,9
participated,1,makes,1,use,3,surveillance,3,hearts,2,trail,2,able,9
follow,1,c130,1,publics,3,fight,3,yesterday,2,weekend,2,vulnerable,9
mcguane,1,serving,1,facilities,3,directive,3,compassion,2,committed,2,governors,9
dedication,1,saddled,1,committed,3,heart,3,allow,2,towards,2,women,9
colleagues,1,incredible,1,save,3,bars,3,continued,2,socially,2,grocery,9
meaningful,1,cant,1,tested,3,looking,3,guidelines,2,difficult,2,lost,9
