;died;covid19;#memorialday;#honorthefallen;connecticut;army;people;briefing;news;data;updates;live;state;latest;iraq;discuss;patients;tested;hospitalized;update;daily;tests;currently;afghanistan;positive;reported;visit;sets;school;hold;age;happening;high;sgt;marine;youtube;facebook;connecticutwatch;staff;joined;video;thank;2004;watch;todays;covid19watch;phase;reopen;graduated;roundtable;icymi;may;advisory;cpl;battalion;committee;reopening;pfc;member;regarding;1st;2003;guidance;discussion;2011;members;2005;service;impact;education;air;spec;911;infantry;attended;20;2006;testing;1;health;commissioner;team;afternoon;joining;400pm;2007;states;de;lives;#waterbury;#newhaven;group;23;groups;nurses;combat;@ctnationalguard;served;order;star
died;0;52;130;130;62;92;52;0;0;52;0;4;54;0;78;0;52;52;52;52;52;52;52;52;52;52;50;50;36;2;46;2;36;44;28;2;2;0;22;20;0;0;28;4;0;0;0;0;22;0;0;2;0;20;20;0;0;18;14;0;18;18;0;0;18;6;18;10;0;0;8;16;14;12;14;6;14;0;0;0;0;14;0;8;0;14;2;0;4;12;8;0;10;0;0;12;6;10;0;12
covid19;0;0;0;0;76;0;54;76;76;56;76;60;58;54;0;50;54;56;54;52;56;52;54;0;52;52;52;50;0;30;0;26;0;0;0;24;24;34;0;6;20;2;0;20;18;0;0;12;0;12;16;8;12;0;0;10;2;0;0;12;0;0;0;10;0;6;0;2;14;6;4;0;0;0;0;0;0;6;0;4;4;0;10;0;10;0;4;0;2;0;4;4;8;8;0;0;0;0;2;0
#memorialday;0;0;0;130;6;92;0;0;0;0;0;0;4;0;80;0;0;0;0;0;0;0;0;54;0;0;0;0;36;0;46;0;36;44;28;0;0;0;22;20;0;0;28;2;0;0;0;0;22;0;0;2;0;20;20;0;0;18;16;0;18;18;0;0;18;6;18;10;0;0;8;16;10;12;14;6;14;0;0;0;0;14;0;8;0;14;0;0;4;12;8;0;2;0;0;12;6;10;2;12
#honorthefallen;0;0;0;0;6;92;0;0;0;0;0;0;2;0;78;0;0;0;0;0;0;0;0;52;0;0;0;0;36;0;46;0;36;44;28;0;0;0;22;20;0;0;28;0;0;0;0;0;22;0;0;2;0;20;20;0;0;18;14;0;18;18;0;0;18;2;18;6;0;0;8;16;8;12;14;6;14;0;0;0;0;14;0;8;0;14;0;0;0;12;8;0;2;0;0;12;6;10;0;12
connecticut;0;0;0;0;0;2;54;4;4;54;2;16;62;0;4;2;54;52;54;52;52;52;54;2;52;52;50;50;2;10;0;6;2;6;2;2;2;0;6;2;6;2;2;8;2;0;2;24;0;18;4;12;20;0;0;18;4;0;4;12;0;2;2;16;0;10;0;8;10;8;4;0;6;0;0;4;0;6;2;6;4;0;2;0;0;0;6;2;4;2;0;10;8;12;0;2;0;0;0;0
army;0;0;0;0;0;0;0;0;0;0;0;0;2;0;52;0;0;0;0;0;0;0;0;40;0;0;0;0;26;0;36;0;26;36;2;0;0;0;16;14;0;0;24;0;0;0;0;0;22;0;0;2;0;0;14;0;0;18;8;0;12;14;0;0;14;2;10;2;0;0;0;16;6;12;14;4;6;0;0;0;0;14;0;8;0;12;0;0;0;8;6;0;2;0;0;10;6;6;0;6
people;0;0;0;0;0;0;0;0;0;52;0;0;56;0;0;0;52;54;52;52;52;52;52;0;52;52;50;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;0;0;0;4;0
briefing;0;0;0;0;0;0;0;0;118;0;94;74;2;76;0;76;0;0;0;4;4;0;0;0;0;0;0;0;0;36;0;38;0;0;0;36;36;34;0;6;14;0;0;18;20;26;6;0;0;0;16;2;0;0;0;0;6;0;0;2;0;0;6;2;0;0;0;0;4;2;0;0;0;0;0;2;0;4;4;2;6;0;12;0;14;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
news;0;0;0;0;0;0;0;0;0;0;94;74;2;76;0;76;0;0;0;4;4;0;0;0;0;0;0;0;0;36;0;38;0;0;0;36;36;34;0;6;14;0;0;18;20;26;6;0;0;0;16;2;0;0;0;0;6;0;0;2;0;0;6;2;0;0;0;0;4;2;0;0;0;0;0;2;0;4;4;2;6;0;12;0;14;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
data;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;0;54;52;54;52;52;52;54;0;52;52;50;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0
