kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD,kw_q1,freq_q1,kw_q2,freq_q2,kw_q2YTD,freq_q2YTD
party,3,thursday,3,rates,3,north,3,senate,3,complete,3,friend,15,group,7,trying,7,friend,15
missile,3,50,3,uk,3,highly,3,comments,3,strong,3,post,15,fake,7,young,7,post,15
hour,3,texas,3,virginia,3,jobs,3,china,3,best,3,second,15,economy,7,fake,7,second,15
recently,3,denied,3,world,3,admitted,3,friday,3,looking,3,work,15,businesses,7,fact,7,work,15
place,3,citizens,3,senator,3,anime,3,strong,3,bill,3,congress,15,ukraine,7,congress,7,congress,15
history,3,later,3,donald,3,thursday,3,year,3,falcon,3,amazing,14,released,7,real,7,amazing,14
man,3,territory,3,home,3,young,3,job,3,poll,3,fight,14,democrat,7,police,7,fight,14
democrats,3,morning,3,congress,3,record,3,reserve,3,campaign,3,military,14,supreme,7,event,6,military,14
bill,3,congress,3,high,3,humanitarian,3,graphic,3,students,3,crime,14,days,7,protect,6,crime,14
fbi,3,world,3,left,3,bernie,3,director,3,terrorism,3,million,14,navy,7,asked,6,million,14
city,3,everyone,3,give,3,article,3,j,3,director,3,says,14,congress,7,take,6,says,14
louis,3,2016,3,james,3,may,3,rookie,3,law,3,night,14,history,7,private,6,night,14
