;oh;love;cant;@meredthsalenger;god;saturday;tickets;wait;show;thank;good;new;@sfsketchfest;president;poster;brilliant;amazing;wow;grab;click;thread;holy;shit;movie;journey;man;best;night;#modok;happy;lev;take;goes;wallace;trump;dude;yes;away;@castro_theatre;35th;hell;natty;perfect;anniversary;film;gann;guys;little;talk;season;gonna;favorite;left;great;next;everyone;tomorrow;twitter;evidence;caught;sell;sunday;someone;family;end;soon;genius;ticket;@celebtheatrephx;@ridgerooms;screening;qampa;lived;write;welcome;hilarious;seats;@therealraywise;gorgeous;store;hey;work;young;hes;beyond;michael;men;mean;went;seattle;tries;cuz;ha;george;artist;still;trying;hosting;@mrgeorgewallace;goofy
oh;0;2;2;0;14;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;0;0;2;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
love;0;0;0;0;0;2;0;0;2;0;2;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0
cant;0;0;0;0;2;0;2;12;2;2;0;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;2;2;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;4;0;2;2;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
@meredthsalenger;0;0;0;0;2;6;4;0;0;0;2;0;6;0;0;0;2;0;2;0;0;0;0;0;6;0;2;0;0;0;0;0;2;0;0;0;0;0;6;6;0;6;0;6;2;6;0;0;0;0;0;0;0;0;4;0;0;2;0;0;2;0;0;2;0;0;0;2;0;0;4;6;0;0;0;0;2;6;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;4;0;0
god;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
saturday;0;0;0;0;0;0;8;0;6;2;0;2;6;0;4;0;4;0;6;4;0;0;0;0;6;0;0;0;0;0;0;0;2;0;0;0;0;2;6;6;0;6;0;6;2;6;0;0;0;0;4;0;4;2;2;0;0;0;0;0;6;0;0;2;0;0;0;4;4;0;4;6;0;0;0;0;6;6;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;4;0;0
tickets;0;0;0;0;0;0;0;2;2;2;0;0;4;0;2;0;4;0;4;2;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;2;4;4;0;4;0;4;2;4;0;0;2;0;4;0;4;0;0;0;4;0;0;0;2;4;0;2;0;0;0;0;6;0;2;4;0;0;0;0;2;4;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0
wait;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
show;0;0;0;0;0;0;0;0;0;2;0;2;0;0;6;0;0;2;4;6;0;0;0;0;0;0;0;4;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;2;4;2;0;0;2;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;4;0;2;4;0;0;0;0;2;0;0;0;2;4;0;0;0;0;6;0;0;2;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0
