;covid19;tennessee;tennesseans;#covid19;watch;state;update;health;new;across;efforts;@tndeptofhealth;live;working;spread;executive;todays;recovery;order;bulletin;media;safe;briefing;learn;visit;help;response;local;officials;public;states;support;pandemic;unified;fight;stay;together;businesses;maria;school;nights;resources;information;emergency;coordinated;prayers;storms;week;command;coming;uptodate;thank;healthy;earlier;economic;tn;federal;vulnerable;morning;relief;home;cases;national;supply;difficult;communities;populations;joining;ct;part;issued;medical;temporary;nearest;partners;work;middle;@billhemmer;families;@t_e_m_a;distribution;statewide;10;care;address;300;@redcrosstn;encourage;signed;apply;reduce;keeping;nashville;call;job;food;grateful;times;connecting;neighbors
covid19;0;20;10;4;14;4;12;10;10;0;6;6;10;4;8;8;10;4;8;8;4;6;4;2;6;2;6;4;0;4;4;2;10;10;12;2;4;6;0;2;0;2;6;0;4;0;0;2;8;2;2;0;2;4;6;4;4;4;4;4;4;2;2;4;0;4;4;2;6;2;6;0;0;0;4;6;2;4;0;0;2;2;4;4;2;4;0;0;0;2;2;0;0;4;0;0;2;0;0;0
tennessee;0;0;6;10;2;12;4;6;4;8;6;4;0;4;8;6;4;8;6;2;6;0;6;8;6;6;2;6;2;0;2;4;6;2;8;0;4;8;2;6;4;10;4;6;4;4;4;4;2;2;2;2;0;2;4;2;6;0;6;2;4;2;4;4;0;4;0;4;0;2;4;2;4;4;2;2;6;4;2;2;4;2;2;4;0;0;0;0;2;4;4;0;0;0;2;0;4;2;2;4
tennesseans;0;0;0;10;2;14;12;8;8;10;14;4;2;12;8;0;2;12;2;6;0;10;0;4;0;6;2;6;8;4;6;4;0;0;2;2;8;0;2;0;2;0;0;4;6;2;4;4;0;6;4;4;8;2;0;0;4;4;4;0;2;6;0;0;8;0;4;4;2;0;2;0;0;0;4;2;4;0;2;4;2;2;0;0;0;2;2;6;0;0;4;6;0;0;0;0;0;0;0;2
#covid19;0;0;0;0;6;2;4;6;12;2;2;2;6;2;6;10;8;4;8;14;8;2;8;2;0;2;6;2;0;0;2;2;2;2;2;4;0;4;0;2;0;2;0;4;2;0;0;0;0;0;6;0;2;0;2;2;2;2;0;4;2;4;2;4;0;0;2;0;0;2;2;4;0;0;0;0;0;0;0;0;0;2;2;4;2;0;2;0;4;0;2;4;0;0;0;4;0;2;2;0
watch;0;0;0;0;0;0;12;4;0;0;0;4;18;2;2;0;10;0;0;0;12;2;12;0;0;0;2;0;4;4;4;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;2;0;0
state;0;0;0;0;0;0;6;0;2;16;6;2;0;6;4;2;0;8;2;0;0;2;0;2;0;4;2;6;6;2;0;2;0;0;0;0;4;0;4;0;6;2;0;8;2;6;6;6;0;4;0;4;0;2;0;2;4;0;6;0;0;2;0;0;6;4;0;2;0;0;0;0;0;0;2;2;4;0;4;6;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;0;4
update;0;0;0;0;0;0;0;2;0;4;10;0;10;2;4;0;8;10;0;0;0;2;0;0;2;2;2;2;6;2;2;0;2;0;2;0;4;0;2;0;2;0;0;4;2;0;2;4;0;2;0;0;2;2;0;2;0;0;2;2;0;0;0;0;2;0;0;6;4;0;0;0;0;0;0;2;2;2;0;4;0;2;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0
health;0;0;0;0;0;0;0;0;2;0;4;4;2;4;4;4;2;0;6;2;4;2;4;2;2;0;4;2;8;8;6;2;6;4;4;0;0;2;0;0;0;4;2;0;2;0;0;0;4;0;2;0;2;2;6;4;0;2;0;0;4;4;0;4;0;2;2;2;2;0;6;0;0;0;0;2;0;0;0;0;2;2;0;4;4;2;0;0;2;0;0;4;0;0;0;2;0;0;2;0
new;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;6;0;2;6;16;0;2;0;0;0;0;0;2;0;2;2;2;0;4;4;4;0;2;0;2;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;0;2;0;0;4;2;0;4;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;4;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
across;0;0;0;0;0;0;0;0;0;0;6;0;0;6;2;2;0;6;2;0;0;2;0;2;0;6;2;4;6;0;0;0;0;0;0;0;4;0;4;0;6;2;0;8;2;4;6;0;0;4;0;2;0;2;0;2;2;0;2;0;0;2;0;0;4;4;0;2;0;0;0;0;2;0;0;0;2;0;4;6;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;2;2
