;#americanidol;@americanidol;season;@lukebryanonline;think;@abcnetwork;talent;3;yes;cant;@;show;next;ready;believe;#shoesdaytuesday;ok;love;ive;big;episode;tune;@lionelrichie;hollywood;@kpcollections;thank;#douglaskiker;coast;resort;sunday;aulani;87c;song;n;night;watching;fun;people;seen;lets;voice;left;premiere;anyone;give;dad;leave;mean;good;@ryanseacrest;talk;cheerleaders;performance;eyes;hinny;still;place;judge;gonna;week;worry;aint;chat;@cynthialovely;ticket;younger;american;video;fire;looks;wasnt;times;garbage;theres;dads;needs;thought;u;room;@cynthialovelys;talking;oh;thanks;ladies;new;spa;god;west;greatness;call;golden;#kyletanguay;working;fact;sing;#franciscomartin;trust;best;group;used
#americanidol;0;2;8;14;14;4;8;6;6;8;0;6;6;4;6;0;4;2;6;4;6;4;6;8;0;8;6;2;0;2;0;0;6;0;4;4;6;6;6;6;6;6;2;6;2;6;2;6;4;0;2;4;4;2;2;6;2;2;0;2;2;4;4;0;4;2;4;0;2;4;4;4;4;2;4;4;2;2;2;0;4;2;4;2;0;0;2;2;4;0;4;4;0;4;2;4;2;2;4;4
@americanidol;0;0;10;2;0;10;4;8;0;0;0;2;4;0;0;0;0;0;0;0;2;4;2;0;0;0;0;4;0;4;0;6;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0
season;0;0;0;2;2;6;2;12;0;0;0;0;6;2;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;4;0;2;0;0;0;0;0;0;0;2;0;0;6;0;0;0;0;0;0;2;2;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0
@lukebryanonline;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2
think;0;0;0;0;0;2;0;2;0;2;0;0;2;0;2;0;0;0;0;2;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
@abcnetwork;0;0;0;0;0;0;2;4;0;0;0;0;4;0;0;0;2;0;0;0;2;6;2;0;0;0;0;4;0;6;0;6;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0
talent;0;0;0;0;0;0;0;2;4;0;0;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
3;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;2;2;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
yes;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
