;united;trump;states;president;great;people;new;american;government;federal;democrats;man;state;administration;department;campaign;americans;world;history;white;working;news;job;obama;clinton;house;thing;hillary;thank;health;men;fake;best;city;media;court;national;post;justice;strong;trying;help;attack;police;year;fact;called;following;asked;support;york;republican;shooting;donald;law;take;good;economy;country;part;supreme;texas;america;second;week;investigating;released;russia;democratic;person;election;washington;work;2016;j;huge;shot;presidential;may;continue;caught;game;3;lot;former;china;nation;announce;war;night;team;friday;judge;north;away;story;bill;times;spent;able
united;0;10;68;24;4;8;4;8;16;2;2;0;8;4;4;2;6;4;2;0;6;6;0;2;2;0;0;0;0;4;6;4;2;0;4;4;6;2;0;2;4;2;0;0;0;2;0;0;4;8;0;0;2;2;4;4;0;4;0;2;4;0;4;0;2;0;2;0;0;0;2;0;0;0;2;0;2;0;2;4;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;2;2
trump;0;0;10;28;8;4;10;2;4;4;4;4;6;14;8;16;2;4;4;2;2;4;6;2;2;2;6;4;2;0;0;2;0;2;8;0;0;0;6;4;2;6;4;0;2;4;0;0;2;0;6;2;0;16;4;0;2;2;6;0;0;2;0;0;6;6;4;10;0;2;4;2;0;8;14;2;0;6;2;0;2;0;4;0;6;0;2;2;2;0;4;2;2;0;0;2;4;6;2;4
states;0;0;0;22;4;8;4;8;16;2;2;0;8;4;4;2;8;2;0;0;6;4;0;2;2;0;0;0;0;2;6;4;2;0;4;2;4;2;0;2;4;2;0;0;2;2;2;0;4;8;0;0;2;2;4;4;0;4;2;2;2;2;2;0;2;0;2;0;0;0;2;0;0;0;2;0;2;0;2;4;2;0;2;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;2;2
president;0;0;0;0;4;8;10;10;4;6;0;2;0;2;4;6;4;6;4;0;2;6;0;2;2;2;4;2;0;0;2;4;2;2;8;2;2;0;4;2;4;4;0;0;0;0;0;0;4;2;2;2;0;6;2;4;2;2;0;2;0;2;2;0;6;2;2;4;0;0;2;4;0;4;4;2;2;2;0;2;2;0;6;0;4;0;2;0;6;0;0;4;4;2;2;2;4;2;4;2
great;0;0;0;0;0;6;2;0;4;0;2;0;10;2;0;2;0;4;6;6;2;2;12;0;0;4;2;0;6;2;0;2;8;2;2;0;0;2;0;4;6;2;2;0;0;2;2;0;0;0;0;4;0;2;2;2;0;2;4;2;0;2;2;2;0;0;2;0;0;0;2;0;0;2;2;0;0;0;2;0;0;2;2;2;0;2;2;2;0;0;2;0;0;2;0;2;4;0;0;0
people;0;0;0;0;0;0;0;12;4;0;2;0;2;0;4;4;2;2;2;4;6;0;4;4;2;2;0;2;4;0;4;0;2;0;2;4;2;2;2;0;4;0;4;2;2;2;4;2;2;2;0;4;2;0;2;0;2;4;2;0;2;2;2;2;2;2;0;0;0;4;0;4;4;0;0;0;2;0;2;2;0;0;0;8;2;0;0;0;0;4;2;0;0;0;0;0;0;0;0;2
new;0;0;0;0;0;0;0;4;4;6;6;0;6;4;2;8;4;0;6;0;2;2;2;2;6;0;0;2;0;0;0;0;2;2;2;2;2;2;2;0;0;0;0;0;4;0;6;4;0;0;16;2;0;0;2;4;0;0;0;4;0;0;0;0;2;2;6;2;2;0;2;0;0;0;4;0;0;2;0;0;4;2;2;0;0;0;2;2;2;0;0;2;2;0;0;4;2;8;4;2
american;0;0;0;0;0;0;0;0;2;0;4;0;2;2;2;0;8;4;8;4;4;2;2;4;4;4;0;4;0;4;0;0;0;0;0;2;2;4;0;0;2;0;0;0;4;6;6;0;0;0;0;2;0;0;0;2;2;2;0;2;2;0;0;2;0;0;0;0;0;0;2;4;2;0;0;0;2;0;0;0;0;0;2;0;2;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;10;0;0;6;4;4;2;2;2;0;2;4;2;4;2;0;2;0;0;0;6;0;2;0;2;0;2;0;0;2;0;2;4;0;0;0;0;0;0;0;4;0;0;0;0;2;2;0;0;0;2;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2
federal;0;0;0;0;0;0;0;0;0;0;4;2;2;2;4;0;0;0;0;2;2;4;0;2;0;4;0;0;2;2;0;2;0;2;0;4;0;0;4;0;2;4;0;0;0;2;0;2;0;0;0;2;0;0;2;2;0;2;0;4;2;2;2;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;2;2;0;0;2;0;4;4;2;0;0;0;0;0;2
democrats;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;2;2;4;0;4;6;2;4;4;4;4;2;0;0;0;4;2;0;4;0;2;0;0;0;0;0;0;0;0;2;4;0;4;2;0;4;2;0;0;2;6;4;0;0;0;0;0;2;0;2;4;2;4;0;0;0;2;2;0;2;0;2;0;2;0;0;4;0;0;2;0;0;0;2;4;0;2;0;2;0;0;0;0;2
man;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;8;0;0;0;0;4;0;0;0;6;0;2;0;2;0;0;0;0;2;2;0;2;0;2;0;0;2;0;0;2;0;0;0;8;0;2;0;4;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0
