;new;united;president;states;house;people;trump;great;american;best;government;york;news;man;party;thank;white;fbi;help;good;friend;congress;state;real;fake;law;final;world;administration;usa;committee;enforcement;justice;democrats;big;nothing;take;travel;times;federal;nations;obama;may;senate;city;voted;media;following;complete;military;important;came;called;article;away;protesters;intelligence;country;year;funding;stop;bigger;jon;narrowly;internet;version;protect;union;attacked;south;show;watched;job;full;court;drunk;children;8;ready;local;lost;republican;department;lives;passed;controversial;million;bill;put;points;clinton;former;act;amendment;totally;donald;christmas;dead;story;reuters
new;0;0;0;0;2;6;2;0;4;2;0;14;2;2;4;0;0;2;2;0;0;0;0;2;0;0;2;0;2;2;0;0;2;2;0;2;0;0;8;2;0;2;4;0;4;0;0;2;0;2;0;4;4;2;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;2;0;0;2;2;0;0;4;0;2;0;0;0;0
united;0;0;4;22;0;2;2;2;2;0;0;0;2;2;0;0;0;0;0;2;4;2;4;2;2;0;0;2;0;0;2;0;0;0;0;2;0;2;0;0;4;2;0;0;0;0;0;0;2;2;4;2;4;0;0;0;0;2;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0
president;0;0;0;4;2;6;10;0;2;0;0;0;6;0;0;2;2;0;0;0;0;2;4;2;8;0;0;0;4;0;0;0;2;2;0;4;0;2;0;0;0;2;0;2;0;2;2;0;0;0;2;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;2;4;2;0;2;0;2;4;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0
states;0;0;0;0;0;2;2;2;2;0;0;0;2;2;0;0;0;0;0;2;4;2;4;2;2;0;0;2;0;0;2;0;0;0;0;2;0;2;0;0;4;2;0;0;0;0;0;0;2;2;4;2;4;0;0;0;0;2;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;2;0;0;0;0;4;0;0;0;2;0;2;0;0;0;0;0
house;0;0;0;0;0;2;4;2;0;0;4;2;2;0;0;0;6;0;0;0;0;0;0;2;2;0;2;0;0;0;4;0;0;2;2;2;0;0;0;2;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;2;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;6;2;2;6;0;0;0;0;0;2;0;0;2;0;2;2
people;0;0;0;0;0;0;6;0;4;2;0;2;0;2;0;2;0;2;0;0;0;2;0;0;0;2;0;0;2;0;2;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0
trump;0;0;0;0;0;0;0;0;0;0;2;2;2;4;2;4;0;0;0;4;2;0;0;4;2;0;0;0;2;0;2;0;4;2;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;4;0;0;2;0
great;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;4;2;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;4;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0
american;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;2;4;0;0;0;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;4;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
