kw_q1,freq_q1,kw_q2,freq_q2,kw_all,freq_all
great,276,great,319,great,596
thank,169,people,164,thank,312
news,101,news,148,people,260
democrats,96,thank,143,news,249
people,96,fake,128,fake,206
president,83,big,116,big,173
fake,78,complete,94,democrats,150
impeachment,73,endorsement,86,president,148
trump,66,job,85,job,134
house,66,country,81,country,133
@foxnews,64,joe,80,complete,127
mini,61,military,73,trump,123
hoax,61,states,67,states,122
mike,61,media,66,military,122
new,58,president,65,endorsement,121
american,57,china,63,house,117
democrat,57,good,62,@foxnews,114
big,57,amendment,61,strong,112
bernie,56,state,61,joe,112
states,55,vets,59,new,110
strong,53,strong,59,state,108
party,52,trump,57,good,106
country,52,left,55,american,103
coronavirus,50,democrats,54,media,99
working,50,second,53,china,95
job,49,new,52,america,93
military,49,congressman,51,coronavirus,92
america,48,house,51,mike,89
state,47,@foxnews,48,vets,88
united,45,white,48,democrat,88
republican,45,help,47,history,87
win,44,american,46,republican,84
good,44,history,45,impeachment,84
history,42,america,45,left,83
congress,40,border,45,win,81
federal,39,radical,43,united,79
usa,39,sleepy,43,working,77
dems,38,police,43,party,77
#kag2020,38,law,42,hoax,77
endorsement,35,coronavirus,42,white,77
best,35,testing,41,vote,73
senate,34,hard,41,amendment,73
vote,34,world,40,border,72
do_nothing,34,work,40,hard,72
nothing,33,vote,39,work,71
complete,33,national,39,help,71
crazy,32,night,39,federal,71
china,32,republican,39,world,69
iran,32,incredible,38,congress,66
media,32,biden,38,radical,66
joe,31,lamestream,38,nothing,65
hard,31,crime,38,second,65
work,31,bad,37,usa,65
corrupt,29,win,37,dems,65
russia,29,order,36,bernie,65
#maga,29,united,34,bad,65
white,29,tom,33,national,64
vets,29,election,33,crime,64
bad,28,washington,33,sleepy,62
world,28,nothing,32,do_nothing,62
left,28,federal,32,mini,61
border,27,democrat,31,crazy,60
money,27,ventilators,31,congressman,60
together,27,#maga,30,#maga,59
record,27,governor,30,corrupt,59
crime,26,@usdot,30,russia,58
republicans,26,corrupt,29,election,58
new_york,26,russia,29,incredible,58
national,25,mike,28,biden,57
economy,25,businesses,28,order,56
election,25,crazy,28,night,56
iowa,25,do_nothing,28,law,53
jobs,25,tremendous,28,jobs,52
numbers,25,jobs,27,money,52
schiff,24,important,27,love,49
love,24,fighter,27,testing,49
deal,24,book,27,new_york,49
government,24,working,27,numbers,49
bloomberg,24,ballots,27,senator,47
help,24,political,27,best,47
radical,23,dems,27,senate,47
another,23,obama,27,lamestream,46
wonderful,23,congress,26,totally,46
americans,23,usa,26,together,46
nancy,23,coming,26,republicans,45
@foxandfriends,23,guard,26,police,45
tonight,22,farmers,26,governor,44
virus,22,party,25,john,44
texas,22,money,25,loves,43
senator,22,love,25,political,43
campaign,22,senator,25,tonight,43
john,21,totally,25,important,43
totally,21,conference,24,court,43
trade,21,proud,24,conference,42
loves,21,take,24,government,42
order,20,numbers,24,administration,42
witch,20,act,24,@foxandfriends,41
high,20,wrong,23,congratulations,41
trial,20,john,23,wrong,41
incredible,20,congratulations,23,ventilators,41
