Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,isRT,tco,Language,Month,TweetsTokenized
"When I think of people I’ve counted on over the years, Sarah Hurwitz comes to mind. She's the talented author of @HereAllAlong, and a longtime member of my team. Here she shares her experience with faith, traditions, and staying connected during this time.",280,2020-04-17 14:45:45,Twitter for iPhone,32044,5161,barackobama,1251159923955609608,False,https://t.co/pftk4JkhKQ,en,April,"['think', 'people', 'ive', 'counted', 'sarah', 'hurwitz', 'comes', 'mind', 'shes', 'talented', 'author', '@hereallalong', 'longtime', 'member', 'team', 'shares', 'experience', 'faith', 'traditions', 'staying', 'connected']"
"Democracy depends on an informed citizenry and social cohesion. Here’s a look at how misinformation can spread through social media, and why it can hurt our ability to respond to crises.",210,2020-04-15 16:43:48,Twitter Web App,125060,34819,barackobama,1250464854114213889,False,https://t.co/qnLcR3mh8A,en,April,"['democracy', 'depends', 'informed', 'citizenry', 'social', 'cohesion', 'heres', 'misinformation', 'spread', 'social', 'media', 'hurt', 'ability', 'respond', 'crises']"
For all of us who love this country and are willing to do our part to make sure it lives up to its highest ideals – now’s the time to fight for what we believe in. Join us at . And I’ll see you on the campaign trail as soon as I can.,256,2020-04-14 16:02:07,Twitter Web App,98010,19884,barackobama,1250091976487317507,False,https://t.co/Kboaxi3MVL,en,April,"['love', 'country', 'willing', 'part', 'lives', 'highest', 'ideals', 'nows', 'fight', 'believe', 'join', 'campaign', 'trail', 'soon']"
I’m proud to endorse my friend @JoeBiden for President of the United States. Let's go:,110,2020-04-14 15:47:23,Twitter Media Studio,561201,161940,barackobama,1250088269502709762,False,https://t.co/maHVGRozkX,en,April,"['proud', 'endorse', 'friend', '@joebiden', 'president', 'united', 'states', 'lets']"
"Dreamers have contributed so much to our country, and they are risking their lives fighting on the frontlines of this pandemic. They deserve permanent immigration status and a pathway to citizenship—as they are Americans in every way but on paper.",271,2020-04-13 18:01:58,Twitter for iPhone,110465,22822,barackobama,1249759749102546946,False,https://t.co/e4IYqX3WIy,en,April,"['dreamers', 'contributed', 'country', 'risking', 'lives', 'fighting', 'frontlines', 'pandemic', 'deserve', 'permanent', 'immigration', 'status', 'pathway', 'citizenshipas', 'americans', 'paper']"
We can't deny that racial and socioeconomic factors are playing a role in who is being hit the hardest by the virus. It's a reminder for our policymakers to keep our most vulnerable communities at the forefront when making decisions.,257,2020-04-13 15:33:36,Twitter for iPhone,178840,37620,barackobama,1249722411781668865,False,https://t.co/aipc8p7Hwh,en,April,"['cant', 'deny', 'racial', 'socioeconomic', 'factors', 'playing', 'role', 'hit', 'hardest', 'virus', 'reminder', 'policymakers', 'vulnerable', 'communities', 'forefront', 'making', 'decisions']"
"Although our celebrations may look different this year, our unwavering faith remains the same. For me, Easter is a time of hope––a reminder of rebirth and renewal––and a belief in a better day to come. From my family to yours, we wish you all a blessed and joyful Easter.",295,2020-04-12 14:41:33,Twitter for iPhone,525381,55410,barackobama,1249346924102275072,False,https://t.co/xEsgxOarQ5,en,April,"['although', 'celebrations', 'may', 'different', 'year', 'unwavering', 'faith', 'remains', 'easter', 'hopea', 'reminder', 'rebirth', 'renewaland', 'belief', 'family', 'wish', 'blessed', 'joyful', 'easter']"
Let’s not use the tragedy of a pandemic to compromise our democracy. Check the facts of vote by mail.,125,2020-04-10 21:08:07,Twitter for iPhone,56266,13209,barackobama,1248719432563732482,False,https://t.co/aTNxRV4Ws3,en,April,"['lets', 'use', 'tragedy', 'pandemic', 'compromise', 'democracy', 'check', 'facts', 'vote', 'mail']"
"Everyone should have the right to vote safely, and we have the power to make that happen. This shouldn't be a partisan issue.",149,2020-04-10 21:08:06,Twitter for iPhone,58156,9883,barackobama,1248719429904429056,False,https://t.co/gL38DpYEmu,en,April,"['everyone', 'vote', 'safely', 'power', 'shouldnt', 'partisan', 'issue']"
No one should be forced to choose between their right to vote and their right to stay healthy like the debacle in Wisconsin this week.,158,2020-04-10 21:08:05,Twitter for iPhone,191030,37143,barackobama,1248719426352005120,False,https://t.co/fbDCbOb9qN,en,April,"['forced', 'choose', 'vote', 'stay', 'healthy', 'debacle', 'wisconsin', 'week']"
"Some good news: states that started social distancing early and aggressively, like California, have avoided overwhelmed health care systems. It’s critical that we continue to listen to the evidence and experts and practice social distancing.",265,2020-04-10 13:50:02,Twitter for iPhone,202156,42058,barackobama,1248609184767078405,False,https://t.co/56RgGeAfr7,en,April,"['good', 'news', 'states', 'started', 'social', 'distancing', 'early', 'aggressively', 'california', 'avoided', 'overwhelmed', 'health', 'care', 'systems', 'critical', 'continue', 'listen', 'evidence', 'experts', 'practice', 'social', 'distancing']"
"Mayors have been working hard to help us get through this pandemic, and they’ll have just as big a task to help people through hard times ahead. I spent some time with many of them today to thank them for their efforts, and asked them to keep up the good work.",284,2020-04-09 21:00:27,Twitter for iPhone,140730,27420,barackobama,1248355116773769216,False,https://t.co/YzqPMPo8m2,en,April,"['mayors', 'working', 'hard', 'help', 'pandemic', 'theyll', 'big', 'task', 'help', 'people', 'hard', 'times', 'ahead', 'spent', 'thank', 'efforts', 'asked', 'good', 'work']"
