;president;united;trump;people;great;new;states;news;government;federal;national;country;best;administration;york;report;article;american;world;use;san;proud;party;youthank;increase;position;police;francisco;men;economic;working;night;help;windows;trade;support;public;four;fake;beautiful;army;join;bernie;announce;life;mean;running;middle;nation;job;city;reserve;chiefs;nuggets;using;political;conference;annual;democrats;donald;times;tax;seen;billion;list;committee;war;thank;election;agenda;major;john;hillary;islam;sanders;women;platform;incredible;military;nations;island;across;state;j;show;white;celebrate;security;number;football;respect;hard;force;death;almost;charged;air;van;pennsylvania;corps
president;0;4;14;4;4;4;2;4;0;0;2;6;0;0;4;2;2;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;2;2;2;0;2;0;2;0;2;0;0;2;0;0;0;0;0;6;4;0;2;4;4;0;0;0;0;2;0;0;6;2;0;2;2;0;2;0;0;0;2;0;0;2;0;4;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0
united;0;0;4;8;4;0;22;0;2;0;0;0;2;2;0;0;0;0;4;0;0;0;4;0;0;0;2;0;2;0;2;0;0;0;2;0;0;2;0;0;6;2;0;0;0;2;0;2;0;4;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;2;2;4;0;0;2;2;0;0;0;2;0;0;0;0;2;0;0;0;4;0;0;2
trump;0;0;0;2;2;6;0;4;0;0;2;2;0;10;2;2;0;0;0;0;0;0;4;0;4;0;2;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;4;4;0;2;6;2;2;0;2;0;0;0;0;4;0;2;2;2;0;0;0;0;0;2;4;2;2;0;6;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0
people;0;0;0;0;4;0;6;0;2;0;0;0;2;2;0;0;0;2;4;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;2;0;0;0;2;2;0;0;0;0;4;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;4;2;0;0;0;2;2;0;2;2;0;0;0;0;2;2;0;0;2;0;0;0
great;0;0;0;0;0;4;2;0;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;4;0;0;0;2;0;0;0
new;0;0;0;0;0;0;0;2;0;0;2;0;0;2;10;0;6;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;4;2;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2
states;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;4;0;0;0;4;0;0;0;2;0;2;0;2;0;0;0;2;0;0;2;0;0;6;2;0;0;0;2;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;2
news;0;0;0;0;0;0;0;0;2;4;0;2;2;0;2;4;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;8;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0
government;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
national;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;0;0;2;4;0;4;2;0;0;0;0;0;4;2;0;0;0;2;0;0;2;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;4;0;0;0;2;0;2;2;0;0;2;0;0;0;0;2;2;2;2;0;0;2;2;0;2;0;0;0;2;2;0;0;0;0;2
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;4;0;2;0;0;0;0;0;2;0;0;2;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;2;4;0;0;0;2;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;2;0;2;0;0;4;0;0;0;0;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;2;0;0;2;0;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;2;0;0;0;0;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;2;2;0;2;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0
