;trump;great;president;people;new;united;states;news;house;government;federal;american;state;national;administration;obama;white;democrats;world;donald;department;working;york;job;best;republican;city;campaign;man;police;big;party;thank;country;good;americans;trying;help;media;fake;announce;washington;former;may;history;nothing;court;presidential;post;story;political;election;called;2016;thing;times;america;senate;love;fight;think;order;article;radical;coming;fbi;senator;amazing;money;killed;law;following;night;deal;left;leader;another;november;important;texas;act;take;statement;real;women;proud;congress;fact;james;friend;arrested;hard;second;family;secretary;supreme;justice;bernie;released;looking
trump;0;26;76;18;26;12;16;10;24;6;8;10;8;12;34;12;18;10;4;46;18;4;10;4;4;16;6;32;4;2;10;8;4;10;4;0;10;2;6;8;2;4;6;12;4;6;6;16;4;10;6;6;14;10;4;6;2;2;2;6;2;6;4;2;2;10;2;0;6;4;6;4;6;12;2;6;12;2;4;2;4;6;12;2;6;0;4;6;4;2;2;4;0;6;2;6;10;4;6;2
great;0;0;20;30;20;14;16;18;18;2;2;20;14;6;2;2;14;6;12;8;6;10;4;24;14;2;4;4;8;0;8;4;20;12;8;6;2;6;4;6;4;0;2;6;6;6;2;2;4;6;0;0;2;0;6;4;2;2;8;6;6;0;4;4;6;0;14;12;6;2;4;0;2;2;6;10;4;0;2;0;2;6;4;6;4;6;0;0;0;4;0;8;2;6;6;2;2;0;2;2
president;0;0;0;24;22;32;24;12;34;8;16;12;4;18;12;14;24;8;6;26;10;4;8;14;4;8;2;2;0;4;4;6;0;6;4;2;4;4;8;6;8;4;10;6;4;4;8;4;4;8;6;6;8;4;8;6;2;4;4;0;2;4;0;4;4;6;4;0;4;2;4;6;2;4;2;4;4;0;4;4;8;4;6;6;6;6;6;4;4;8;0;6;2;6;4;6;6;2;2;2
people;0;0;0;0;20;18;20;6;10;2;8;30;4;6;8;10;6;12;16;0;8;2;14;2;8;4;12;2;4;2;4;2;4;4;8;8;2;2;4;2;0;4;4;10;4;6;4;4;2;0;4;2;4;0;10;4;8;4;6;6;10;2;4;2;2;0;2;2;4;8;2;6;6;4;4;2;6;6;10;4;0;8;6;4;4;0;6;4;2;6;4;0;0;4;6;2;4;2;4;2
new;0;0;0;0;0;10;10;16;10;4;8;6;14;10;8;6;8;10;6;10;8;12;52;4;2;6;14;6;10;6;10;8;2;6;4;2;0;6;2;8;8;8;8;0;4;8;2;0;6;8;4;0;12;0;2;24;4;0;8;2;2;6;4;2;6;4;0;6;0;2;2;0;8;8;2;0;0;0;6;2;4;2;2;2;8;0;0;0;2;4;2;4;2;2;6;0;0;4;12;2
united;0;0;0;0;0;0;116;0;12;20;8;0;2;2;10;8;6;2;8;6;2;8;4;6;2;4;6;2;2;0;4;2;4;4;2;0;2;6;2;0;10;0;2;4;8;2;4;0;0;0;4;2;6;2;4;4;16;4;0;2;4;4;2;4;2;2;0;0;4;2;0;4;2;4;2;12;0;2;4;4;4;4;0;2;6;6;2;6;2;8;0;8;2;4;0;2;2;0;2;0
states;0;0;0;0;0;0;0;2;8;20;10;0;0;2;12;10;6;2;8;6;2;8;4;6;4;4;6;2;2;0;4;4;4;6;2;0;0;10;2;0;10;0;2;4;8;2;6;0;0;0;4;2;6;2;2;4;16;6;0;6;4;4;2;4;2;2;0;0;4;4;0;6;2;4;2;12;0;2;4;4;6;4;2;2;6;6;2;10;4;8;0;8;2;4;0;4;4;2;0;0
news;0;0;0;0;0;0;0;0;6;2;0;4;2;4;0;4;4;4;0;4;2;6;4;6;8;2;0;2;6;0;4;2;2;8;8;8;8;4;16;36;0;8;6;2;6;10;0;2;8;6;2;2;0;2;2;4;0;2;0;0;2;0;0;4;0;6;2;6;8;0;0;2;2;2;6;2;0;2;4;4;2;2;0;6;0;0;0;4;8;2;2;8;0;0;4;0;2;0;2;2
house;0;0;0;0;0;0;0;0;0;6;4;6;4;8;4;6;54;6;0;6;2;0;2;2;2;2;0;2;2;2;2;2;4;4;0;2;6;2;2;4;2;6;2;2;2;4;2;2;0;4;0;0;2;2;6;2;2;4;0;0;0;0;2;2;0;6;0;4;0;6;0;2;2;4;2;4;4;2;2;0;2;2;2;4;2;0;0;0;2;0;0;0;2;2;8;0;2;0;0;4
government;0;0;0;0;0;0;0;0;0;0;20;4;2;2;6;2;2;0;2;2;2;8;0;0;0;2;2;4;0;0;0;0;2;6;0;0;4;6;2;0;4;2;0;2;0;0;8;2;0;0;2;4;0;2;2;0;2;0;0;2;0;6;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;2;0;2;0;2;2;0;0;4;2;0;0;0;0;2;0;0;6;0;0;2;2
federal;0;0;0;0;0;0;0;0;0;0;0;4;8;0;6;2;4;2;6;4;4;0;4;0;0;0;2;2;0;0;0;0;0;2;2;0;0;4;2;0;2;2;6;0;2;2;12;4;0;0;2;4;0;2;0;2;0;0;0;2;0;4;0;0;0;2;2;0;8;0;2;4;0;0;0;2;2;2;2;2;2;0;2;0;0;0;2;2;0;0;0;0;2;2;4;4;2;0;2;0
american;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;8;4;2;4;2;0;2;2;2;2;2;0;0;4;0;2;2;6;2;2;4;4;2;2;2;0;0;4;0;4;4;0;0;2;2;4;0;4;0;8;2;2;2;6;0;0;0;2;0;2;0;0;0;4;0;4;0;0;2;2;0;2;0;4;2;2;2;0;4;0;0;6;0;2;2;2;0;2;4;2;0;2;0;2;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;6;14;8;6;0;2;2;2;2;2;0;2;0;4;0;0;0;0;2;0;0;4;4;4;0;2;0;4;4;0;0;4;2;0;2;0;0;2;0;2;2;2;0;2;0;2;4;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0;0;2;0;2;2;0;4;0;0;0;4;0;0;6;2;0;0;4;0
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;10;4;6;0;4;0;4;2;4;2;14;0;4;2;4;2;8;2;2;2;6;4;2;0;2;2;6;4;4;0;0;0;4;2;0;2;4;0;4;0;2;0;2;0;2;2;0;0;0;2;2;4;0;0;0;0;4;2;0;0;0;0;0;2;0;2;2;0;2;6;4;2;2;0;0;0;0;2;2;2;0;0;4;0;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;2;4;10;6;4;2;2;0;0;4;0;0;0;0;0;2;0;2;2;0;0;0;0;2;2;2;2;2;0;0;2;0;0;0;4;0;0;4;2;0;0;0;2;0;0;0;2;2;0;0;2;2;2;4;0;0;0;0;4;0;2;2;6;2;0;0;0;0;0;0;0;0;2;0;0;4;2;0;6;0;0;2
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;14;2;4;2;4;0;2;6;0;0;0;0;0;0;0;0;2;0;2;0;0;4;2;4;0;2;0;0;6;0;2;2;2;2;4;4;2;0;0;0;2;0;0;0;2;4;0;0;0;0;2;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;12;0;0;2
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;2;4;0;0;0;2;2;2;2;4;4;0;2;2;0;2;2;2;4;0;2;0;4;2;2;0;2;0;0;2;2;4;2;2;0;2;0;0;0;2;0;0;6;0;4;0;6;0;2;2;4;0;2;4;2;2;0;0;0;2;4;0;0;0;0;2;0;2;0;0;0;4;0;0;0;0;2
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;4;0;0;0;0;2;6;2;4;4;2;14;0;6;2;0;4;0;0;0;8;0;4;2;4;2;4;0;2;2;4;0;4;0;4;0;2;4;2;0;0;6;4;0;0;2;0;4;0;2;2;0;0;2;0;0;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;2;0;2;0;4;0;4;0;4;0;0;2;2;0;0;2;0;0;2;2;0;2;0;2;2;2;2;0;0;0;2;2;4;0;0;4;2;4;6;0;4;0;4;0;0;2;2;0;0;4;0;6;2;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;0;2
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;2;10;0;12;2;0;4;2;4;4;0;0;0;0;4;4;0;2;0;0;0;2;2;12;0;2;2;2;4;4;2;4;0;2;2;2;0;6;0;0;2;4;0;0;0;0;2;0;0;4;0;4;0;0;0;0;2;2;6;0;2;0;2;4;2;0;0;0;0;2;0;2;2;0;4;2
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;2;0;4;0;4;0;0;2;0;0;2;0;4;2;0;2;4;0;6;0;2;2;0;4;0;2;2;2;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;2;4;2;0;0;0;0;2;0;0;4;2;0;4;0;0;0;2;2;0;0;2;2;0;2;2;2;18;0;6;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;2;0;4;0;4;2;0;0;0;6;2;2;4;0;0;0;2;2;0;0;4;0;0;0;0;0;0;2;2;0;0;0;0;2;0;4;0;2;2;2;0;4;4;0;0;0;0;0;0;0;0;4;0;2;2;2;2;0;2;0;0;0;2;14;2;2;2;0;0;0;0;0
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;10;2;4;4;4;0;0;2;0;0;0;0;0;2;0;6;6;0;2;0;0;0;4;2;0;0;4;0;0;24;6;0;2;2;0;2;4;0;0;4;0;0;0;2;2;0;2;4;0;0;0;0;0;0;0;2;2;0;6;0;0;0;2;0;0;0;0;2;4;0;0;2;6;2
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;2;0;2;4;4;4;2;2;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;4;0;0;2;2;0;0;6;2;0;0;0;2;0;0;0;0;0;2;0;2;2;2;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;4;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;2;2;0;0;0;10;4;0;0;2;0;4;0;2;2;4;0;0;2;0;0;0;0;0;2;2;2;0;0;2;2;2;0;2;0;2;0;2;2;0;6;0;2;0;0;2;0;0;2;2;0
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;4;24;2;0;0;0;4;0;0;2;2;0;2;2;6;0;2;10;0;2;4;6;4;4;2;0;0;6;0;0;2;0;0;0;2;0;0;0;0;0;0;2;4;2;0;0;2;0;0;0;0;0;2;6;2;2;2;2;0;0;0;0;2;0;0;2;2;4;4;0
city;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;8;2;0;0;2;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;2;4;0;2;0;0;2;0;0;4;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;4;2;0;0;2;2;2;0;0;2;2;4;0;0;2;10;4;2;0;4;4;8;2;2;0;2;2;4;0;2;0;0;0;4;0;0;2;0;0;0;2;2;0;0;2;0;0;0;2;2;4;4;4;2;0;0;0;0;0;0;0;0;2;2;4;6;2;6
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;2;2;4;2;4;0;2;2;2;0;2;0;0;0;2;0;0;4;4;0;0;2;0;0;2;4;0;4;0;0;0;0;0;0;0;0;4;2;6;0;0;2;0;2;4;0;2;0;2;0;0;0;0;0;0;2;0;4;2;8;2;2;2;0;0;0;0;0;0
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;4;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;8;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;4;2;4;0;0;0;0;0;0;0;2;0
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;2;2;4;0;0;0;2;0;2;0;0;2;0;0;2;0;0;0;0;2;2;0;2;2;0;0;2;0;2;2;2;2;0;0;0;0;4;6;0;0;2;0;0;0;2;2;0;0;0;0;0;0;4;2;0;0;2;0;0;0;0;2;0;2
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;6;0;0;4;0;0;2;2;2;4;2;0;0;2;0;4;0;0;0;0;0;0;0;2;0;0;0;0;6;0;2;0;0;0;0;0;2;4;0;4;2;4;0;0;2;0;0;0;2;2;2;0;0;4;2;0
