;city;new;york;yorkers;people;take;community;safe;street;working;home;join;nypd;call;protect;tonight;puerto;fight;work;care;citys;health;country;everyone;end;americans;trump;water;workers;thank;families;rico;across;attack;please;change;war;jewish;brooklyn;streets;antisemitism;behalf;year;bring;kids;fellow;ready;climate;theres;power;main;snow;could;effect;tomorrow;stop;lives;big;talk;help;action;de;queens;crime;taking;fear;311;someone;million;king;trumps;america;area;march;administration;loved;#mlkday;crews;stand;federal;communities;keeping;evening;island;staten;heartbreaking;neighbors;needs;local;2020;world;family;#nohatenofear;best;yorker;still;safest;ones;think;lost
city;0;82;52;30;10;12;12;14;0;12;8;12;18;10;16;12;6;12;8;0;6;2;6;4;6;4;12;0;4;14;14;4;12;8;6;6;4;6;4;0;8;16;4;2;4;4;4;4;4;2;0;10;4;0;2;6;4;12;6;2;8;0;4;12;10;6;0;4;6;2;10;12;2;2;10;2;2;0;6;8;8;10;2;0;0;4;2;0;0;4;6;6;6;6;4;2;12;2;4;6
new;0;0;68;60;12;18;16;16;4;12;8;14;18;10;14;8;8;10;8;2;18;6;6;4;4;4;10;0;6;8;10;6;12;12;4;10;0;10;8;8;6;12;10;2;6;4;4;6;4;0;0;4;4;0;2;2;8;6;0;6;12;0;2;12;12;10;0;4;10;0;2;4;0;6;10;6;0;0;6;6;6;8;2;4;4;6;4;4;4;2;8;2;6;6;10;2;4;6;2;6
york;0;0;0;8;8;8;4;8;0;4;2;2;6;6;6;4;8;6;2;0;18;2;2;0;0;4;8;0;4;0;8;6;4;2;2;8;0;0;4;2;0;4;4;0;4;4;2;6;2;0;0;4;4;0;2;2;4;0;0;4;8;0;2;6;6;0;0;4;0;0;0;0;0;0;8;2;0;0;0;6;2;4;2;0;0;2;0;4;2;0;4;2;0;6;4;2;0;4;2;4
yorkers;0;0;0;0;6;6;4;8;4;8;6;8;10;4;4;4;2;6;4;4;2;4;4;4;4;2;4;0;2;6;4;2;8;6;2;4;0;6;4;6;4;8;2;2;0;2;2;0;2;0;0;0;2;0;0;2;2;2;0;0;2;0;0;2;6;8;0;0;10;2;2;2;0;4;4;4;2;0;4;0;4;2;0;4;4;2;4;0;0;2;2;0;4;0;0;2;2;4;0;2
people;0;0;0;0;0;0;2;4;0;2;2;2;4;2;4;2;0;0;0;6;8;6;2;0;2;0;2;0;0;2;0;0;2;2;0;4;8;0;4;4;2;0;0;4;2;0;0;2;0;0;0;0;2;2;0;8;2;6;2;0;0;0;0;2;0;4;2;0;2;0;2;4;2;4;0;2;0;0;0;2;0;0;2;2;4;0;0;4;2;2;0;0;0;0;0;0;4;2;2;2
take;0;0;0;0;0;0;4;0;2;2;2;0;2;2;6;2;4;6;2;0;4;2;2;4;2;4;6;2;2;0;2;0;2;2;0;4;0;4;2;2;2;2;0;2;0;4;2;4;2;2;2;0;0;2;2;0;0;0;0;0;12;0;2;0;2;2;2;4;0;2;2;2;0;0;4;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;4;2;0;0;0;0
community;0;0;0;0;0;0;0;0;0;0;2;10;0;2;6;2;2;0;4;0;4;2;4;0;4;2;0;0;0;2;0;0;4;6;0;0;0;14;2;2;10;0;2;0;2;2;0;0;0;2;0;0;2;0;2;2;0;2;2;4;4;0;0;0;0;2;0;0;0;2;0;2;0;6;0;0;2;0;6;0;0;0;0;0;0;2;0;0;4;0;0;0;10;0;4;0;2;0;0;0
safe;0;0;0;0;0;0;0;0;2;4;4;2;12;6;4;4;0;0;2;4;2;4;4;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;2;4;0;0;0;4;0;0;4;0;0;0;0;0;0;8;0;0;2;0;2;2;0;0;2;6;4;0;8;6;0;0;2;0;0;0;0;2;0;0;0;4;2;6;6;0;0;0;2;8;0;0;2;0;0;0;2;0;0;4;0;0
street;0;0;0;0;0;0;0;0;0;0;10;0;2;0;0;2;0;0;6;2;0;2;0;4;8;0;0;8;2;0;0;0;0;0;0;0;0;0;0;6;0;0;2;6;0;0;0;0;2;6;8;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;2;2;2;0;6;0;0;0;0;0;0;0;0;0;0;0;4;0
working;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;4;4;2;0;2;2;2;2;2;0;6;0;2;10;0;4;2;2;0;2;0;0;0;0;2;0;2;2;2;0;0;0;2;4;0;0;2;0;0;2;4;0;0;0;0;0;6;0;4;0;0;2;0;4;2;4;0;0;2;0;4;0;2;6;2;0;0;0;2;0;0;0;0;4;0;0;2;0;0;2;2;2;2
