;great;people;new;president;united;states;trump;best;obama;american;world;federal;state;administration;government;tax;male;post;white;man;highly;love;national;social;women;department;may;big;person;california;security;news;book;working;country;win;thousands;republican;shot;called;nation;bill;incredible;start;announce;recent;hard;decision;citizens;men;iran;peoples;vote;end;coming;university;2;history;friend;abrams;another;help;times;election;money;west;child;death;chicago;excited;thought;dangerous;baltimore;greatest;least;football;proud;dr;international;3;military;author;lead;war;democrats;year;senate;stop;looking;justice;jobs;example;washington;secret;internet;1;america;4;expensive;controversial
great;0;4;4;2;0;0;4;2;2;6;0;0;0;0;0;0;0;2;0;2;2;2;2;0;4;0;0;2;2;0;0;0;2;0;0;0;0;2;0;2;4;0;4;2;2;0;2;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;2;2;0;0;2;0;4;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;2;0;0;0;2;0;0
people;0;0;2;6;4;2;2;4;4;4;2;4;2;4;2;0;0;2;0;0;2;2;2;0;0;4;2;0;2;0;4;4;0;0;4;0;4;0;0;2;0;0;0;0;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;0;0;2;0;0;2;0;0;0;2;2;2;0;0;2;2;0;2;2;0;0;0;0;0;0;2
new;0;0;0;2;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0
president;0;0;0;0;0;0;8;0;2;4;0;4;0;2;2;0;0;2;0;2;0;0;0;0;2;2;4;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;2;2;0;2;0;0;0;0;2;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;2;0;0;0;0;0;2;2
united;0;0;0;0;0;18;0;0;2;0;0;0;4;2;0;0;0;0;0;0;4;0;0;2;2;2;0;0;0;0;4;0;2;0;2;0;2;0;0;2;0;0;2;2;0;2;0;0;0;2;2;2;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;2;0;2;0;2;2;0;2;0;0;0;2;0;2;0;0;2;0;0;0
states;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;2;0;2;0;0;0;0;0;2;0;0;2;0;0;0
trump;0;0;0;0;0;0;0;2;2;2;0;2;0;4;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
obama;0;0;0;0;0;0;0;0;0;4;0;0;0;10;2;2;0;4;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;4;6;0;0;0;0;0;0;0
american;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0
