;great;states;united;new;house;trump;government;military;year;job;president;support;white;good;people;girl;senate;hillary;part;2016;state;york;american;party;old;democrats;federal;big;court;administration;bernie;man;supreme;usa;obama;country;post;wall;help;scam;report;street;world;democratic;presidential;clinton;nothing;series;houston;act;may;comp;thing;least;cant;update;season;feel;think;announce;europe;13;donald;related;election;sanders;documents;threat;power;dead;teenage;national;amendment;watch;incredible;left;proud;bill;access;justice;next;journal;special;game;russia;police;upset;fight;news;email;city;climbing;terrorist;best;former;hard;debate;crime;monday;senator
great;0;2;2;2;4;2;2;0;0;2;0;0;4;0;0;0;2;2;0;0;0;0;2;0;0;4;0;0;2;0;0;2;2;0;0;2;0;0;2;2;2;0;0;2;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0
states;0;0;18;2;4;2;2;2;0;4;2;0;2;0;2;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;2;0;0;2;0;0;2;0;2;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;4;2;0;2;0;0;0;0
united;0;0;0;0;4;2;0;2;0;6;2;0;2;0;2;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;4;2;0;2;0;0;0;0
new;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;2;0;0;2;0;0;0;0;0;0;2;0;2;4;2;2;0;2;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0
house;0;0;0;0;0;2;0;0;0;0;2;0;12;0;2;0;2;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
trump;0;0;0;0;0;0;0;2;0;0;2;2;2;0;2;0;2;2;0;0;0;0;0;2;0;2;2;0;4;0;0;2;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;2;2;0;0;2;0
government;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0
military;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;2;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;4;0;0;0;0;2;0;0;0;2;0;0;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2
job;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;4;0;2;2;0;0;0;0;0;0
president;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;2;0;2
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
