;missouri;covid19;state;health;care;missourians;home;director;order;plan;recovery;public;stay;may;continue;#showmestrong;thank;people;social;working;missouris;testing;distancing;across;ppe;help;work;data;reopen;governor;live;week;dr;forward;3pm;businesses;federal;parson;mike;@healthylivingmo;new;hospitals;million;facebook;economy;important;responders;capacity;essential;emergency;efforts;place;positive;system;give;families;everyone;4;workers;april;unemployment;protect;budget;briefing;support;karsten;medical;business;st;safe;update;williams;reopening;part;guidelines;food;risk;sandy;randall;take;president;show;@molabor;proud;region;private;louis;safety;begin;provide;@mopublicsafety;providers;cases;move;funding;hard;healthcare;yesterday;statewide;include
missouri;0;102;88;46;40;50;76;6;76;36;28;30;72;42;30;22;26;28;38;26;20;16;34;30;16;24;24;26;32;14;10;8;6;20;12;18;14;14;14;8;26;18;18;6;16;10;16;4;8;20;22;22;22;16;8;16;12;22;16;18;2;26;2;4;14;6;12;22;6;6;6;6;24;14;14;8;20;6;6;16;16;12;0;12;2;10;6;2;12;10;2;8;16;18;10;8;12;12;20;4
covid19;0;0;42;42;32;36;22;36;18;18;14;32;16;6;28;20;18;30;34;24;26;22;30;20;14;24;6;16;10;36;26;18;24;10;26;6;8;28;32;22;12;18;18;28;16;18;20;8;2;14;24;4;28;10;20;8;14;0;16;6;12;22;14;26;10;20;8;4;8;4;20;20;2;10;2;6;20;18;18;16;8;4;14;10;4;8;8;6;0;24;16;6;22;6;8;12;6;10;4;16
state;0;0;0;26;22;26;30;4;30;20;16;24;22;18;24;10;16;14;26;22;8;22;22;50;8;10;12;24;16;14;14;8;4;10;14;8;10;12;12;12;6;16;8;12;6;6;2;12;6;8;12;8;8;4;6;10;4;10;0;10;0;4;6;0;8;4;10;12;8;10;12;4;10;6;8;0;0;4;4;4;2;14;0;10;4;14;6;4;4;6;4;8;8;4;6;4;12;10;6;6
health;0;0;0;0;106;20;6;10;8;38;34;80;8;22;24;20;10;10;10;18;22;24;8;10;20;12;18;28;4;4;4;20;10;8;4;4;2;2;2;8;18;26;0;2;14;14;18;16;10;12;6;6;4;28;2;2;6;14;14;0;4;4;2;2;4;2;8;18;0;4;6;2;6;16;4;2;2;2;2;4;0;14;2;4;2;12;0;20;6;0;0;28;4;8;0;8;0;6;0;0
care;0;0;0;0;0;6;4;2;2;30;24;30;4;14;22;16;8;6;2;18;24;16;2;10;18;10;14;24;2;0;2;18;8;12;0;2;2;0;2;2;18;32;0;0;10;4;18;20;8;6;8;6;4;30;0;2;2;10;16;0;0;8;2;0;4;0;12;16;8;2;2;0;6;18;0;2;6;0;0;4;0;14;0;2;10;10;8;0;6;0;0;28;4;6;0;4;6;2;0;2
missourians;0;0;0;0;0;0;42;4;30;6;20;14;40;20;16;18;24;12;22;16;8;0;20;10;0;16;38;8;16;4;0;4;0;18;0;2;4;0;2;2;0;2;2;0;12;12;4;2;2;0;20;8;22;2;0;6;4;6;6;4;2;2;0;0;4;0;0;4;0;26;6;0;4;4;4;4;2;0;0;10;0;0;6;10;2;8;0;8;6;0;0;2;6;6;0;10;0;4;4;2
home;0;0;0;0;0;0;0;0;74;4;2;10;98;12;14;4;20;20;24;8;0;2;24;10;0;8;12;4;12;10;6;0;2;0;6;2;0;8;6;0;2;0;4;2;14;10;0;0;2;2;14;8;4;2;2;10;20;2;0;12;0;2;0;4;0;0;0;2;0;8;6;0;4;0;8;0;2;0;0;12;0;2;0;4;0;4;0;0;2;0;0;0;0;0;2;2;0;6;22;0
director;0;0;0;0;0;0;0;0;0;14;10;4;0;6;4;4;2;0;0;2;8;2;0;4;2;0;0;6;4;32;40;2;48;0;38;0;0;32;32;34;4;0;0;38;2;2;0;2;0;0;4;0;4;0;24;0;0;0;0;0;8;4;2;24;0;40;6;0;2;2;24;40;0;2;0;2;4;38;38;0;8;2;12;0;0;2;2;2;0;10;32;0;0;2;0;0;0;0;0;16
order;0;0;0;0;0;0;0;0;0;4;2;12;74;16;4;2;12;10;30;2;0;0;26;2;0;4;10;6;12;10;2;0;0;0;6;6;2;8;6;0;2;0;2;2;10;6;0;0;4;4;10;8;0;0;2;4;14;8;0;14;0;4;0;4;0;0;0;2;2;6;6;0;6;0;16;2;0;0;0;4;2;4;0;2;2;0;2;2;4;2;0;0;0;0;2;0;0;8;24;0
plan;0;0;0;0;0;0;0;0;0;0;74;32;4;30;16;26;0;6;4;8;22;14;2;2;20;4;10;18;26;2;10;10;6;12;10;8;2;2;2;6;18;10;0;8;12;4;8;20;20;0;4;8;0;10;8;0;2;20;8;0;0;18;0;2;2;4;4;12;4;2;0;4;8;10;8;0;18;4;4;6;6;16;2;0;2;14;4;4;6;0;2;8;2;8;0;2;8;4;0;2
