;people;city;covid19;together;safe;working;home;state;stay;#covid19;new;help;live;care;response;spread;protect;coronavirus;support;believe;information;save;2;york;possible;lives;cases;illinois;nation;stop;news;community;families;family;america;thank;toronto;health;housing;public;across;businesses;another;online;healthy;services;part;provide;bless;resource;system;country;worker;visit;threats;greatest;coming;away;thanks;states;ensure;priority;social;emergency;follow;single;communities;beginning;work;mississippi;distancing;good;call;vulnerable;kind;world;relief;planning;received;delivery;learn;efforts;number;crisis;tonight;continue;thousands;registration;internet;email;order;ambulances;tomorrow;process;enjoy;increase;president;administration;confirmed;high
people;0;2;2;4;4;8;0;4;2;2;2;2;0;2;0;2;4;0;0;2;0;0;4;0;4;2;0;4;0;2;2;0;2;0;2;0;0;2;0;0;8;0;4;2;0;2;2;0;0;4;0;0;0;0;0;2;0;2;2;2;2;0;0;0;0;0;2;0;0;0;0;2;0;4;0;6;2;2;0;2;0;4;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0
city;0;0;4;2;4;4;0;2;0;0;6;0;0;2;2;0;2;0;0;0;2;0;0;6;0;0;2;0;4;0;0;0;2;0;0;2;4;4;2;4;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;2;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;4;4;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0
covid19;0;0;0;4;2;0;0;6;0;0;6;2;6;2;4;4;2;6;2;0;0;0;0;4;4;0;2;0;2;2;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;2;0;0;2;0;2;2;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;6;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;2;0
together;0;0;0;0;0;2;2;4;0;2;2;2;0;0;2;4;0;0;4;2;2;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;2;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
safe;0;0;0;0;0;4;0;2;6;2;4;6;0;0;0;4;4;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;2;4;2;0;2;2;0;2;0;0;0;2;4;0;2;0;2;2;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;2;2;2;0;0;0;2;0;2;0;0;0;0;2;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
working;0;0;0;0;0;0;2;2;2;0;0;2;0;2;0;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;2;0;2;4;0;2;0;2;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
home;0;0;0;0;0;0;0;0;8;2;0;0;2;0;2;2;2;2;0;0;4;6;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;2;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0
state;0;0;0;0;0;0;0;0;0;0;6;2;0;0;2;0;0;2;0;0;0;0;2;2;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;2;2;2;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
stay;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;4;0;0;0;0;4;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;2;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
#covid19;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;6;4;0;0;0;2;2;4;0;0;0;0;0;0;6;0;0;2;0;0;0;2;0;0;0;0;4;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;2;0;0;0;2;6;2;0;2;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;4;2;2;2;4;0;0;2;0;0;0;4;0;0;0;4;0;0;2;0;0;2;0;2;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
live;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
response;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;2;0;0;4;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;2;0;0;0;0;0;0;8;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
