;signed;proclamation;new;public;health;disaster;#memorialday;measures;team;reopen;businesses;additional;@potus;behind;iowans;iowa;permitting;continuing;2020;thank;country;iowas;outstanding;law;statement;entire;farmers;sacrifice;covid19;part;@vp;idea;fed;carrie;community;neighbors;openings;plans;restrictions;certain;brave;#testiowa;forward;dental;seriously;safely;president;nurses;appreciate;protest;emergency;rule;combatting;frontline;reopening;responsibility;census#iowacounts;relaxing;services;grateful;togetherread;state;take;throughout;honoring;work;calls;hero;allowing;@unitypointnews;civic;placeread;@mercyonedsm;message;class;violence;pence;stoelting;freedom;appropriate;reopenings;meeting;hope;later;move;fallen;hearts;processors;proud;amazing;cherish;welcome;heroes;moines;great;badge;workers;pandemic;nights;des
signed;0;8;8;6;6;4;0;4;0;2;4;4;0;0;0;2;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
proclamation;0;0;8;6;6;4;0;4;0;2;4;4;0;0;0;2;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
new;0;0;0;6;6;4;0;4;0;2;4;4;0;0;0;2;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
public;0;0;0;0;6;4;0;4;0;2;4;2;0;0;0;2;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
health;0;0;0;0;0;4;0;4;0;2;4;2;0;0;0;2;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
disaster;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
#memorialday;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
measures;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
team;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;2;0;0;0;0;0;2;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0
reopen;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
