;#alpolitics;state;alabama;new;#yes4amendment1;al;march;proud;education;vote;3;#aledchat;help;alabamas;work;students;year;career;thank;governor;people;take;amendment;board;honor;members;#sboe;job;centers;group;working;together;full;opportunities;2020;#alsboe;serve;states;#strongstartstrongfinish;important;support;visit;special;commitment;public;session;system;old;justice;challenges;program;health;college;legislature;accountability;great;leadership;alerts;change;build;provide;administration;informed;nation;criminal;lets;learn;flag;efforts;tune;service;als;ive;future;life;century;funding;strong;@alabamaachieves;additional;women;mental;encourage;still;programs;john;across;yes;#thinblueline;expand;increase;importance;sign;recently;committed;alabamians;@potus;kimberly;calling;website
#alpolitics;0;48;34;28;20;16;20;10;18;20;20;20;14;12;16;8;12;8;10;14;14;12;14;10;4;12;14;6;8;12;10;12;10;10;8;12;2;8;4;8;10;8;4;6;8;10;10;6;10;10;8;6;4;8;10;10;8;4;6;6;8;8;8;8;8;4;4;4;8;8;8;6;4;6;6;8;8;6;0;6;2;6;2;6;4;6;6;6;4;4;4;2;6;4;4;4;2;2;4;4
state;0;0;22;8;4;4;6;4;2;2;6;4;8;6;8;2;4;2;4;8;6;2;2;2;6;0;2;2;2;2;2;2;2;0;2;0;0;4;0;6;0;4;0;4;2;0;0;2;0;2;0;0;2;2;2;6;4;0;0;2;2;4;0;4;0;0;2;2;2;4;2;4;4;6;4;4;2;2;0;0;2;0;4;4;2;0;4;0;0;0;2;0;0;6;2;2;2;0;2;0
alabama;0;0;0;4;4;2;6;2;6;4;4;4;2;2;6;0;4;0;6;2;6;4;4;2;8;4;4;0;0;4;4;6;0;0;2;2;0;4;0;2;2;2;2;2;2;0;4;0;0;0;2;0;0;6;0;2;6;0;2;2;0;0;2;4;0;0;2;2;4;0;2;2;4;4;4;0;2;0;0;2;2;0;0;2;0;2;2;0;2;0;0;0;0;2;0;2;2;0;0;0
new;0;0;0;0;6;0;2;0;4;2;4;6;2;0;2;2;0;0;2;0;4;2;2;4;0;4;4;0;2;0;2;0;0;2;2;4;2;0;0;0;0;4;0;2;4;2;0;2;0;4;0;2;0;2;2;0;0;2;0;6;2;2;4;2;0;0;0;0;4;2;2;4;0;0;0;4;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;4;0;0;0;2;0;2;4
#yes4amendment1;0;0;0;0;0;2;12;0;10;14;12;18;0;2;0;4;0;0;0;0;0;4;6;6;0;4;14;0;0;0;0;0;0;2;0;12;2;2;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;6;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
al;0;0;0;0;0;0;2;4;4;2;4;2;4;0;0;0;0;2;6;0;2;0;0;4;0;2;0;0;2;2;0;2;0;2;0;0;0;4;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;4;0;0;0;2;2;0;0;0;2;2;0;2;0;4;0;0;0;0;0;2;0;0;2;2;2;0;0;6;0;0;2;0;2;0;2;4;0;0;0;0;0
march;0;0;0;0;0;0;0;0;6;16;14;12;0;2;0;6;2;0;0;0;0;8;8;6;0;4;10;0;0;0;0;0;0;4;4;8;2;2;0;0;0;0;0;0;2;0;4;0;0;0;0;0;2;2;8;0;2;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
proud;0;0;0;0;0;0;0;0;4;0;0;0;0;0;4;2;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2;2;0;4;2;2;0;6;0;2;2;2;0;2;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;0;2;2;0;2;0;4;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;2;0
education;0;0;0;0;0;0;0;0;0;6;4;8;0;2;0;4;0;4;2;2;0;4;8;2;0;2;6;0;0;0;0;0;0;4;0;4;0;2;6;0;2;0;0;0;4;0;6;0;0;0;2;0;2;2;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;2;4;2;0;0;2;2;4;0;2;2;0;4;2;2;0;0;0;0;0;0;0;0
vote;0;0;0;0;0;0;0;0;0;0;12;12;0;2;0;4;0;0;0;0;0;4;8;6;0;4;10;0;0;0;0;0;0;4;0;10;2;2;0;0;2;0;0;0;2;0;4;0;0;0;0;0;0;2;8;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0;0;0;12;0;2;2;2;0;0;0;2;2;6;4;6;0;4;10;0;4;0;0;0;0;2;0;8;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;4;2;2;6;0;2;0;2;2;2;0;0;2;0;2;0;0;0;0;0;0;2;4;0;0;2;0;0;0;0;4;0;4;0;0;2;2;0;0;0;0;0;0;2;0;0;0;2;0
#aledchat;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;0;0;0;4;4;6;0;4;14;0;0;0;0;0;0;2;0;12;2;2;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;0;6;0;2;0;2;0;0;0;0;2;0;0;2;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;6;2;2;2;2;0;0;2;0;0;4;6;0;0;0;0;2;0;0;0;0;4;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;2;0;2;2;0;4;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;2;2;0;2;0;0;0;2
alabamas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;2;0;0;2;2;0;0;2;0;2;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;2;6;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;2;0;0;0;2;0;0;2;2;2;0;4;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0
students;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;2;2;0;2;2;0;0;0;0;0;0;6;2;2;0;0;4;0;0;2;0;2;4;0;0;0;0;0;2;2;8;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;2;0;0;0;0;2;0;0;0;2;2;4;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;2;0;0;0;0;0;0;0;2;0
career;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;4;0;0;0;0;8;0;0;4;0;0;0;0;0;0;0;0;0;2;4;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;4;0;0;0;2;2;4;4;0;0;0;0;0;2;0;0;0;2;0;0;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;4;0;0;2;0;0;0;0;0;0;0;0;2;4;0;4;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0
governor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;2;0;0;2;2;4;0;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;4;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4;0;0;0;0;0;4;2;0;4;0;0;0;0;0;2;0;0;0;2;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;2;4;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;2;0;2;0;0;0;0;4;2;0;0;2;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;2
