;city;thank;todays;community;toronto;work;residents;w;#covid19;support;#adayinthelife;people;park;youth;housing;staff;st;health;new;regent;please;centre;working;development;help;#topoli;building;street;great;public;together;meeting;#torcen;care;cabbagetown;budget;share;2020;cyc;everyone;ensure;council;thanks;mayor;women;family;social;lets;home;committee;tenants;@m_layton;agenda;torontos;plan;planning;#ward13;big;services;emergency;citys;update;mental;communities;supports;hope;downtown;violence;canada;safety;safe;economic;funding;#budgetto;another;kids;important;process;best;crisis;consultation;team;business;yonge;#yongetomorrow;expand;coming;office;critical;take;businesses;@topublichealth;list;vulnerable;theres;tax;still;learn;neighbourhood;news
city;0;18;10;22;30;16;8;18;12;14;2;12;18;18;10;24;12;8;16;14;6;18;10;10;10;4;8;2;8;14;2;8;6;0;14;16;6;12;4;4;4;22;4;6;4;0;4;8;2;6;8;10;0;10;2;12;6;12;2;10;6;8;4;2;0;2;6;4;2;4;4;2;10;10;4;2;0;4;8;8;8;0;0;0;2;6;2;2;6;2;2;0;6;2;10;4;4;8;2;0
thank;0;0;6;20;6;20;8;4;14;22;0;16;14;6;0;6;2;2;0;10;6;8;8;0;6;2;6;4;8;2;10;0;6;6;4;2;6;0;2;6;0;2;0;0;4;4;2;0;2;0;0;4;0;4;0;0;6;4;8;2;2;4;0;4;2;2;6;4;4;2;8;2;0;4;8;6;4;0;10;4;2;6;2;4;2;2;4;0;6;0;2;8;2;2;0;2;2;4;2;0
todays;0;0;0;24;16;12;8;20;8;2;70;2;16;2;6;26;22;4;6;10;8;8;4;8;2;36;0;10;2;6;2;16;2;2;4;6;2;4;4;4;0;2;2;0;4;4;2;0;4;10;0;2;22;2;8;8;4;0;4;2;0;18;0;2;0;0;2;0;2;4;0;2;0;2;4;0;0;0;0;0;0;0;2;4;4;0;0;10;0;0;0;2;2;2;0;0;0;2;2;0
community;0;0;0;0;16;16;12;18;10;12;20;10;26;12;6;14;14;6;10;22;10;16;10;10;6;6;2;8;6;2;4;8;10;6;4;2;6;4;4;4;8;2;8;4;0;4;4;0;0;4;2;2;6;0;8;2;6;10;4;4;2;4;0;4;0;4;8;6;2;6;4;2;2;0;2;2;2;2;4;4;6;2;4;4;2;0;0;0;2;0;0;2;0;2;6;0;2;4;6;0
toronto;0;0;0;0;0;10;4;12;6;8;12;4;4;8;8;10;8;8;10;2;6;6;2;4;6;8;8;6;2;4;4;10;2;4;6;4;2;6;6;4;2;8;4;10;2;0;2;4;2;6;2;2;8;0;0;2;2;4;8;4;4;2;4;4;0;0;2;2;0;4;4;2;0;2;2;2;2;0;0;6;2;0;4;2;4;4;4;0;4;2;0;0;2;4;2;2;0;0;2;4
work;0;0;0;0;0;0;8;8;8;8;2;4;2;0;6;10;2;8;2;2;8;0;6;0;4;2;6;0;10;6;18;6;12;6;0;0;4;0;2;8;6;0;6;4;2;0;2;2;2;0;0;2;2;2;4;0;4;0;2;0;0;4;0;6;2;0;6;0;4;6;8;0;0;0;2;0;6;6;6;4;0;2;0;0;0;0;2;2;2;0;4;4;2;0;4;2;2;2;2;0
residents;0;0;0;0;0;0;0;14;4;8;4;2;12;4;8;4;8;2;4;12;2;6;10;4;6;4;14;6;2;2;8;6;10;0;6;2;0;4;0;6;12;0;4;4;0;0;6;0;4;6;6;2;2;4;6;4;4;8;2;0;6;0;0;0;2;2;4;2;0;4;6;2;2;4;0;2;0;8;2;0;4;0;2;2;2;0;2;10;0;2;2;0;0;4;2;4;2;0;6;0
w;0;0;0;0;0;0;0;0;4;2;20;8;16;6;2;18;10;6;6;12;0;6;4;8;0;10;4;6;4;2;2;4;2;0;4;8;2;4;0;2;4;4;4;4;10;0;2;0;4;8;0;6;2;6;4;6;2;6;6;2;2;0;0;2;0;2;0;6;2;6;4;2;2;6;0;2;2;4;2;6;2;2;0;4;0;4;2;4;0;0;2;4;0;2;2;2;2;4;4;0
#covid19;0;0;0;0;0;0;0;0;0;12;0;14;2;2;2;4;2;12;10;2;10;0;4;0;4;2;0;0;4;4;8;0;0;12;0;0;6;2;0;6;2;0;0;2;2;0;4;8;6;0;2;0;0;2;2;0;6;2;2;6;0;10;2;0;12;4;0;2;6;0;2;10;0;0;4;2;2;0;4;6;0;0;2;2;2;4;6;0;4;2;0;6;4;4;2;2;0;2;0;2
support;0;0;0;0;0;0;0;0;0;0;0;12;2;10;6;2;6;4;4;2;4;8;4;0;8;0;0;0;2;4;4;0;4;0;8;2;4;2;6;4;4;2;6;4;0;0;2;2;4;0;4;2;0;2;2;0;4;6;6;8;4;0;2;0;2;4;0;4;2;0;2;4;4;2;0;2;2;4;6;4;0;2;4;2;2;4;2;2;4;2;2;0;6;2;0;0;0;4;2;0
#adayinthelife;0;0;0;0;0;0;0;0;0;0;0;0;14;0;6;22;20;2;2;8;0;6;2;8;0;32;0;8;2;6;0;14;0;0;4;6;0;4;4;0;0;2;0;0;4;4;2;0;0;6;0;2;16;0;6;8;0;0;4;0;0;6;0;0;0;0;2;0;2;4;0;0;0;2;0;0;0;0;0;0;0;0;2;4;4;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0
people;0;0;0;0;0;0;0;0;0;0;0;0;6;6;4;0;2;6;6;6;2;2;6;4;6;0;0;0;2;0;4;0;2;0;2;4;2;0;2;4;2;0;0;0;6;2;8;2;4;2;2;0;0;2;4;0;4;0;8;4;2;4;4;6;6;4;0;6;4;2;2;6;0;4;0;4;8;0;4;2;0;0;2;2;2;2;6;2;6;2;2;2;2;2;4;0;0;0;2;0
park;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;6;10;2;8;50;2;18;4;14;4;4;2;6;8;0;0;6;12;2;8;6;0;4;6;0;2;2;2;2;0;0;12;2;0;6;0;0;4;0;14;0;4;8;0;2;4;0;0;0;0;2;0;4;2;10;0;2;4;6;6;10;0;0;0;2;2;4;0;6;2;2;0;2;0;0;0;0;0;4;2;0;0;6;6;0
youth;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;6;14;4;26;0;8;8;0;2;2;0;0;0;0;4;0;26;10;2;6;14;0;2;12;4;8;0;4;6;2;0;4;0;0;0;0;6;0;0;6;6;10;6;0;0;4;2;0;2;8;2;2;0;4;14;6;0;6;2;0;2;2;0;0;0;0;0;2;4;0;4;0;0;0;0;4;2;0;2;4;0;0
housing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;4;8;0;0;2;0;2;2;2;8;0;0;4;2;4;4;2;0;0;0;0;0;2;0;2;0;4;0;0;2;2;2;4;6;0;2;4;6;6;0;0;2;2;2;0;4;2;2;2;2;0;4;0;0;0;0;0;0;0;2;2;0;2;4;0;0;0;0;2;0;2;0;0;0;0;2;4;2;2;2;0;0;0
staff;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;4;4;2;6;8;4;2;14;4;2;4;8;0;12;2;0;2;4;0;4;2;2;0;2;4;2;4;0;0;0;0;0;2;0;8;4;0;8;2;6;4;2;0;4;0;0;2;2;2;0;0;2;4;0;2;0;0;0;0;0;0;2;4;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;0;2;2;0
st;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;2;14;2;6;2;6;2;10;0;8;2;8;4;0;6;4;2;6;6;2;0;2;6;0;0;2;0;2;0;4;0;4;10;0;2;4;2;4;2;2;2;0;0;0;0;0;2;0;0;4;2;0;2;6;0;4;0;2;0;0;6;0;2;6;4;0;0;6;0;0;0;0;0;2;0;0;0;2;2;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;8;0;0;2;0;0;0;6;2;0;2;2;0;0;2;0;0;4;4;0;0;2;4;0;2;2;0;0;0;0;2;4;0;0;0;0;2;0;0;0;14;2;0;0;2;0;2;0;0;0;0;0;0;2;2;0;4;6;0;2;2;0;0;0;2;0;4;0;0;6;2;0;2;0;0;0;0;2
