;delaware;covid19;state;public;delawareans;health;testing;wear;community;thank;important;help;en;country;director;june;delawares;social;watch;work;protect;without;progress;face;students;stay;communities;mask;forward;enforcement;phase;serve;services;giving;spread;support;still;division;law;livestream;de;continue;food;leadership;español;working;secretary;subtítulos;budget;molly;hands;wash;across;briefing;especially;history;disease;week;good;view;monday;;pandemic;outside;tested;covering;program;businesses;safe;investments;dr;locations;race;police;throughout;rattay;school;joined;next;part;karyl;visit;hosting;live;distance;real;events;beach;general;anger;act;salivabased;change;reopening;available;household;full;stop;educators;committed
delaware;0;32;18;18;8;12;6;4;4;8;14;4;0;12;10;0;4;2;12;8;4;8;2;4;6;2;6;0;6;8;4;4;0;12;4;4;10;10;8;12;0;4;2;8;0;6;4;0;4;2;2;2;10;12;4;4;6;8;6;12;0;0;6;2;2;4;4;2;2;2;10;4;6;8;2;10;4;12;2;4;10;0;4;0;0;4;4;0;6;0;2;4;4;2;6;0;0;2;4;4
covid19;0;0;12;20;12;20;14;8;10;2;8;16;0;0;12;6;6;6;14;8;8;8;4;4;0;2;4;4;4;0;2;2;4;14;14;2;10;12;0;14;2;6;2;2;0;0;4;0;4;4;4;4;0;14;2;0;8;0;0;14;6;0;6;4;8;4;0;2;6;4;12;4;0;0;4;12;2;12;2;2;12;0;0;0;2;2;2;6;2;0;6;2;0;4;2;2;2;6;0;0
state;0;0;0;10;12;4;10;0;6;6;6;4;0;2;0;4;8;0;0;4;2;10;2;0;4;0;2;0;4;6;0;4;2;0;4;2;2;0;6;0;2;2;2;6;0;2;4;0;4;4;0;0;4;0;2;2;0;8;2;0;2;0;0;0;4;0;2;0;0;4;0;10;2;8;10;0;2;0;2;2;0;4;4;0;0;0;6;0;6;2;2;8;2;0;4;0;4;4;2;4
public;0;0;0;0;6;24;0;14;6;0;6;4;0;4;12;0;8;10;12;4;6;0;2;8;4;4;2;8;0;0;4;2;2;12;2;2;4;12;0;12;0;0;0;2;0;0;2;0;6;2;8;8;2;12;2;0;2;2;2;12;0;0;0;4;0;4;0;2;0;4;12;0;2;2;0;12;0;10;2;0;12;2;0;0;6;0;2;2;0;0;4;0;2;2;0;4;0;2;4;4
delawareans;0;0;0;0;0;8;10;6;12;6;4;6;0;2;0;4;2;6;0;6;4;8;6;6;0;6;2;0;0;0;2;4;2;0;2;4;4;0;0;0;4;0;0;2;0;0;4;0;0;4;6;6;2;0;6;6;4;4;2;0;2;0;2;4;4;4;0;4;2;0;0;4;2;0;6;0;0;0;2;2;0;6;2;0;2;6;4;2;4;4;2;8;0;2;4;2;6;2;0;0
health;0;0;0;0;0;0;2;2;6;2;4;6;0;0;12;0;2;8;12;0;0;2;0;0;0;0;2;2;0;0;4;4;8;12;4;2;2;12;0;12;0;2;0;0;0;2;6;0;2;6;0;0;0;12;4;2;0;0;0;12;0;0;2;0;0;0;0;2;2;0;12;0;0;2;2;12;2;10;4;2;12;0;0;0;0;0;2;2;2;0;2;0;0;4;0;0;0;4;0;2
testing;0;0;0;0;0;0;0;2;10;0;0;8;0;0;0;2;2;0;0;0;4;8;2;2;0;2;2;0;0;0;0;0;0;0;6;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;2;0;0;4;0;0;2;0;0;2;6;2;0;0;2;0;0;10;0;0;6;0;0;0;0;2;0;4;4;0;0;0;6;4;0;0;0;10;0;0;6;2;6;2;0;0
wear;0;0;0;0;0;0;0;0;4;0;2;4;0;0;0;0;2;10;0;2;10;0;4;16;0;12;0;16;0;0;0;0;0;0;2;0;4;0;0;0;2;2;0;2;0;0;0;0;0;0;14;14;0;0;2;0;4;0;0;0;0;0;0;8;2;12;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;8;0;0;2;0;0;4;0;0;0;0;8;0;2;0;0
community;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;4;6;2;0;2;4;4;6;2;0;2;0;2;0;0;0;0;2;0;10;2;4;0;0;0;0;0;4;0;0;0;0;0;0;0;2;2;0;0;0;2;2;2;0;0;0;0;0;2;4;2;0;2;2;0;0;6;0;0;4;0;0;0;0;2;0;4;2;0;0;0;2;2;0;0;6;4;0;0;0;0;4;2;0;0
thank;0;0;0;0;0;0;0;0;0;0;4;4;0;2;0;0;0;0;0;4;0;0;2;0;0;0;2;0;4;4;0;6;0;0;0;0;0;0;4;0;0;0;0;6;0;4;0;0;2;0;0;0;2;0;4;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;2
