;#americanidol;10;#shoesdaytuesday;@baby2baby;impacted;providing;tonight;children;items;@kpcollections;covid19;assist;top;efforts;essential;families;forget;home;vote;purchase;journey;continue;hope;leaving;et;definitely;donated;love;students;house;value;artist;gonna;performance;future;feel;little;guys;live;@lionelrichie;facebook;contestants;hair;@;kitty;girl;tune;says;next;87c;@mrbobbybones;ive;@dillonjofficial;cant;earned;seeing;gotta;hawaii;shes;20;world;choose;@abcnetwork;@lukebryanonline;tea;5;lovable;finale;beginning;u;great;window;rendition;winner;beginnings;picnic;night;seeking;#toyourhealth;run;#roberttaylor;maybe;daughter;foreseeable;round;butter;745p;reveal;nashville@ryanseacrest;pickup;means;#demirae;17;glampt;@pink;words;easy;@lovetinaturner;donating;voice
#americanidol;0;2;0;0;0;0;8;0;0;0;0;0;8;0;0;0;2;2;4;0;4;4;6;2;6;4;0;4;2;2;2;4;4;4;2;2;2;0;4;2;4;4;4;2;0;2;4;2;4;4;2;4;4;0;4;4;4;4;4;4;2;2;4;2;2;4;0;0;2;2;2;0;2;0;2;0;2;0;0;0;2;2;2;0;2;2;2;2;0;0;2;2;0;2;2;2;2;2;0;2
10;0;0;8;8;8;8;0;8;8;6;8;8;2;8;8;8;8;2;2;6;0;0;0;0;2;0;6;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
#shoesdaytuesday;0;0;0;8;8;8;0;8;8;8;8;8;0;8;8;8;6;2;0;6;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
@baby2baby;0;0;0;0;8;8;0;8;8;6;8;8;0;8;8;8;6;0;0;6;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
impacted;0;0;0;0;0;8;0;8;8;6;8;8;0;8;8;8;6;0;0;6;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
providing;0;0;0;0;0;0;0;8;8;6;8;8;0;8;8;8;6;0;0;6;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
tonight;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;2;0;0;0;0;2;0;2;0;4;0;4;0;0;2;0;0;4;0;2;4;0;0;0;0;0;0;0;2;0;0;2;0;4;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0
children;0;0;0;0;0;0;0;0;8;6;8;8;0;8;8;8;6;0;0;6;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
items;0;0;0;0;0;0;0;0;0;6;8;8;0;8;8;8;6;0;0;6;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
@kpcollections;0;0;0;0;0;0;0;0;0;0;6;6;0;6;6;6;6;2;0;6;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
covid19;0;0;0;0;0;0;0;0;0;0;0;8;0;8;8;8;6;0;0;6;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
assist;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;8;6;0;0;6;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
top;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;4;2;0;2;0;0;0;0;0;2;0;0;0;0;2;2;2;0;2;2;0;0;2;0;0;2;0;0;0;0;4;0;0;0;0;4;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
efforts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;6;0;0;6;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
essential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;0;0;6;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
