;covid19;utah;home;state;stay;spread;help;take;coronavirus;local;gatherings;slow;family;lives;utahs;people;provide;safe;care;utahns;order;health;following;together;earthquake;avoid;measures;march;@utahdepofhealth;schools;steps;still;continue;employees;prepare;public;individuals;weeks;emergency;social;learn;directive;symptoms;distancing;work;beginning;good;hear;effective;monday;quick;57;mornings;available;increasing;school;recommend;visit;working;plan;restaurants;novel;#utahcovid19;watch;sick;damage;businesses;60;making;#oneutah;community;large;service;food;procedures;medical;district;test;departments;necessary;risk;#stayhome;everyone;recommendations;means;thank;assessing;information;virus;friends;staying;please;taking;issued;mass;10;daily;big;k12;save
covid19;0;16;8;8;2;14;12;4;2;4;0;10;4;4;6;0;0;2;4;2;6;6;4;0;0;0;2;2;2;0;0;0;2;4;4;2;0;2;4;4;8;2;6;4;0;4;4;2;2;0;6;0;0;2;6;0;2;4;4;2;2;0;4;2;2;0;0;0;0;2;4;2;0;0;4;2;0;4;4;0;2;0;2;0;4;0;0;0;4;2;4;0;2;0;0;0;2;2;2;0
utah;0;0;4;12;6;10;10;4;6;2;0;6;2;2;2;0;0;2;0;0;4;6;2;2;0;0;2;2;0;0;4;2;0;0;6;2;0;4;4;0;6;2;0;0;0;0;2;0;0;0;2;0;2;2;4;0;2;2;4;2;2;4;6;2;0;2;0;0;0;2;2;0;4;2;0;0;0;4;4;2;4;0;0;0;4;2;0;0;0;0;2;0;4;4;0;0;0;2;0;0
home;0;0;0;2;22;10;10;6;8;0;0;8;8;6;2;0;2;12;6;6;0;0;2;2;0;0;0;0;0;0;2;0;0;4;0;4;2;4;0;2;2;8;2;2;4;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;6;4;2;2;2;0;2;2;0;4;4;2;0;0;0;2;0;0;2;0;4;0;0;0;2;2;6;4;2;0;0;0;4;4;0;4
state;0;0;0;0;0;4;4;0;6;2;2;0;2;2;2;6;0;0;0;0;4;4;2;2;4;2;2;2;2;0;0;0;0;0;6;0;0;2;6;0;2;0;0;0;0;4;2;0;0;0;0;4;0;2;0;0;2;0;0;0;2;2;6;2;0;2;0;0;0;0;4;4;4;2;0;0;0;0;2;0;2;0;0;0;2;2;2;0;0;2;0;0;0;6;2;2;0;2;0;0
stay;0;0;0;0;0;6;4;2;6;0;0;4;6;6;2;0;2;12;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;4;0;4;0;0;2;8;2;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;4;0;0;4;4;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;4;0;0;0;4;2;0;4
spread;0;0;0;0;0;0;8;8;16;2;0;18;4;4;2;0;0;4;4;2;4;2;4;4;0;0;4;2;0;0;4;0;4;0;0;2;0;2;2;4;2;2;0;4;0;0;4;0;2;0;2;0;2;0;4;0;2;0;0;0;2;6;0;0;2;0;0;0;0;2;4;2;0;0;2;0;0;2;2;2;0;0;0;0;4;0;0;0;2;2;6;0;2;0;0;0;2;4;2;2
help;0;0;0;0;0;0;0;6;6;2;0;8;2;2;2;0;0;2;4;2;2;2;4;4;0;0;2;0;0;0;4;2;2;2;4;0;0;0;4;2;4;0;0;2;2;0;4;0;0;0;0;0;0;2;0;0;2;2;0;0;0;2;4;2;4;2;2;0;0;6;4;0;0;0;4;2;0;0;2;0;0;2;0;0;2;0;0;0;0;0;2;4;0;0;0;0;0;0;2;2
take;0;0;0;0;0;0;0;0;4;0;0;6;0;2;2;0;2;0;6;0;0;0;2;2;0;0;0;0;0;2;8;0;0;2;2;2;2;0;0;2;2;0;0;2;2;0;2;0;4;2;2;0;0;0;4;2;0;0;0;0;0;0;0;0;2;0;2;2;0;2;2;0;0;2;2;0;2;2;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;2;0;0
coronavirus;0;0;0;0;0;0;0;0;0;2;0;10;2;2;4;0;0;4;2;2;2;2;0;6;0;0;0;2;0;0;4;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;2;8;0;0;2;0;0;0;0;2;2;2;0;0;0;2;0;2;0;2;0;2;0;0;2;0;0;0;0;2;2;0;2;0;0;0;0;4;0;2
local;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;4;0;2;2;0;8;2;2;0;0;2;0;0;4;0;2;2;2;2;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;2;0;2;4;0;0;2;2;0;0;0;0;0;2;0;2;0;4;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
gatherings;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;8;0;0;0;0;2;0;0;0;0;6;0;4;2;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;2;0;0;0;2;6;4;0;0;0;0
slow;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;4;2;2;2;4;4;0;0;2;0;0;0;4;0;2;0;0;0;0;0;0;4;0;0;0;4;0;0;2;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;2;0;0;0;0;2;4;0;0;0;2;0;0;2;2;2;0;0;2;0;2;0;0;0;2;0;4;0;2;0;0;0;0;2;2;2
family;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;4;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;2;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;6;2;2;2;0;0;0;0;2;0;0
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;6;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;2;4;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;2;0;6
utahs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;2;0;0;0;0;2;0;2;2;0;2;2;0;0;2;0;2;2;0;0;0;0;0;0;2;2;0;0;2;0;4;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;4;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;2;4;2;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0;2;2;2;0;0;0;0
provide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;2;2;2;0;0;4;0;4;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;2;0
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;8;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;4;2;0;4
