;covid19;update;health;arkansas;news;response;state;live;media;governor;hutchinson;provides;provide;watch;conference;holding;130pm;#askgovhutchinson;arkansans;public;thanks;continue;testing;federal;guidance;experts;efforts;follow;ar;next;spread;situation;question;arkansass;hope;people;care;may;week;social;evaluate;distancing;masks;thank;tested;working;level;crisis;recovery;cases;workers;12;guidelines;medical;announced;support;new;governors;hospital;tests;economic;great;staff;responders;mitigate;home;force;service;school;mask;task;safe;currently;work;easter;year;1st;covid;encourage;decision;restrictions;restaurants;committee;questions;needed;2;help;answer;socially;call;understand;necessary;advisory;certain;emergency;22;wearing;symptoms;strategy;fund
covid19;0;100;16;16;48;56;6;54;52;52;52;54;48;46;48;46;44;4;6;14;0;0;2;2;0;0;4;0;0;4;2;0;0;12;2;0;6;2;0;2;2;2;0;4;6;2;0;6;4;4;2;4;0;10;2;4;8;10;2;2;4;2;0;2;2;2;6;4;0;0;6;0;0;2;0;0;4;0;2;0;2;0;8;2;0;2;6;2;0;2;0;2;8;0;4;2;0;4;6;4
update;0;0;0;2;46;46;0;52;52;52;52;52;46;46;48;46;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0
health;0;0;0;14;0;6;24;2;0;0;0;2;0;0;0;0;0;16;12;26;20;22;6;18;26;24;10;22;10;14;6;16;10;8;16;0;12;4;10;2;14;2;4;2;0;4;14;10;2;8;8;4;2;10;2;4;2;6;2;2;2;2;2;6;6;0;2;0;2;0;2;0;6;8;2;0;4;2;0;10;6;2;8;2;8;2;4;2;0;4;0;2;8;0;8;0;0;2;6;0
arkansas;0;0;0;0;4;0;10;2;0;0;0;0;0;0;2;0;0;8;10;8;4;2;6;4;0;0;6;0;4;4;4;0;0;4;0;8;6;4;2;2;0;2;4;6;2;2;0;6;2;6;4;6;2;2;4;0;2;4;2;2;2;0;0;0;2;2;2;2;2;0;2;4;4;6;2;2;0;4;2;0;2;2;2;2;0;4;2;2;2;2;0;2;2;2;2;0;2;2;2;0
news;0;0;0;0;0;46;0;0;0;0;0;0;48;46;46;46;44;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;2;0;0;4;2;2;0;0;0;4;2;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2
response;0;0;0;0;0;0;2;0;0;0;0;0;46;46;46;46;44;0;4;6;2;0;2;0;0;0;0;0;2;0;0;0;0;6;2;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;6;0;0;0;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;6;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;2;0
state;0;0;0;0;0;0;0;2;0;4;2;0;0;2;0;0;0;16;4;2;14;16;4;18;18;18;0;16;0;10;0;16;10;4;14;0;4;0;12;0;14;0;2;2;0;2;14;2;0;0;6;0;0;0;2;4;2;2;0;2;0;2;2;2;0;2;2;0;2;0;2;0;0;0;0;2;0;2;0;10;2;0;0;0;2;0;4;0;2;0;0;2;0;0;0;2;0;2;0;2
live;0;0;0;0;0;0;0;0;52;54;54;52;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0
media;0;0;0;0;0;0;0;0;0;52;52;52;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0
governor;0;0;0;0;0;0;0;0;0;0;54;52;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hutchinson;0;0;0;0;0;0;0;0;0;0;0;52;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
provides;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0
provide;0;0;0;0;0;0;0;0;0;0;0;0;0;46;46;46;44;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0
watch;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;46;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
conference;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
holding;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130pm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
#askgovhutchinson;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;18;14;4;18;14;14;4;12;2;6;8;12;12;2;10;6;4;0;6;4;10;2;0;0;6;4;10;0;0;4;4;0;0;0;0;0;2;0;2;4;0;2;0;0;6;6;0;0;0;0;0;2;4;0;0;0;0;0;2;6;0;0;0;2;2;0;2;2;0;0;4;2;0;0;0;0;0;2;0;0
arkansans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;8;4;2;8;8;12;6;10;2;14;0;0;0;0;2;4;2;4;4;2;4;2;4;2;8;0;4;0;10;2;2;4;0;0;2;2;0;0;2;0;0;0;2;8;2;0;0;2;4;0;2;8;2;0;0;2;6;6;0;2;2;0;0;6;2;2;0;4;0;0;0;0;0;0;2;6;0;0;2
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;4;0;0;2;0;2;0;4;2;0;2;2;2;2;0;2;2;0;0;0;0;8;2;2;2;4;0;8;0;4;2;6;2;2;2;2;0;0;0;0;4;0;2;0;4;2;0;4;2;2;2;0;0;0;4;0;8;2;0;0;2;2;0;4;2;4;8;0;6;0;0;0;6;0
thanks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;2;14;20;20;8;20;8;10;8;14;12;0;12;4;0;0;12;2;12;0;0;0;2;4;12;0;0;8;0;0;0;0;0;0;0;0;0;2;0;0;0;0;8;4;0;2;2;0;0;0;8;0;0;0;0;2;2;10;0;0;0;0;8;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;22;22;8;24;6;10;10;16;10;0;14;0;0;2;10;2;14;2;2;0;0;2;14;0;0;8;0;0;2;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;4;0;0;2;8;0;0;2;0;0;0;10;0;0;0;0;8;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0
testing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;0;0;2;4;0;2;2;0;2;2;2;4;2;0;0;2;0;4;0;0;0;4;0;0;0;0;10;2;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;2;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;16;0;14;0;10;0;14;10;4;14;2;2;0;10;0;14;0;0;2;0;2;14;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
guidance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;8;22;6;10;6;16;10;0;14;0;0;0;10;0;14;0;0;0;0;4;14;0;2;6;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;2;0;2;0;2;0;6;0;0;0;0;0;0;10;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
experts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;22;6;10;6;16;10;0;14;0;0;0;10;0;14;0;0;0;0;4;14;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;0;0;0;6;0;0;0;0;0;0;10;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
efforts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;10;0;10;0;0;0;0;0;0;0;0;2;2;4;0;2;0;4;0;2;4;12;0;0;0;0;2;4;2;0;2;0;2;2;0;0;8;0;2;0;2;0;2;2;10;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;2;0;0;0;0;0;2;2;0;2;0
follow;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;10;8;16;10;0;14;0;0;2;10;2;14;2;2;0;0;2;14;0;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;0;0;0;6;0;0;0;0;0;0;10;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
ar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;2;2;2;2;0;2;2;2;2;2;0;2;2;8;2;0;2;0;2;2;0;0;4;2;0;0;4;4;6;0;0;2;4;0;0;2;8;0;0;2;0;4;0;0;2;4;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
next;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;8;2;10;0;0;0;10;0;10;0;0;0;2;0;10;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;2;0;4;2;0;4;4;0;0;0;8;0;2;4;0;0;0;0;0;0;2;0;2;0;0;10;4;0;0;2;2;0;0;8;0;0;0;2;2;4;0;0;2;0;0;6;2;2;0;2;0;0;0;0;0;0;2;4;0;0;0
