;new;watch;briefing;#coronavirus;daily;giving;york;live;state;yorkers;people;covid;holding;ny;updates;testing;mask;1130am;health;wear;available;workers;et;states;closed;asl;reopening;interpretation;captioning;nys;yesterday;thank;help;lost;tests;federal;positive;police;public;reopen;government;#newyorktough;covid19;stay;distancing;essential;phase;work;nyc;social;lives;may;law;1;facts;virus;press;working;masks;pandemic;support;order;moment;region;across;reform;cant;home;still;together;curve;good;country;begin;spread;executive;hospitalizations;crisis;change;safe;protect;face;infection;update;tested;thing;ventilators;without;frontline;stop;cases;call;show;honor;came;use;data;regions;act;americans
covid19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;0;2;0;4;2;0;2;0;2;0;0;4;2;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;2;2;0;4;4;0;2;4;4;0;0;2;0;2;0;2
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;6;2;4;2;0;0;4;2;0;0;0;0;0;0;0;0;2;0;0;10;2;0;8;0;0;2;6;0;2;0;0;2;6;0;4;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0
distancing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;38;14;4;2;2;0;0;0;6;2;2;0;6;0;2;2;0;6;6;8;0;6;2;0;0;4;4;4;0;0;2;2;8;2;0;0;2;0;0;0;4;0;0;0;0;0;0;2;2;0;0
essential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;2;2;2;2;4;0;4;4;0;0;4;0;0;2;0;0;0;6;0;0;2;4;0;2;0;0;0;2;4;0;2;0;0;6;4;0;0;0;4;0;0;0;0;0;0;0
phase;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;0;4;0;22;0;0;0;0;4;2;0;2;2;10;4;0;0;0;0;0;10;0;10;10;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;4;0;0;0;4;12;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;2;2;0;0;0;2;0;0;4;2;4;2;2;0;0;4;12;0;2;2;0;0;4;0;0;2;4;2;0;0;0;0;0;2;4;4;0;2;0;0;2;0;2;2;4;2;2
nyc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;0;2;2;2;0;0;0;0;2;0;0;2;2;2;4;0;0;2;4;0;0;0;0;0;0;0;6;0;6;0;2;2;2;2;0;0;2;0;0;0;0;0;0;0
social;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;4;0;2;0;0;4;2;2;0;2;0;2;2;0;8;4;4;0;4;0;0;0;2;2;2;0;0;2;4;10;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;0;2;0;4;2;2;0;0;2;0;4;8;0;2;4;0;2;0;10;2;0;0;0;2;6;0;0;0;0;0;2;0;8;4;2;2;0;8;0;0;0;0;0;0
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;2;0;0;0;0;4;0;0;2;4;0;0;2;0;4;8;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;4;2;0;0;0;0;0;6;0;0
