;wa;thanks;washingtonians;new;work;students;great;state;safe;good;college;people;health;country;hs;communities;working;program;leaders;protect;news;public;@monadas;leadership;week;help;@waltgov;grant;covid19;community;@dhingrama;pleasure;@cmsatwinderkaur;training;care;part;facility;support;resources;system;jobs;makes;history;workers;cost;best;deserve;means;@wawomenscomm;next;equity;workforce;story;continue;#waleg;spread;thank;climate;across;programs;healthy;live;women;novel;another;pay;lost;coronavirus;learn;example;power;incredible;success;school;high;efforts;american;innovation;progress;walla;keeping;quality;shooting;tune;@repderekkilmer;financing;necessary;earned;yesterday;stem;bring;shared;housing;investments;washingtonian;celebrate;project;@wastatelgbtq;allowing;universities
wa;0;8;10;6;12;12;10;2;4;6;14;6;4;4;6;4;2;10;4;4;6;4;6;4;2;6;6;10;4;0;4;4;4;8;0;2;4;4;6;2;4;0;0;2;4;2;2;4;4;2;6;6;0;4;4;2;0;0;2;4;0;0;2;4;0;2;2;4;4;4;6;0;2;6;6;0;0;6;2;0;4;2;2;0;4;4;4;0;2;4;0;2;2;4;0;2;0;2;2;4
thanks;0;0;4;2;8;6;8;4;2;2;4;2;0;2;2;6;0;2;2;4;2;2;0;4;2;2;0;2;0;0;0;2;0;2;0;0;0;2;2;0;2;0;0;2;0;0;0;4;0;2;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;2;4;0;2;2;2;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2
washingtonians;0;0;0;2;2;0;4;4;8;0;0;2;4;0;0;2;4;0;0;4;0;2;0;2;0;0;0;0;6;0;0;0;0;4;2;2;2;2;6;0;2;0;0;4;0;0;2;2;0;2;0;2;0;2;0;0;0;0;0;0;4;2;0;0;0;0;0;0;2;0;6;0;0;0;2;4;0;0;0;0;0;4;0;2;2;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0
new;0;0;0;0;2;2;8;0;0;2;2;4;2;2;0;2;0;0;2;0;2;2;0;0;4;0;0;0;0;0;0;0;0;2;2;4;8;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;4;0;0;0;2;0;0;2
work;0;0;0;0;0;2;6;2;6;2;0;0;2;2;0;4;2;0;6;4;2;2;2;2;2;0;0;0;2;0;0;2;0;0;0;0;2;4;2;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;2;2;0;2;4;0;2;0;2;0;2;0;0;0;0;2;2;0;2;0;0;2;0;2;0;0;4;0;0;0;2;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0
students;0;0;0;0;0;0;4;2;0;4;12;0;0;2;10;0;0;6;0;0;4;2;0;0;0;4;0;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;4;0;2;0;0;0;0;0;4;0;0;0;0;0;2;4;0;4;0;0;2;0;6;4;0;0;0;0;0;0;0;2;0;0;4;0;0;2;2;0;2;0;2;0;0;0;0;0;4
great;0;0;0;0;0;0;0;2;0;0;2;4;0;2;2;2;0;2;2;2;2;0;0;2;2;0;0;2;0;0;0;0;0;6;0;2;6;0;2;0;4;0;0;2;0;0;0;4;0;2;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;2;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;2;2;0;0;2;0;0;0
state;0;0;0;0;0;0;0;0;2;4;0;0;2;0;2;2;0;0;4;0;0;2;2;0;2;0;2;0;0;2;2;2;2;0;2;0;0;4;0;0;0;4;0;0;0;0;2;0;0;2;0;0;0;2;2;0;0;2;2;0;0;2;0;2;0;0;2;2;0;2;0;0;0;0;0;4;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0
safe;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;6;0;0;2;0;2;0;2;2;0;0;0;4;0;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;2;0;6;0;0;0;2;2;0;0;2;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0
good;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;2;0;4;4;0;8;0;0;0;2;2;0;0;0;2;0;0;0;0;4;0;0;4;0;0;0;4;0;0;2;4;2;0;0;0;0;2;2;0;4;0;0;0;2;2;0;0;0;0;2;0;0;0;4;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;4;0;0;2;0;0;0;0;2
