;great;people;united;states;president;trump;new;american;house;government;national;state;administration;obama;world;news;china;republican;federal;democrats;help;man;may;working;america;senate;article;country;police;history;thank;york;think;washington;party;end;another;hillary;donald;north;women;white;special;security;bill;corrupt;nothing;transcript;night;fbi;trying;justice;court;city;love;supreme;political;election;department;tax;committee;book;times;find;military;campaign;copy;law;work;story;final;intelligence;big;nfl;good;killed;war;rush;russian;death;marijuana;released;presidential;weeks;americans;year;important;next;south;possible;1;force;union;use;major;senator;official;20;voted;system
great;0;16;6;4;16;10;10;10;14;0;8;10;2;0;2;8;0;2;0;4;2;4;4;4;10;4;4;6;0;2;4;4;2;4;2;2;6;2;2;2;2;4;2;0;0;2;8;0;4;2;4;2;2;0;6;2;2;2;0;0;2;4;6;4;2;2;0;0;4;0;0;0;4;0;4;2;0;0;0;0;4;0;2;0;4;4;2;2;2;0;2;2;0;0;2;8;2;0;0;2
people;0;0;10;10;14;8;0;16;2;4;4;4;2;2;2;4;0;4;0;2;2;4;0;0;4;2;2;4;0;4;2;0;4;6;8;4;0;2;2;2;0;2;0;0;2;2;0;0;2;0;4;2;2;0;0;2;8;2;0;0;0;0;0;0;6;0;0;0;0;0;0;0;2;0;6;6;2;0;0;4;0;2;0;0;2;0;2;2;0;0;0;0;2;0;2;0;0;2;2;0
united;0;0;0;70;16;6;10;4;6;4;4;6;4;4;14;8;6;0;2;0;8;0;2;2;6;2;0;4;0;4;0;4;4;4;2;4;2;0;2;4;2;4;0;2;0;0;0;0;0;2;0;0;4;0;2;4;2;0;0;0;0;0;2;0;4;0;0;0;0;2;0;4;0;0;0;0;6;2;4;0;0;2;0;0;0;0;2;2;0;2;0;4;2;0;2;0;0;0;2;2
states;0;0;0;0;12;6;10;4;4;4;4;8;4;4;14;8;6;0;2;0;8;0;2;2;6;2;0;4;0;4;0;4;2;4;2;4;0;0;2;6;2;4;0;2;2;0;0;0;0;2;0;0;4;0;0;4;2;0;0;0;0;0;2;0;4;0;0;0;0;2;0;4;0;0;0;0;6;2;4;0;0;2;0;2;0;0;2;2;0;2;0;4;2;0;2;0;0;2;2;2
president;0;0;0;0;0;28;6;10;12;0;6;4;4;8;4;2;0;6;0;4;2;2;4;2;2;4;4;8;0;4;2;2;4;0;4;4;6;4;6;0;0;6;0;4;2;0;0;0;4;4;0;4;2;0;2;2;0;0;0;2;2;2;4;4;2;2;0;0;0;0;0;2;0;0;0;2;4;0;8;0;0;0;0;0;4;2;0;2;4;4;2;0;0;0;0;2;0;0;2;2
trump;0;0;0;0;0;0;2;6;12;2;6;2;10;4;2;8;2;10;4;4;0;0;4;2;2;6;0;4;0;6;0;0;0;2;4;2;2;2;18;4;2;6;4;4;0;2;4;2;2;4;4;4;0;0;2;0;0;2;2;4;4;0;4;0;2;6;2;0;0;0;2;4;2;0;2;0;2;2;4;0;0;2;2;0;2;2;2;0;4;4;2;0;0;2;0;2;2;0;2;0
new;0;0;0;0;0;0;0;0;4;2;4;4;4;4;2;2;2;2;0;2;2;2;2;0;8;0;4;0;4;4;0;16;2;2;2;0;2;2;0;0;2;2;2;0;2;0;2;2;0;0;0;2;0;6;4;0;0;0;2;2;0;2;10;0;0;2;4;0;0;2;2;0;0;0;2;2;2;2;0;2;2;2;2;0;2;2;0;0;2;2;2;0;2;0;6;0;0;0;0;0
american;0;0;0;0;0;0;0;0;2;2;0;4;6;6;2;0;4;0;0;0;2;0;2;0;2;0;2;4;2;6;2;0;0;8;0;6;2;2;2;0;0;0;0;2;0;0;0;4;0;0;2;0;4;0;0;4;6;2;0;2;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;2;2;0;2;2;0;0;0;0;2;4;0;2;2;0;0;0;0;2;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;0;2;0;4;6;0;4;0;2;0;6;2;0;0;2;4;8;0;0;0;0;0;0;0;2;2;0;6;0;4;2;0;16;0;2;4;0;4;0;0;4;0;2;0;0;0;0;2;2;0;0;6;0;2;0;0;2;0;0;0;0;0;8;2;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0
government;0;0;0;0;0;0;0;0;0;0;2;4;4;2;4;0;0;2;14;0;0;2;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;2;2;0;0;0;2;2;2;0;0;0;0;0;0;2;2;0;0;2;0;0;4;2;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;4;2;2;2;2;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0
