;nevada;thank;state;nevadans;health;phase;covid19;help;continue;reopening;work;public;face;social;testing;businesses;may;support;plan;#covid19;nevadas;distancing;2;week;new;safe;nv;response;stay;local;pandemic;states;1;medical;home;together;community;protect;#maskupnv;claims;data;please;guidance;services;emergency;people;great;forward;take;covering;working;reopen;still;system;care;directive;call;gaming;recovery;unemployment;morning;board;communities;cases;federal;coverings;united;helping;staff;proud;contact;across;press;good;able;lives;#stayhomefornevada;business;detr;capacity;safety;service;online;leaders;update;virus;tune;positive;provide;wear;grateful;hard;making;efforts;roadmap;remain;days;conference;next;statewide
nevada;0;88;98;72;46;24;68;44;22;38;44;42;28;16;32;28;24;16;44;34;6;16;22;26;16;26;10;34;14;28;24;42;12;20;32;18;16;16;2;10;22;16;10;8;8;8;34;20;16;12;22;16;16;2;8;8;8;20;38;8;20;20;14;12;20;14;44;16;6;26;6;12;12;20;16;10;10;18;4;8;6;12;18;12;20;4;20;6;10;6;16;14;8;18;34;8;4;12;4;14
thank;0;0;42;68;18;8;22;46;16;18;54;8;18;14;16;8;6;56;8;24;16;14;2;14;6;16;10;4;8;14;34;8;8;12;20;20;20;16;70;2;2;10;12;0;6;4;22;12;2;6;14;2;6;8;12;2;10;4;0;4;10;10;18;2;8;10;2;38;4;2;2;8;2;2;2;4;22;6;4;2;4;28;8;8;4;6;2;2;8;4;18;28;16;2;0;2;0;2;4;4
state;0;0;0;66;48;20;34;22;28;24;42;48;10;12;22;14;18;20;14;18;14;8;14;20;24;16;20;26;8;32;24;20;16;18;12;18;10;16;2;4;6;8;20;12;38;4;34;14;12;6;18;10;10;10;6;12;10;10;14;4;8;16;16;4;18;0;12;2;10;22;6;32;4;8;8;6;18;14;0;10;18;12;4;14;12;10;2;0;10;2;14;14;14;12;12;8;8;4;10;10
nevadans;0;0;0;0;40;30;36;32;34;36;48;20;24;12;10;12;14;10;24;22;12;12;16;22;26;32;8;18;30;8;12;22;16;12;32;20;12;22;2;20;8;18;8;8;16;8;14;18;20;10;14;12;14;10;10;12;14;8;20;22;4;8;10;12;10;12;18;14;6;12;2;4;18;16;8;4;8;8;12;10;16;4;16;2;26;16;8;4;16;4;12;18;6;6;12;8;10;14;10;8
health;0;0;0;0;0;12;22;30;16;14;18;62;4;4;10;4;6;14;12;16;12;2;6;6;12;4;12;24;6;12;10;12;8;16;6;2;10;26;0;0;10;4;2;12;12;2;8;4;12;0;10;8;2;16;32;6;2;12;10;2;4;14;2;6;4;4;2;2;2;2;10;2;4;2;0;14;6;4;2;10;30;4;4;6;10;6;2;8;0;0;2;4;8;6;4;2;2;4;0;6
phase;0;0;0;0;0;0;8;2;28;58;6;18;12;18;2;22;22;0;26;4;18;18;70;6;18;6;6;4;16;12;2;2;62;6;10;4;2;4;0;0;20;12;18;2;4;6;0;4;12;6;2;22;12;4;4;16;8;4;12;0;0;2;4;6;4;6;6;2;2;0;4;0;14;2;10;2;0;4;0;10;2;0;8;6;8;10;6;6;4;6;0;2;4;4;12;20;2;10;14;4
covid19;0;0;0;0;0;0;0;22;12;4;18;24;12;12;32;2;8;6;14;2;28;10;6;14;14;6;2;30;6;8;28;12;4;8;8;6;8;0;0;0;10;12;2;6;12;6;8;6;10;8;4;2;6;10;8;2;10;2;12;0;18;6;0;16;6;6;8;4;0;2;10;8;6;10;6;0;0;0;2;10;2;2;0;8;20;2;16;10;2;6;4;2;2;8;8;6;8;6;2;10
help;0;0;0;0;0;0;0;0;10;4;20;12;18;6;6;4;4;4;10;14;14;4;2;8;10;12;14;10;8;4;18;12;2;8;8;2;12;26;2;14;4;4;4;6;6;6;6;6;4;8;16;4;4;4;12;8;6;6;2;6;6;10;6;8;10;8;4;2;6;10;6;6;0;6;4;6;6;0;12;6;8;2;10;0;2;4;0;2;8;2;8;8;0;8;0;2;0;0;2;8
continue;0;0;0;0;0;0;0;0;0;12;20;14;6;24;12;12;8;6;4;10;10;20;8;10;20;8;14;10;14;6;6;4;16;8;12;10;4;4;0;6;10;6;4;6;4;8;2;14;6;4;8;6;4;8;8;2;4;2;0;10;0;0;2;10;0;2;0;0;10;6;2;6;2;0;8;2;8;6;4;12;0;4;8;8;0;8;0;4;8;4;2;4;2;10;0;10;6;2;4;4
reopening;0;0;0;0;0;0;0;0;0;0;8;8;4;8;10;10;14;4;36;4;26;8;20;8;12;20;0;4;6;16;0;16;26;8;6;4;4;6;0;0;24;16;12;2;4;0;0;16;8;2;6;4;2;2;4;6;2;12;16;0;6;10;2;10;4;2;8;8;2;0;0;0;14;10;2;0;0;6;0;4;8;0;4;8;10;6;16;4;6;2;2;2;6;2;14;10;2;10;16;6
