;#covid19;texas;state;texans;star;continues;spread;phase;iii;lone;new;social;@tdem;@texasdshs;great;testing;texan;de;wearing;hands;celebrate;psa;masks;combat;follow;freedom;women;executive;mask;continue;@txmilitary;@texashhsc;protocols;update;providing;medical;action;men;mitigate;distancing;support;may;team;plan;extending;taking;brown;impact;communities;midaugust;la;standard;benefits;minimum;adopted;continued;create;military;continuar;june;advice;defend;based;español;manera;los;immediately;moment;funds;pandemic;#opentexasstrikeforce;field@dallascowboys;público;part;previous;@potus;recognize;sick;partnership;emergency;tropical;las;emancipation;next;find;experts;amneris;extended;glorys;watch;economic;potential;face;cristobal;juneteenth;history;marchthanks;#covid19more;@texastech;hospital
#covid19;0;6;2;8;2;4;6;2;2;2;4;6;4;6;0;4;4;2;4;4;0;4;4;2;4;0;2;0;4;4;4;2;4;2;2;4;0;2;4;4;2;0;4;2;4;0;0;0;2;2;2;2;2;2;0;2;0;0;2;2;2;0;2;2;2;2;0;0;2;2;0;2;2;2;2;2;0;2;2;2;0;2;0;0;2;2;2;2;0;2;0;0;2;0;0;0;0;0;0;0
texas;0;0;6;4;4;6;4;2;2;4;2;0;2;2;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;2;0;4;2;4;4;2;2;0;2;0;4;2;2;2;2;2;0;4;2;0;0;2;2;2;0;2;2;2;0;2;2;0;2;0;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;2
state;0;0;0;0;8;4;0;0;0;8;2;2;2;0;0;0;2;0;2;2;0;0;0;4;0;0;0;0;2;0;0;2;0;2;2;0;2;0;0;2;2;2;0;0;0;2;0;4;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;2
texans;0;0;0;0;0;2;2;0;0;0;0;2;2;4;0;2;2;0;2;2;0;0;4;0;4;0;0;0;0;2;2;2;4;2;2;2;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;2;2;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0
star;0;0;0;0;0;2;0;0;0;8;2;2;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;2;0;4;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0
continues;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;2;0;2;2;2;0;0;4;0;2;0;0;2;0;0;4;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2
spread;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;4;0;0;2;2;2;2;2;2;4;0;2;0;2;2;2;2;0;0;0;2;0;2;0;2;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0
phase;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
iii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
lone;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;2;0;4;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0
