;people;canadians;help;new;canada;answers;country;across;families;friends;family;support;loved;still;everyone;safe;prime;needs;schools;communities;workers;kids;islamophobia;govt;plan;coming;democrats;offer;fight;tragedy;heartbreaking;situation;stand;quebec;minister;call;indigenous;government;violence;taking;friend;clear;racism;important;victims;tamil;deserve;trump;streets;together;stay;loss;pain;end;trudeau;working;heritage;justice;responsible;abortion;millions;massive;online;ford;hate;ones;speak;makes;investigation;stories;sending;asked;discrimination;flight;send;world;cdns;plane;lets;heard;standing;act;thoughts;continues;use;honoured;message;pongal;newfoundland;put;stigma;peace;fighting;house;remember;iran;raise;another;bring;welcome
people;0;0;4;2;2;0;6;8;2;0;0;0;4;4;4;4;0;2;0;2;4;2;2;0;0;0;2;0;4;2;2;0;2;0;0;0;4;6;4;2;0;0;0;2;2;0;0;0;2;2;2;0;4;4;0;4;0;0;2;2;2;4;0;0;2;2;0;0;0;0;0;2;2;0;0;2;0;0;2;0;4;2;0;2;0;0;0;0;2;4;2;0;0;0;2;0;0;0;0;0
canadians;0;0;2;0;2;6;4;4;2;4;0;2;0;2;2;2;2;4;0;6;0;0;0;0;2;4;0;2;2;4;2;0;0;0;2;0;0;0;0;0;0;2;2;4;0;2;4;2;0;2;0;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;2;4;0;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;2;0
help;0;0;0;2;4;2;0;0;4;4;2;2;0;4;0;0;2;2;0;0;0;0;0;0;4;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2;0;0;0;0;0;2;2;2;2;0;0;2;0;0;0;0;0;2;0;2;2;0;0;0;0;0;2;2;0
new;0;0;0;0;4;0;0;0;4;4;4;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;6;2;0;0;2;0;4;0;0;0;0;2;0;2;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0
canada;0;0;0;0;0;0;0;2;2;4;2;2;0;2;2;2;2;2;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;4;0;0;2;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;4;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0
answers;0;0;0;0;0;0;2;2;2;2;0;2;0;2;2;0;0;0;0;2;0;0;0;2;2;2;0;2;0;4;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;6;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;4;0
country;0;0;0;0;0;0;0;10;2;0;0;2;0;0;2;0;0;2;0;4;0;2;0;0;0;0;0;2;2;2;2;0;0;0;0;2;2;4;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0;2;0;0;2;2;2;2;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0
across;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;0;2;0;4;0;2;0;0;0;0;0;2;4;2;2;0;0;0;0;0;4;4;2;2;0;0;0;2;2;2;2;0;2;0;0;0;0;4;0;0;2;0;2;2;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0
families;0;0;0;0;0;0;0;0;0;6;2;2;0;0;2;0;2;0;0;4;0;0;0;0;0;2;2;2;0;4;2;0;2;0;0;0;0;0;0;2;0;2;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0
friends;0;0;0;0;0;0;0;0;0;0;6;2;0;0;2;2;2;0;0;4;0;0;0;0;0;4;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;2;2;0;0;0;4;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0
