;oklahoma;#covid19;oklahomans;state;continue;help;states;update;join;thank;live;together;oklahomas;response;testing;work;safely;across;health;plan;data;proud;businesses;working;#oklaproud;provide;great;take;ppe;protect;critical;stay;people;workers;new;discuss;phase;reopen;facebook;statewide;remember;please;watch;nation;care;available;thankful;full;hospital;pandemic;economy;measures;ensure;food;sen;positive;communities;gaming;community;support;helping;continuing;healthcare;funding;visit;due;program;social;recover;resources;business;next;based;2;part;@okguard;fight;leaders;rep;home;test;federal;counties;continues;hb;fellow;@realdonaldtrump;@healthyoklahoma;sb;distancing;safety;lives;honor;yesterday;proactive;secretary;virus;cities;spread;forward
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;2;4;4;2;2;4;0;2;6;4;0;2;0;0;0;0;2;0;2;6;0;4;0;0;0;2;0;0;2;2;2;0;0;4;2;4;0;2;0;4;4;2;4;0;0;0;0;4;0;0;2;2;0;2;0;0;0;4;0;4;2;2;6;0;6;0;0;0
ppe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;10;2;0;0;0;2;0;0;2;0;0;4;4;2;0;4;4;0;4;8;0;0;0;2;0;0;0;2;2;4;0;2;0;0;0;0;0;0;0;2;0;4;6;2;0;0;2;0;0;0;0;0;2;0;4;0;0;2;0;0;0;4;0;2;0;2;2
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;2;0;0;4;2;0;0;4;0;0;0;0;4;4;4;0;0;0;2;4;0;0;0;2;0;0;4;0;0;0;0;2;0;0;0;0;6;2;2;2;0;0;2;6;2;0;4;2;0;2;2;0;2;2;2;6;2;0;0;0;8;2;0;0
critical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;0;2;0;0;0;4;0;2;2;2;2;0;0;0;2;0;0;0;0;4;0;4;0;0;2;2;2;4;6;2;2;4;4;0;2;6;6;2;2;0;0;0;0;0;4;0;2;0;4;2;4;2;0;0;0;0;0;0;0;4;2
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;2;0;2;2;0;2;4;0;4;0;2;0;0;2;0;0;0;0;0;2;0;4;2;2;0;2;0;2;4;2;2;0;0;0;0;0;0;0;0;0;8;2;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;2;2
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;4;2;4;0;4;0;4;0;0;0;0;0;0;2;2;2;2;4;0;0;0;0;2;2;0;0;2;0;2;2;4;0;2;4;0;2;2;0;2;2;0;4;0;0;2;2;2;0;0;0;2;0;4;2;4;0;0;0;0;2;0
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;6;0;0;4;2;2;0;4;4;0;2;4;0;0;0;0;0;2;0;0;2;18;0;2;0;0;0;0;0;0;0;4;0;0;0;0;4;0;2;0;2;2;0;0;2;0;2;0;0;4;2;2;0;2;0;0;0;2;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;8;0;2;0;0;0;0;0;2;0;2;0;0;2;10;0;2;0;2;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;4;2;2;2;2;0;0;0;0
discuss;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;0;2;0;2;0;2;4;2;0;2;6;4;0;0;0;0;2;0;0;0;2;4;0;0;0;0;2;2;4;2;0;0;2;2;2;2;0;4;0;0;0;6;0;0;0;0;2;0;0;2;0;0;2;4;4;2;2;0;0;0
phase;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;0;0;4;0;4;0;0;0;0;0;8;6;0;2;2;6;16;4;0;0;0;0;2;2;0;0;8;0;0;0;2;0;8;0;0;0;2;0;0;2;0;0;0
reopen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;2;4;0;2;6;6;0;0;0;2;0;0;2;0;2;4;0;0;0;0;0;4;4;0;2;0;0;6;0;0;2;0;0;0;2;2;0;2;0;0;0;2;0;4;4;0;0;4;4;0;0;0;0;0
facebook;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
statewide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;8;2;0;2;0;2;0;0;2;2;4;2;0;0;4;0;4;2;0;2;4;0;0;2;2;0;0;2;0;2;0;2;0;2;2;6;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0
remember;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;8;4;0;0;0;0;0;0;0
please;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;2;0;0;2;0;0;10;4;0;0;0;0;0;0;2;2;2;0;6;2;2;2;0;4;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;4;0
watch;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;12;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;2
nation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;0;0;0;0;2;8;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;0;0;8;0;2;0;0;0;2;2;0;4;2;0;2;2;0;0;2;0;0;0;0;0;0;4;2;0;2;4;2;0;0;0;0;2;0;6;2;0;2;0;0;2;0;0;0;0;4;2
available;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;0;4;0;0;2;0;0;0;0;0;2;0;0;4;2;2;0;0;4;0;0;0;0;0;0;0;0;0;2;6;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0
thankful;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;2;0;0;4;0;2;6;4;2;0;0;0;2;0;0;2;2;0;0;0;0;0;2;2;0;0;0;2;4;0;0;0;2;0;4;0;0;0;2;0;0;2;0;2;0;0;0
full;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;4
