kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD
senate,33,senate,11,senate,47,program,34,senate,23,senate,15,senate,149
house,24,president,10,bipartisan,28,paycheck,23,democrats,16,american,11,democrats,73
impeachment,17,impeachment,7,american,24,protection,22,american,13,people,10,american,69
democrats,16,democrats,7,coronavirus,22,senate,20,house,12,act,10,house,50
partisan,12,partisan,6,businesses,22,democrats,18,country,11,americans,10,act,50
case,11,proud,5,act,21,act,16,coronavirus,10,nation,9,businesses,45
trial,8,families,5,help,21,funding,15,across,9,police,9,bipartisan,44
american,8,country,5,families,20,week,14,crisis,9,cannot,8,americans,44
political,7,work,5,americans,16,americans,14,workers,8,democrats,7,coronavirus,40
states,6,coal,4,workers,15,workers,14,nation,8,justice,7,program,39
investigation,5,stand,4,relief,14,american,12,people,8,reform,6,workers,39
rush,5,trump,4,health,13,cares,12,new,8,week,6,help,38
senators,5,defending,4,bold,13,businesses,10,work,8,violent,5,people,37
process,5,#kentucky,4,nation,11,discuss,10,pandemic,7,legislation,5,nation,35
president,5,washington,4,republicans,11,crisis,10,legal,7,law,5,families,33
bipartisan,5,communities,4,stand,11,republicans,10,businesses,7,continue,4,work,31
questions,4,process,4,legislation,11,kentuckians,9,heroes,6,protests,4,country,31
senates,4,put,4,working,10,help,9,national,6,peace,4,week,30
speaker,4,discuss,4,people,10,historic,9,senates,5,president,4,protection,30
take,4,new,4,energy,9,jobs,9,together,5,lands,4,paycheck,27
people,4,trial,4,democrats,9,money,8,kentucky,5,millions,4,crisis,27
weeks,4,strong,3,economic,9,bipartisan,8,help,5,protection,4,impeachment,27
passions,4,lincoln,3,state,9,across,7,working,5,hope,4,stand,26
united,4,believe,3,security,9,hope,7,world,5,businesses,4,republicans,26
constitution,3,conclusion,3,economy,9,emergency,7,relief,5,historic,4,cares,25
continue,3,presidents,3,work,9,support,7,wish,4,free,4,new,25
serious,3,presidency,3,strong,8,bill,7,fight,4,citizens,4,discuss,24
beyond,3,abraham,3,support,8,coronavirus,6,louisville,4,proud,4,partisan,24
judgment,3,kentuckys,3,emergency,8,joined,6,months,4,rights,4,president,24
middle,3,protect,3,continue,8,crucial,6,america,4,great,4,funding,23
majority,3,kentucky,3,professionals,8,new,6,diversity,4,preserve,4,together,22
full,3,institutions,3,cares,8,kentucky,6,program,4,world,4,relief,22
precedent,3,great,3,medical,8,icymi,6,continue,4,riots,4,across,22
could,3,framers,3,country,7,blocking,5,protections,4,equal,3,senates,22
sober,3,#kyindc,3,house,7,saving,5,intelligence,4,local,3,continue,22
without,3,miners,3,together,7,million,5,recovery,4,federal,3,kentucky,21
may,3,house,3,passed,7,together,5,industry,4,communities,3,legislation,21
finally,3,life,3,pass,7,soon,5,global,4,together,3,health,21
enough,3,take,3,crisis,7,colleagues,5,home,3,stand,3,proud,21
framers,3,nation,3,funding,7,health,5,memorial,3,cares,3,support,20
country,3,senates,2,healthcare,7,pandemic,5,call,3,bipartisan,3,working,20
cannot,3,colleagues,2,combat,7,blocked,5,session,3,support,3,cannot,19
1999,3,honor,2,urgent,7,people,5,continuing,3,country,3,state,18
stop,3,state,2,cash,7,focus,5,days,3,needs,3,historic,18
thank,3,speak,2,leaders,6,priorities,4,protection,3,recreation,3,states,17
games,3,@kyfb,2,cannot,6,paychecks,4,week,3,public,3,kentuckians,17
fair,3,women,2,senates,6,states,4,essential,3,leaders,3,emergency,17
overwhelming,3,tonight,2,hands,6,judge,4,thanks,3,protect,3,national,17
urgent,3,republic,2,administration,6,@foxnews,4,impeachment,3,national,3,healthcare,16
trump,3,power,2,proposal,6,urgent,4,bluestate,3,amendment,3,strong,16
protect,3,job,2,put,6,shut,4,called,3,next,3,pandemic,16
witnesses,3,talk,2,aid,6,federal,4,professionals,3,kentucky,3,jobs,15
evil,2,army,2,talks,6,senates,4,healthcare,3,work,3,pass,15
phase,2,watch,2,agreement,6,vote,4,cannabis,3,help,3,trial,15
grateful,2,joining,2,#aipac2020,6,reconvening,4,important,3,strong,3,political,15
provide,2,trumps,2,new,6,tomorrow,4,another,3,issue,3,hope,15
secretary,2,honored,2,proud,5,families,4,serious,3,civil,3,washington,15
interests,2,@foxnews,2,experts,5,jobsaving,4,list,3,bill,3,world,15
voted,2,national,2,israel,5,work,4,business,3,mayors,3,urgent,14
try,2,union,2,lets,5,proud,4,tune,3,cheer,2,economic,14
hold,2,@bretbaier,2,fight,5,democratic,4,showing,3,trump,2,bill,14
unanimous,2,longterm,2,united,5,healthcare,4,solutions,3,serious,2,put,14
nakedly,2,norms,2,continuing,5,statement,4,weeks,3,kong,2,leaders,14
judge,2,confirming,2,discuss,5,stepping,4,thank,3,america,2,speaker,14
terrorist,2,proved,2,national,5,provide,4,end,3,unite,2,take,13
business,2,office,2,stay,5,next,4,trying,3,selectively,2,process,13
iran,2,recovery,2,historic,5,hospitals,4,millionaires,3,debate,2,bold,13
body,2,think,2,federal,5,tune,4,joining,3,40,2,united,13
state,2,entire,2,virus,5,month,4,americans,3,process,2,statement,13
houses,2,et,2,package,5,dry,4,bill,3,expert,2,federal,13
rules,2,iowa,2,congress,5,pass,4,est,3,injustice,2,great,13
agreed,2,safe,2,clear,5,funds,4,response,3,exercise,2,economy,13
delayed,2,men,2,ready,5,without,4,ways,3,constitutional,2,colleagues,12
decided,2,businesses,2,direct,5,hong,3,speaker,3,completely,2,professionals,12
managers,2,thank,2,local,5,unrelated,3,still,3,days,2,passed,12
actually,2,priorities,2,officials,5,forward,3,discuss,3,wearing,2,heroes,12
winwin,2,law,2,period,5,popular,3,tax,3,destroyed,2,protect,12
servicemembers,2,innocent,2,steps,5,layoffs,3,paycheck,3,killings,2,joining,12
honor,2,human,2,response,4,response,3,liability,3,foreign,2,serious,12
persuasive,2,whove,2,public,4,essential,3,stand,3,neighborhoods,2,response,12
stand,2,world,2,laidoff,4,partisan,3,jobs,3,laws,2,money,12
families,2,shortterm,2,rush,4,joining,3,taxpayerfunded,3,accountability,2,trump,12
death,2,position,2,states,4,employees,3,full,2,@senatortimscott,2,democratic,11
statement,2,firewall,2,assistance,4,important,3,package,2,outdoors,2,case,11
events,2,reckless,2,close,4,online,3,act,2,hong,2,tune,11
reopen,2,economy,2,yesterday,4,political,3,virus,2,@senatorcollins,2,job,11
life,2,week,2,statement,4,laid,3,serve,2,@senatortimscotts,2,weeks,11
soleimani,2,floor,2,toward,4,use,3,experts,2,sides,2,icymi,11
doubt,2,couldnt,2,job,4,increase,3,sick,2,kentuckians,2,steps,11
allies,2,attack,2,innovation,4,supporting,3,2016,2,chinese,2,deserve,11
nation,2,warm,1,washington,4,congress,3,seriously,2,cant,2,medical,11
institutional,2,lead,1,speaker,4,@guybensonshow,3,forced,2,survive,2,local,11
unity,2,option,1,access,4,leaders,3,critical,2,ensure,2,thank,11
force,2,george,1,resources,4,walker,3,reopen,2,steps,2,america,11
procedure,2,ive,1,heroes,4,trying,3,passed,2,liberal,2,joined,11
founding,2,election,1,afford,4,brave,3,job,2,peaceful,2,administration,11
good,2,healthcare,1,nurses,4,president,3,blank,2,distinguish,2,security,10
reasonable,2,claimed,1,business,4,efforts,3,lines,2,faith,2,brave,10
unfair,2,carp,1,world,4,testing,3,cant,2,proposal,2,fight,10
built,2,armys,1,week,4,clean,3,forget,2,black,2,law,10
