;covid19;testing;#covid19;tennessee;tennesseans;new;state;health;todays;across;home;briefing;live;bulletin;care;businesses;free;economic;site;near;work;recovery;order;group;tennessees;efforts;safely;ct;tune;test;@tndeptofhealth;stay;update;facebook;reopening;help;tennessean;guidance;weekend;capacity;find;rural;expanded;visit;critical;counties;information;executive;learn;pandemic;available;tested;april;interpretation;next;close;working;lives;contact;doubt;sick;drivethrough;economy;89;states;local;fight;reopen;300;95;ppe;popup;starting;remain;et;sites;phased;@tnedu;child;important;distancing;relief;ensure;starts;guidelines;business;social;asl;#tnstayapart;safety;part;400;take;tn;support;lines;county;call;spread;unifiedcommand
covid19;0;42;2;34;28;30;20;24;24;28;20;20;14;20;20;12;24;16;16;16;8;10;16;16;8;8;8;12;10;10;10;8;10;10;0;14;12;2;12;10;8;14;10;14;14;0;12;10;4;14;18;4;12;2;10;6;6;6;6;6;4;8;8;0;6;8;12;2;2;0;12;2;6;4;6;10;2;4;6;2;0;8;6;0;0;6;0;4;4;6;2;2;4;12;6;10;12;12;6;8
testing;0;0;40;22;22;24;14;20;14;28;4;14;10;18;8;2;34;6;34;34;6;6;8;6;6;22;6;8;8;18;4;4;12;10;12;0;8;6;24;8;20;12;22;2;2;0;2;8;6;0;14;10;6;8;10;8;2;0;8;14;6;18;0;0;4;2;0;0;8;0;0;14;6;0;4;16;4;4;2;0;0;2;0;6;0;0;0;4;0;0;2;6;0;0;0;0;12;4;0;10
#covid19;0;0;0;20;20;30;24;14;26;20;8;24;16;30;10;4;16;14;20;20;12;14;14;10;10;14;4;16;12;16;6;8;12;14;16;8;2;10;16;2;16;8;12;4;0;0;6;12;16;0;0;10;2;14;8;10;8;4;10;12;10;10;2;0;0;2;2;0;12;0;0;16;0;2;8;4;10;6;0;4;8;4;4;16;2;4;8;6;0;4;4;12;0;0;6;0;2;0;6;6
tennessee;0;0;0;0;8;18;4;10;6;18;14;4;2;12;4;14;12;8;6;10;6;8;10;12;4;6;6;0;2;2;4;10;4;0;14;8;0;4;4;4;2;12;4;0;4;8;0;10;0;6;0;2;8;2;4;4;6;10;4;0;2;0;6;8;2;4;6;10;2;8;0;2;4;0;0;4;4;4;0;2;2;6;4;0;8;6;2;2;6;0;6;0;6;0;2;0;8;0;4;2
tennesseans;0;0;0;0;0;6;26;16;8;16;14;8;6;4;12;2;16;4;12;8;14;4;6;8;2;8;12;4;4;6;6;6;2;6;4;10;0;2;10;8;8;0;4;4;6;2;2;4;2;2;8;2;4;4;2;2;2;6;2;4;2;6;4;2;10;2;6;4;4;2;0;8;0;6;0;6;2;0;4;8;10;4;2;0;2;2;10;4;0;2;2;0;0;2;0;0;0;6;2;4
new;0;0;0;0;0;0;4;6;6;12;6;8;2;42;10;8;4;12;6;6;2;10;18;6;8;4;2;2;2;2;0;4;6;2;10;0;0;6;12;6;6;6;10;4;2;2;6;16;0;0;4;4;6;2;10;10;2;0;10;0;4;6;2;2;2;2;0;2;2;2;2;4;0;2;0;4;6;4;4;2;0;6;0;0;2;0;0;2;0;0;2;0;0;0;4;2;2;0;0;4
state;0;0;0;0;0;0;0;16;8;28;12;4;0;0;4;6;14;6;14;10;14;6;2;6;4;4;10;0;0;8;2;4;2;0;4;12;10;2;10;2;8;6;2;0;2;0;2;0;6;0;2;2;4;0;4;2;8;8;2;8;6;10;6;0;0;4;2;2;0;0;2;8;0;6;0;4;4;0;0;2;8;2;4;0;0;2;8;0;0;8;2;0;4;0;2;2;4;0;6;6
health;0;0;0;0;0;0;0;0;6;20;6;2;0;6;26;10;18;2;14;12;6;2;6;2;4;6;8;0;0;4;0;2;0;0;0;10;10;4;0;6;2;12;4;6;12;2;4;4;0;2;2;2;4;0;4;0;2;0;0;0;0;4;2;2;6;4;10;2;0;2;12;2;2;2;0;4;0;0;2;2;4;2;0;0;2;2;4;0;0;8;0;0;2;6;0;12;12;0;0;0
todays;0;0;0;0;0;0;0;0;0;2;6;42;22;12;6;4;0;10;0;0;6;10;4;8;6;12;4;20;16;2;0;0;12;16;6;6;6;6;2;4;0;6;6;2;0;0;2;4;0;2;0;0;2;14;6;0;4;0;0;2;0;0;4;0;2;2;0;0;12;0;0;0;0;2;14;0;8;2;0;0;2;4;2;16;2;0;2;6;0;2;0;12;0;2;6;0;0;0;2;2
across;0;0;0;0;0;0;0;0;0;0;2;0;2;2;4;4;28;6;24;22;2;6;2;8;4;4;2;0;2;6;4;0;4;0;0;0;0;2;16;0;10;14;8;0;0;2;0;2;2;2;2;4;4;2;2;4;4;0;4;6;4;14;4;0;0;6;0;0;2;0;2;14;0;0;0;8;2;0;0;0;0;0;2;0;0;2;0;2;0;6;0;0;0;2;0;2;14;0;0;8
