;great;people;united;states;president;trump;new;thank;federal;american;house;democrats;number;help;good;police;market;statement;government;best;news;white;big;state;post;job;man;article;talking;running;free;source;election;major;americans;pete;work;arrested;friend;amazing;national;fact;name;thing;ready;donald;senate;killed;administration;incredible;program;orlando;love;city;citizen;little;record;point;senator;funding;texas;cup;quest;case;thought;browns;country;17;york;week;black;washington;announced;dallas;night;take;republican;massive;world;officer;hall;working;department;human;press;hard;experience;political;set;summer;ohio;nfl;committee;friday;however;marathon;senior;million;obama;morning
great;0;10;0;0;0;4;4;6;2;2;0;2;0;4;2;0;0;2;2;4;4;0;0;2;2;4;4;2;4;0;0;0;0;0;0;2;4;0;0;4;2;0;2;2;4;4;2;0;0;2;0;0;2;2;0;2;0;0;2;4;0;0;0;0;2;0;6;2;0;0;0;0;2;2;0;2;2;0;2;0;2;2;2;0;0;2;0;0;2;0;0;6;2;0;2;0;0;4;0;0
people;0;0;4;8;6;2;4;4;2;4;0;4;2;2;2;0;0;4;0;4;4;0;2;2;2;0;0;2;4;0;0;0;0;0;2;0;0;0;4;0;2;4;0;2;6;0;2;2;2;2;2;0;0;2;0;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4;0
united;0;0;0;22;8;2;2;2;2;0;4;0;2;2;0;0;0;0;4;2;0;2;0;0;0;0;0;2;2;0;0;0;2;0;0;0;2;0;2;0;0;2;0;4;0;2;2;0;2;0;2;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;2;0;2;0;2;0;0;2;0;2;0;0;0;0;0;2;0;2;0;2;2;2;0;0;2;4;0;2;0;2;2;0
states;0;0;0;0;4;2;2;2;2;0;2;0;4;2;0;0;0;2;2;4;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;4;0;2;0;0;2;2;2;0;4;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;2;0;2;0;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;2;2;2;0;0;2;2;0;2;0;2;4;0
president;0;0;0;0;0;12;2;0;4;2;4;2;0;0;0;0;2;0;2;2;0;2;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;4;0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;2;2;0;2;0;0;0;2;0;2;4;0;0;2;0;2;0
trump;0;0;0;0;0;0;2;2;0;2;2;0;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;6;0;2;4;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
new;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;0;4;0;4;0;2;0;2;2;2;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;2;0;2;0;0;0;2;0;0;0;0;6;0;0;2;2;0;2;0;2;0;2;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;4;0;2;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;2
federal;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;2;4;0;0;0;2;0;0;0;4;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0
american;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;4;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;6;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;2;0;2;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2
