;montanans;covid19;health;montana;state;public;spread;home;stay;care;take;slow;virus;social;continue;coronavirus;healthy;help;front;montanas;measures;distancing;emergency;preparing;announced;families;states;communities;work;friends;family;together;without;working;doctors;students;days;thank;food;ensure;governors;fight;community;schools;face;individuals;positive;businesses;curve;taking;respond;patients;resources;impact;economic;week;access;neighbors;montanan;workers;cannot;patient;officials;support;staying;actions;prepare;times;four;line;recommending;protect;healthcare;grocery;education;store;love;school;maryland;providing;order;service;potential;weeks;system;fellow;essential;increase;across;possible;provide;flatten;means;doubt;use;publics;facilities;committed;save;tested
montanans;0;22;22;8;14;14;18;12;8;6;8;8;8;8;8;6;4;2;4;2;2;6;2;2;2;2;2;6;6;2;0;4;6;6;4;0;4;6;0;2;0;4;4;4;4;0;2;0;2;2;0;0;2;4;2;2;2;2;0;2;0;0;6;0;6;2;2;2;2;2;4;2;0;0;0;0;2;0;2;2;4;4;2;6;0;4;2;0;4;2;2;0;2;2;4;2;4;4;4;2
covid19;0;0;10;14;12;8;16;12;6;12;6;10;4;8;2;2;2;4;8;6;6;8;4;2;8;2;2;4;4;2;4;6;10;4;6;0;2;8;2;4;2;6;8;6;4;0;6;2;4;0;0;4;4;4;0;0;4;0;6;6;0;2;2;2;4;2;4;4;6;2;6;4;2;2;2;2;2;0;2;4;2;2;2;2;0;2;2;0;6;0;4;2;2;2;2;2;6;0;0;4
health;0;0;0;8;2;16;6;6;10;6;4;0;0;2;8;4;6;4;0;2;2;0;2;4;0;2;2;4;4;2;2;0;2;4;2;2;2;2;0;2;0;2;0;2;8;2;0;0;2;2;0;0;0;2;2;2;4;2;0;4;0;0;8;0;0;0;0;0;0;2;0;4;2;0;2;0;0;0;2;2;0;2;2;4;2;2;4;0;0;4;4;2;0;2;6;6;4;4;0;0
montana;0;0;0;0;10;8;6;4;0;0;6;4;2;2;8;8;2;4;2;4;4;2;0;10;8;4;0;0;2;4;4;4;0;4;2;2;2;0;2;2;2;0;2;4;0;2;6;6;0;4;4;2;0;0;0;0;0;2;4;0;0;6;2;4;2;2;2;2;4;2;2;0;0;0;2;0;4;0;6;2;0;4;0;2;2;4;0;0;2;2;4;0;0;6;0;4;0;4;2;4
state;0;0;0;0;0;0;0;2;0;4;6;0;0;0;2;8;0;0;4;2;0;0;4;4;6;0;2;0;2;0;0;2;4;2;0;0;2;2;0;2;2;0;2;0;2;0;2;0;2;2;6;2;4;4;0;2;0;0;4;0;0;2;0;0;2;0;6;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;4;0;0;0;0;2;4;0;0;0;4;2;0;0;0;0;0;2
public;0;0;0;0;0;0;12;8;6;0;6;8;2;8;4;0;0;0;0;0;8;6;2;2;6;2;2;4;2;2;2;2;0;6;0;0;0;0;2;2;0;0;0;8;2;2;0;2;0;0;0;0;0;4;2;0;0;2;0;0;0;0;6;0;0;0;0;2;0;2;4;4;0;2;0;2;0;0;2;2;2;2;0;4;0;0;2;0;0;4;0;0;0;0;4;0;2;4;0;0
spread;0;0;0;0;0;0;0;8;2;2;8;14;6;12;6;2;2;0;0;0;6;10;0;0;6;0;0;2;2;0;0;2;4;2;2;0;2;2;2;2;0;2;4;6;2;2;0;4;2;2;0;2;0;0;4;0;0;0;0;0;2;0;2;0;4;4;2;2;2;0;6;2;0;0;0;0;0;0;0;2;4;2;2;2;0;2;0;0;0;0;0;2;0;0;0;0;2;0;2;0
home;0;0;0;0;0;0;0;0;12;0;0;4;4;6;0;0;2;2;0;2;4;4;2;0;2;0;0;2;0;2;2;0;0;0;2;0;2;2;0;0;0;2;2;2;0;4;2;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;8;0;0;0;2;0;4;4;2;2;0;2;2;0;0;0;4;0;0;2;0;0;2;0;0;2;2;2;2;0;2;0;4;0;2;0
stay;0;0;0;0;0;0;0;0;0;2;0;4;2;2;0;0;4;2;2;2;4;2;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;0;2;4;0;0;0;0;0;2;2;0;0;4;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;2;0;0;0;0;4;2;0;0;0;0;4;0;0;2;0;2;0;0;2;0;2;0;2;0
care;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;2;0;2;2;0;2;0;2;0;0;0;0;2;0;2;0;8;0;2;0;0;4;0;6;0;2;0;0;2;0;0;0;0;0;2;4;0;0;0;0;6;0;0;4;0;0;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;2;2;2;0;2;0;0;0;2;0;2;0;0;0
