;covid19;north;state;dakota;todays;watch;nd;press;spread;ct;briefing;cases;health;@nddoh;care;stay;testing;grateful;330;slow;live;continue;confirmed;dakotas;help;dakotans;positive;join;work;protect;citizens;thanks;important;new;together;safety;home;community;local;lives;working;states;order;coronavirus;nds;executive;public;tests;response;#ndsmart;education;conference;workers;update;facilities;pandemic;service;great;team;leaders;#ndsots20;@potus;responsibility;latest;grand;forks;learn;businesses;people;crisis;capacity;county;communities;#ndsmartrestart;federal;economy;#ndgov;begins;take;emergency;discuss;fargo;honor;essential;business;process;share;support;@ndnationalguard;national;efforts;rate;healthy;details;4;across;april;future;contact;guidelines
covid19;0;76;40;42;92;78;50;74;68;80;72;54;42;50;34;16;38;12;64;46;48;34;42;22;20;16;34;28;16;16;12;8;20;28;14;8;20;16;8;10;12;10;12;10;10;12;10;22;26;18;2;10;14;24;10;22;0;2;8;6;0;12;12;16;8;8;10;8;4;16;18;12;8;16;16;6;0;20;10;12;12;6;2;8;0;4;6;10;8;2;8;10;4;12;14;2;6;0;10;12
north;0;0;40;114;24;28;20;18;30;14;16;24;24;16;26;16;8;30;14;26;14;22;20;52;18;48;18;10;18;16;20;16;18;14;12;12;20;10;12;8;12;14;6;14;4;8;4;12;8;10;10;12;10;2;6;10;8;10;8;14;6;0;6;16;6;6;8;8;6;6;4;4;10;4;12;14;6;0;8;8;12;2;8;4;8;4;2;4;4;6;6;4;8;8;2;10;2;14;4;4
state;0;0;0;30;10;12;18;8;18;4;2;12;6;10;4;6;20;10;2;10;8;10;6;2;8;8;4;4;14;8;8;8;10;4;10;6;6;14;12;8;10;2;2;4;2;4;10;4;6;2;2;8;0;4;2;2;14;6;4;2;12;0;0;6;10;10;4;4;8;4;8;10;6;2;6;0;10;0;0;8;2;8;6;2;2;2;2;8;2;4;4;2;6;4;0;10;0;4;6;6
dakota;0;0;0;0;16;24;10;14;12;12;12;14;6;8;12;14;6;18;10;12;8;10;8;2;10;8;10;6;6;10;18;10;10;4;6;4;12;2;8;6;8;10;0;6;0;0;4;6;4;2;8;8;2;2;4;4;6;2;4;6;8;0;4;16;0;0;4;6;6;2;2;2;4;2;8;2;8;0;4;6;10;0;0;2;2;0;0;0;2;4;6;2;6;6;2;8;2;10;4;2
todays;0;0;0;0;0;82;2;74;2;76;76;4;6;18;6;0;4;2;56;2;40;2;0;6;0;2;0;22;0;0;0;6;2;0;2;0;0;2;2;0;0;0;4;0;2;6;2;2;2;0;2;4;2;22;4;2;4;0;2;4;0;0;0;6;2;2;0;0;2;0;0;2;0;2;0;0;0;22;0;0;4;4;0;0;0;0;0;0;2;2;2;0;0;0;18;0;0;0;2;2
watch;0;0;0;0;0;0;4;70;2;70;62;2;2;16;2;0;2;2;50;2;46;0;0;4;0;0;2;14;0;0;0;2;4;2;0;0;0;0;0;0;2;0;0;4;2;2;0;2;4;0;2;12;0;18;2;6;2;0;2;2;0;0;0;10;0;0;0;0;0;0;0;2;0;2;0;0;0;20;0;2;8;2;0;0;0;2;0;0;0;0;4;0;0;0;14;0;0;0;4;2
nd;0;0;0;0;0;0;0;0;22;4;2;18;16;12;8;4;16;10;2;6;2;16;16;6;16;4;12;4;12;4;6;14;10;14;4;4;4;8;8;4;12;4;0;4;6;0;4;10;8;6;0;2;6;0;6;6;4;4;12;2;2;10;6;4;0;0;6;6;0;0;12;2;4;2;10;0;2;0;2;10;4;0;0;4;2;6;4;4;4;6;6;4;0;2;0;6;2;0;2;2
press;0;0;0;0;0;0;0;0;4;58;82;4;2;14;4;2;2;0;40;2;30;0;2;4;0;0;4;16;0;0;2;0;0;2;0;0;0;0;0;0;4;2;0;2;0;2;0;0;6;0;2;18;0;2;2;4;0;0;0;4;0;0;0;2;2;2;0;0;0;0;0;4;0;0;0;0;0;14;2;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;2;0
spread;0;0;0;0;0;0;0;0;0;0;0;28;8;20;6;18;12;6;0;60;0;28;24;8;20;12;20;0;8;14;8;0;14;10;6;4;20;10;6;6;10;2;4;18;6;4;6;12;4;16;0;6;2;0;6;0;0;0;0;2;0;2;12;2;2;2;10;4;2;4;10;6;2;6;4;4;0;0;10;2;2;0;0;0;2;2;2;2;0;0;4;6;4;0;0;2;8;0;4;8
ct;0;0;0;0;0;0;0;0;0;0;60;2;2;14;2;0;2;0;62;0;38;0;2;2;0;0;2;26;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;22;0;2;0;0;0;4;0;0;0;10;0;0;0;0;0;0;0;2;0;2;0;0;0;22;0;0;6;4;0;0;0;0;0;0;2;2;0;0;0;0;16;0;0;0;2;2
