;rhode;thank;islanders;coronavirus;crisis;help;please;everyone;#askgovraimondo;hard;businesses;working;health;riers;together;face;families;available;new;safe;home;support;people;care;site;work;virus;lost;ri;order;questions;share;call;family;still;public;proud;special;school;important;state;announce;ways;loved;april;means;looking;program;find;students;grateful;@rihealth;members;testing;workers;visit;ones;may;rules;community;stay;difficult;friends;coverings;take;youve;hope;week;sad;continue;quarantine;wear;business;cant;communities;anyone;physically;staff;prayers;social;taking;loan;remind;sign;island;jobs;soon;incredibly;violence;contact;thoughts;across;announced;employees;kids;provide;faith;asked;federal;enough
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;4;0;6;6;0;0;2;0;0;0;2;0;0;0;6;0;2;0;0;0;0;6;0;12;0;0;0;2;0;2;0;0;0;2;0;2;0;0;0;2;4;2;0;4;0;0;0;4;0;0;2;0;0;0;6;2;0;6;0;0;0;0;0;0;0;0;0;2;2;0;0;0;6;0;0;0;0;4;0;0;0
face;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;4;2;0;2;4;0;0;0;0;0;6;0;2;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;14;4;0;0;4;0;0;0;10;0;0;0;4;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0
families;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;4;0;0;2;12;2;0;0;4;0;2;0;2;2;0;0;0;2;4;0;2;2;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;2;8;0;0;0;0;0;6;0;0;0;0;0;2;0;2;2;8;0;0;0;0;0;0;0;0;0;0;0;8;4;0;0;2;2;0;0;0;0
available;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;2;0;2;6;0;0;0;2;0;0;4;2;0;2;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;2;0;2;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;4;2;0;2;0;6;0;0;0;0;0;2;0;0;0;0;2
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;4;2;0;2;2;0;0;2;0;0;0;0;6;2;4;0;2;4;0;0;0;0;0;2;2;0;0;2;0;4;0;0;0;2;2;0;2;0;0;0;4;0;4;0;0;0;4;2;0;0;0;0;0;0;0;0;0;4;0;2;4;0;0;0;0;0;0;2;4;2;2;0;0;0;0;0
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;4;0;2;2;0;2;4;0;0;0;2;2;0;2;2;2;4;2;2;2;0;0;2;0;0;4;0;0;2;0;0;6;0;0;0;4;0;4;0;0;0;2;0;2;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;4;0;2;2;0;0;0;0;2
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;8;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;2;0;2;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;4;0;0;0;0;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;4;0;4;4;10;2;0;0;4;0;2;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;0;4;0;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;2;0;0;0;4;0;0;2;0;0;0;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;0;0;0;2;0;0;0;0;4;2;0;0;2;2;4;0;2;0;0;2;2;0;0;0;4;2;0;0;0;0;0;0;2;0;6;2;0;0;2;0;0;0;0;2;4;0;0;2;0;0;2;2;0;2;6;0;0;0;0;0;2;0;0;0;0;4;0;2;2;0;0;0;0;0
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;4;2;2;2;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;4;0;0;2;2;4;4;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;2;2;2;0;2;0;0
site;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;4;4;0;4;0;0;0;0;4;0;0;0;4;0;0;4;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;6;0;2;0;0;0;2;0;2;2;0;0;0;0;0;6;0;0;4;0;0;0;0;0;0;0;4;0;0;0;2;2;2;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;6;0;4;0;2;0;0
virus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;2;2;2;0;2;0;2;0;2;0;2;0;0;0;0;0;2;0;0;2;0;2;2;2;2;0;0;0;0;0;4;0;2;0;2;2;0;0;0;4;0;0;0;4;2;0;0;0;2;0;4;0;2;0;4;4;0;0;0;0;0;0;0;0;0
