;help;covid19;canada;support;country;canadians;across;people;work;together;safe;spoke;working;health;home;business;details;workers;weve;call;live;watch;update;family;businesses;taking;world;emergency;thank;stay;response;everyone;thanks;making;food;canadian;benefit;continue;giving;protect;care;friends;click;focused;talked;tune;spread;pandemic;countries;morning;year;steps;communities;fight;situation;families;measures;helping;announcing;difficult;thoughts;impacts;meeting;economy;⤵️;talk;jobs;important;earlier;strong;economic;week;phone;international;announced;times;virus;able;president;loved;keeping;prime_minister;good;apply;ones;government;latest;leaders;global;lives;whether;info;month;hard;front;lost;million;forward;community;next
help;0;24;22;18;24;8;16;14;14;12;12;4;8;4;4;24;6;12;6;2;8;6;12;8;14;12;6;16;8;0;0;6;4;12;6;2;6;2;6;12;2;4;8;4;4;8;2;16;2;2;0;10;4;2;2;4;4;0;4;2;0;2;4;4;2;2;14;2;0;2;8;6;0;0;4;4;0;6;2;0;8;2;0;4;0;2;2;4;2;2;4;2;2;6;2;0;4;4;2;2
covid19;0;0;10;16;12;4;10;18;12;18;24;34;14;8;2;2;6;4;4;16;6;6;16;2;2;10;14;2;4;0;12;0;2;6;2;0;2;6;12;8;0;0;2;4;16;12;4;24;22;14;0;10;2;16;8;2;2;2;2;2;0;10;0;2;2;0;4;4;8;2;6;0;14;12;2;4;14;0;10;0;8;14;4;0;0;4;8;0;14;4;0;4;0;6;6;0;6;2;0;0
canada;0;0;0;10;12;0;12;4;10;6;4;8;8;6;0;16;4;6;8;4;6;6;4;4;4;4;6;22;2;0;2;0;0;4;2;0;10;2;2;2;0;0;4;0;0;4;0;4;10;2;0;2;2;4;0;4;2;2;2;0;0;2;0;2;0;0;6;2;2;2;0;4;0;0;2;0;2;4;0;0;4;2;0;6;0;0;2;0;2;0;0;4;6;4;2;0;0;2;0;0
support;0;0;0;0;28;8;22;4;14;16;10;8;14;4;4;8;4;6;2;4;8;6;14;6;4;4;2;6;0;4;4;6;2;6;8;0;2;6;10;4;4;0;2;10;2;12;0;12;0;2;0;4;4;0;2;4;0;2;12;6;0;4;4;4;6;0;2;6;0;0;0;2;2;0;4;4;0;2;0;0;6;0;0;4;0;6;8;2;0;2;6;12;0;0;0;0;2;2;0;0
country;0;0;0;0;0;14;58;8;10;8;2;2;16;6;2;10;0;8;4;0;8;8;12;2;12;6;8;4;4;0;4;4;2;10;2;0;2;2;8;2;4;0;0;4;2;6;0;6;2;0;2;6;6;2;4;10;0;8;6;6;0;4;0;2;2;0;8;10;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;2;0;2;2;0;0;2;2;2;2;0;2;0;4;0;2;0
canadians;0;0;0;0;0;0;10;6;6;8;0;0;4;0;4;2;2;6;4;0;4;2;2;2;6;4;6;2;2;0;2;2;2;2;0;4;0;2;4;2;0;2;0;0;0;2;0;2;0;2;0;4;2;0;2;2;4;2;2;4;8;0;0;0;0;4;6;4;0;2;0;2;0;0;2;2;0;0;0;8;2;0;2;0;8;0;0;0;0;4;2;0;0;0;0;6;2;0;0;2
across;0;0;0;0;0;0;0;4;6;4;2;0;12;6;2;8;0;8;2;0;6;6;10;0;8;6;6;4;4;0;4;4;2;6;2;0;2;2;8;0;2;0;0;2;0;6;0;4;2;0;2;6;4;2;4;8;0;8;6;4;0;4;0;2;2;0;2;10;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;2;0;2;2;0;0;2;2;2;2;0;2;0;2;0;2;0
people;0;0;0;0;0;0;0;0;6;10;14;12;4;4;2;0;0;4;2;4;2;2;2;4;2;6;8;2;0;0;0;0;0;0;0;0;2;2;0;2;4;2;2;4;10;0;4;6;4;2;0;6;0;0;2;2;2;2;0;0;2;2;4;2;0;2;4;0;4;4;4;0;6;2;2;0;2;0;4;0;4;6;0;0;0;0;2;4;6;0;0;0;0;0;2;0;6;2;0;0
work;0;0;0;0;0;0;0;0;0;12;6;6;4;6;0;4;4;2;4;0;8;4;6;2;2;2;8;2;8;0;2;2;2;4;2;2;2;4;4;2;0;0;0;2;2;6;0;8;10;0;0;0;0;2;2;0;0;0;2;2;2;2;2;4;4;2;6;4;0;0;4;6;2;0;2;0;2;2;0;2;0;2;0;0;2;6;4;2;6;2;2;0;0;2;4;2;4;0;0;0
together;0;0;0;0;0;0;0;0;0;0;8;16;16;2;6;2;4;2;4;10;4;4;2;6;6;4;12;2;0;0;0;0;2;0;4;0;0;4;0;2;2;0;0;4;8;2;0;4;12;6;2;6;0;2;0;0;2;0;2;4;0;4;4;4;0;0;4;2;0;2;8;4;4;4;4;4;4;2;4;0;2;6;2;0;0;4;0;4;6;2;2;4;0;2;0;0;0;2;0;2
safe;0;0;0;0;0;0;0;0;0;0;0;12;14;6;2;0;6;2;0;8;4;4;12;2;0;10;2;0;6;2;4;0;0;4;0;0;2;2;8;0;2;0;0;10;6;6;6;6;4;2;0;10;2;2;2;2;0;2;2;0;0;2;2;2;0;0;0;0;2;0;2;6;4;2;0;0;4;2;4;0;10;4;0;0;0;0;0;0;4;2;2;2;2;2;6;0;2;0;0;0
