;covid19;update;governor;hutchinson;live;provides;arkansas;news;conference;holding;provide;work;watch;state;health;continue;130pm;law;states;enforcement;public;across;protests;springs;recognize;announced;masks;number;hot;response;united;president;people;rogers;grateful;honored;todays;best;discuss;able;fund;protect;war;covering;face;economic;lives;seen;6320;national;recent;community;ward;county;another;unified;nearly;america;guidelines;confident;birthday;peaceful;sunday;flag;end;following;fight;wearing;nation;critical;stopping;throughout;world;pine;million;proud;6120;importance;daily;weekend;officials;department;razorback;home;higher;bluff;meeting;pandemic;happy;contact;ptsd;deal;missed;student;tracing;traumatic;affects;spread;leadership;commission
covid19;0;70;44;44;44;44;8;16;16;16;18;4;16;6;4;8;14;0;0;0;4;2;0;6;2;4;4;4;6;4;0;0;0;4;2;2;6;2;2;4;2;2;0;4;4;2;2;2;2;0;0;2;0;4;2;0;0;0;0;0;0;0;0;2;0;0;4;4;0;4;2;2;0;4;2;2;2;2;4;0;4;4;0;4;2;4;0;2;0;2;0;2;0;0;2;0;0;4;0;0
update;0;0;44;44;44;44;2;16;16;16;18;2;16;2;4;2;14;0;0;0;4;0;0;4;0;4;0;4;4;2;0;0;0;4;2;0;6;2;0;4;2;0;0;2;2;0;2;2;2;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;4;2;0;2;2;2;0;4;4;0;4;2;4;0;0;0;2;0;0;0;0;2;0;0;2;0;0
governor;0;0;0;52;52;44;2;2;2;0;0;2;0;0;0;0;0;4;0;4;0;2;4;2;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;4;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
hutchinson;0;0;0;0;52;44;2;2;2;0;0;2;0;0;0;0;0;4;0;4;0;2;4;2;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;4;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
live;0;0;0;0;0;44;2;2;2;0;0;2;0;0;0;0;0;4;0;4;0;2;4;2;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;4;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
provides;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arkansas;0;0;0;0;0;0;0;2;2;2;0;6;2;12;0;4;0;2;2;0;0;8;4;2;2;2;4;4;2;4;0;2;2;0;2;0;0;2;2;0;0;0;0;0;0;2;0;2;0;2;4;0;2;2;4;0;2;0;0;2;2;0;0;0;0;0;2;0;4;0;2;2;0;0;0;4;2;0;0;2;0;0;2;2;2;0;0;2;2;0;0;2;2;2;0;0;0;0;0;2
news;0;0;0;0;0;0;0;0;22;20;16;2;18;0;0;0;14;4;0;4;0;2;4;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
conference;0;0;0;0;0;0;0;0;0;20;16;2;18;0;0;0;14;4;0;4;0;2;4;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
holding;0;0;0;0;0;0;0;0;0;0;16;2;18;0;0;0;14;2;0;2;0;2;4;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
