;united;states;great;american;new;trump;president;people;clinton;campaign;democrats;white;men;announce;released;hillary;working;attack;police;looking;americans;important;history;shooting;government;court;man;state;called;job;largest;city;washington;federal;dead;website;company;good;america;flower;real;economy;spent;democratic;iraq;thank;house;news;able;corrupt;fact;j;virginia;bring;political;part;pleased;media;away;energy;1;bad;shot;set;second;national;money;rights;york;election;platforms;hard;asked;injured;2017;anyone;rico;decision;health;year;north;information;senator;night;game;market;philadelphia;change;law;bill;doctor;huge;majority;trying;unemployment;created;life;high;endorsed;former
united;0;28;0;4;2;2;4;2;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;2;4;4;0;6;0;0;2;0;0;2;0;2;0;0;0;2;0;2;2;0;2;0;0;2;2;0;2;0;2;0;2;0;2;2;0;0;0;0;2;2;0;4;0;4;0;2;0;0;0;0;0;0;2;4;0;0;0;0;2;0;0;0;0;4;2;2;0;0;0;2;0;0;0;0;0;0
states;0;0;0;4;2;2;4;2;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;2;4;2;0;6;0;0;2;0;0;2;0;2;0;0;0;2;0;2;2;0;2;0;0;2;2;0;2;0;2;0;2;0;2;2;0;0;0;0;2;2;0;4;0;4;0;2;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0
great;0;0;0;0;2;2;0;0;0;0;2;4;0;2;0;0;2;2;0;0;0;0;2;0;2;0;0;2;2;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;4;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0
american;0;0;0;0;2;0;4;4;4;0;2;4;0;2;0;4;2;0;0;2;2;2;4;0;0;2;0;2;4;2;2;0;4;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;4;0;2;4;2;2;2;0;0;2;0;2;0;4;0;0;0;2;0;2;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0
new;0;0;0;0;0;8;6;0;4;6;4;0;0;2;6;2;2;0;0;0;2;2;2;0;0;2;0;2;6;0;2;2;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;2;2;4;2;2;0;2;0;4;0;0;0;0;0;0;0;0;6;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0
trump;0;0;0;0;0;0;6;0;0;8;2;2;0;0;4;0;2;2;0;0;0;0;2;0;0;0;2;0;0;2;2;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;4;2;0;6;2;0;4;0;0;4;0;2;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2
president;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;2;2;2;0;0;0;2;0;0;0;2;2;0;0;0;0;2;2;0;0;2;0;2;2;2;0;4;2;0;0;2;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;2;2
people;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;4;4;2;2;2;2;0;0;2;2;0;0;4;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;2;2;2;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0
clinton;0;0;0;0;0;0;0;0;0;2;2;0;0;2;4;10;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0
campaign;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;2;0;0;0;2;0;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;2;0;2;0;2;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;2;0;0;0;2;4;0;0;0;0;2;0;0;0;4;0;0;0;0;0;4;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0
white;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;2;0;2;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0
men;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0
announce;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0
released;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;4;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
hillary;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;2;0;2;2;0;0;4;0;0;0;0;0;2;0;0;2;0;0
attack;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
looking;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;4;0;0
americans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;2;0;0
important;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
shooting;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0
called;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
