;president;states;trump;united;people;great;new;state;totally;american;thank;federal;best;house;history;court;year;party;war;white;republican;leader;proud;senate;national;administration;big;nothing;donald;obama;committee;week;2017;fake;strong;world;hillary;troll;win;using;help;million;carolina;country;south;campaign;decision;department;latest;trying;iraq;nfl;dem;russia;thing;congress;law;end;care;terrorist;amazing;reserve;event;working;lower;seen;source;economy;combine;knee;election;ruling;constitution;wonderful;important;#maga;conversation;political;fbi;regulations;take;good;castro;product;america;wednesday;strongly;supreme;sanders;government;nation;certain;health;removed;thursday;news;military;largest;intelligence;order
president;0;6;16;8;4;8;0;0;4;4;4;0;0;2;2;2;0;0;0;2;0;2;4;0;6;4;2;2;2;4;0;2;0;2;2;0;2;0;2;2;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;4;2;4;2;2;0;2;2;0;2;2;2;0;2;2;0
states;0;0;4;28;0;2;2;2;2;2;2;2;0;2;4;2;4;0;4;2;2;4;0;2;0;0;2;2;2;2;0;0;2;0;0;4;0;0;0;4;2;0;0;2;2;0;0;0;0;0;6;0;0;2;0;2;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;2;2;2;2;0;0;2;4;0;2
trump;0;0;0;6;2;2;2;2;6;0;2;2;0;2;0;0;0;2;2;2;4;0;4;0;6;2;2;2;10;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;2;2;0;2;2;2;0;0;0;4;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;4;0;2;2;0;0;0;2;0;0;0;2;4;0;2;0;4;2;0;0;2;2;0;0;2;0
united;0;0;0;0;2;2;2;0;2;2;2;0;0;2;4;0;4;0;4;2;2;4;0;2;0;0;2;2;2;2;0;0;2;0;0;4;0;0;0;2;2;0;0;2;2;0;0;2;0;0;6;0;0;2;0;2;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2;2;2;0;0;2;4;0;2
people;0;0;0;0;0;8;0;2;0;2;0;0;0;0;0;0;0;2;0;2;2;0;4;0;2;0;4;2;0;0;2;0;2;0;2;2;0;0;0;0;0;2;2;2;0;2;0;4;4;0;0;0;2;0;0;0;0;0;2;0;4;0;0;2;2;2;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
great;0;0;0;0;0;0;0;2;4;8;4;0;2;0;0;0;2;0;2;0;2;0;6;0;4;0;4;2;0;0;2;2;0;4;2;0;0;0;4;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0
new;0;0;0;0;0;0;0;2;0;0;0;4;0;4;0;0;2;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;2;0;2;0;0;2
state;0;0;0;0;0;0;0;0;0;2;2;6;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;4;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0
totally;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;2;2;0;2;2;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0
american;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;6;0;0;0;0;0;4;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;2;2;2;0;2;0;0;0;0;0;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;8;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;2;2
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
