;trump;new;states;great;united;people;president;government;house;news;york;democrats;thank;national;data;lot;good;nothing;year;media;man;justice;police;donald;country;american;pay;department;big;week;place;senate;intelligence;investigating;party;2016;calling;court;looking;put;presidential;amazing;old;death;case;love;act;ukraine;politics;fbi;totally;political;possible;committee;americans;texas;group;help;final;guard;whole;support;mueller;ryan;could;article;understand;end;general;security;state;away;penalty;number;campaign;history;thing;working;special;set;money;19;spark;game;russian;making;election;former;fake;community;obama;ferguson;important;happens;powerful;released;worst;hotel;times;nfl
trump;0;6;4;2;4;4;4;0;4;0;2;4;0;2;0;2;0;2;0;4;6;0;0;12;2;2;0;0;2;0;0;0;0;2;2;0;0;0;0;2;2;2;0;0;4;2;0;0;2;0;4;4;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;4;0;0;0;0;0;2;0;2;0;0;2;2;0;0;2;0;2;0;2;0;0;2;0;2;2;0;0;2;2;2;0
new;0;0;2;8;2;6;0;0;0;0;12;2;0;0;0;2;4;2;0;2;0;0;0;2;0;0;0;0;4;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;2;6;0
states;0;0;0;4;28;10;4;4;0;4;2;2;0;0;0;2;0;2;0;0;0;4;0;0;4;4;2;4;0;2;0;4;0;0;0;0;0;2;0;6;2;0;2;0;0;0;2;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;0
great;0;0;0;0;4;2;2;4;0;2;4;0;2;0;0;4;4;0;2;2;0;0;0;0;0;2;0;2;4;2;0;4;2;0;0;0;2;0;2;4;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;4;2;2;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0
united;0;0;0;0;0;10;4;4;0;4;2;2;0;0;0;2;0;2;0;0;0;2;0;0;4;4;2;2;0;2;0;4;0;0;0;0;0;2;0;4;2;0;2;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;0
people;0;0;0;0;0;0;4;2;0;0;4;0;0;0;2;0;2;2;0;0;0;0;2;2;2;4;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;2;0;2;2;2;0;0;2;2;2;0;0;2;2;0;4;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;2;0;0;2;0
president;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;2;0;2;0;2;0;2;2;0;2;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;2;0;2;0;2;2;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;2;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;2;2;0;4;2;0;0;2;2;0;2;0;2;0;0;2;2;2;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0
news;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;4;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;2;0;0;0;2;0;2;0;2;0;2;2;0;0;2;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0
york;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;6;0
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;4;0;2;0;0;0;2;2;0;0;2;0;2;4;0;0;2;0;0;0;0;0;0;4;0;2;0;0;0;2;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;2;0
