;new;daily;watch;briefing;giving;york;covid;yesterday;tests;police;positive;state;ny;press;live;reform;mask;1130am;law;moment;people;hospitalizations;nyc;wear;came;fatalities;update;change;testing;nys;fell;yorkers;health;performed;todays;totaltotal;lead;states;phase;reopening;work;stop;justice;protesters;curve;president;et;real;peaceful;order;1;abuse;tested;executive;show;use;still;across;record;city;spread;violence;year;take;week;nation;good;thank;protest;legislation;saw;de;progress;virus;seeing;masks;protests;lowest;together;country;act;crisis;floyd;2;discrimination;force;officers;tune;signed;low;looting;give;#lgbtq;days;10;covid19;pandemic;plans;making;#nytough
new;0;4;6;4;2;66;20;12;2;4;4;12;6;2;6;6;8;0;6;2;8;8;12;2;0;4;2;4;8;6;6;20;4;0;0;0;2;14;8;12;2;4;2;0;8;0;0;2;0;4;2;2;6;4;4;0;4;6;8;14;2;2;6;0;0;6;4;2;4;2;4;0;6;4;4;0;0;6;4;4;0;2;0;4;4;2;2;0;4;4;0;0;0;2;2;6;4;2;6;0
daily;0;0;74;74;74;2;10;4;4;0;6;0;0;38;36;0;0;32;0;0;2;4;2;0;2;4;2;0;2;2;4;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;12;0;0;0;4;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;4;0;0;0;0;4;0
watch;0;0;0;78;74;6;4;0;0;0;0;0;0;36;40;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;14;0;2;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;8;0
briefing;0;0;0;0;74;4;2;0;0;0;0;0;0;36;38;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;6;0
giving;0;0;0;0;0;2;2;0;0;0;0;0;0;36;36;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0
york;0;0;0;0;0;0;8;2;2;2;4;10;2;2;6;4;2;0;2;2;4;0;10;2;0;0;0;4;6;4;0;0;0;0;0;0;2;8;8;10;0;4;2;0;2;0;0;2;0;0;4;2;6;0;2;0;2;4;0;14;2;0;2;0;0;6;4;0;2;2;2;2;4;2;2;0;0;0;2;2;0;0;0;4;4;0;2;0;2;0;0;0;0;0;0;4;0;2;4;0
covid;0;0;0;0;0;0;0;32;30;0;32;2;6;0;0;2;6;2;0;0;8;26;4;2;26;26;22;4;4;6;24;4;0;22;22;22;0;8;0;4;0;0;0;0;0;2;2;0;0;0;4;0;6;0;4;0;4;4;10;0;2;2;0;2;0;4;4;0;2;0;0;0;2;6;2;0;0;6;0;0;0;0;0;0;0;2;0;0;0;8;0;0;0;2;6;2;4;0;0;0
yesterday;0;0;0;0;0;0;0;0;24;0;24;0;0;0;0;0;2;0;0;0;0;28;0;0;22;28;22;0;0;0;24;6;0;22;22;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;8;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;8;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;4;0;4;0;0;0
tests;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;2;0;0;0;6;22;4;0;28;22;22;0;2;4;20;0;0;24;22;22;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;6;0;0;0;0;0;4;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;6;0;0;0;0;0
police;0;0;0;0;0;0;0;0;0;0;4;10;6;0;0;14;0;0;10;4;4;0;0;2;0;0;0;6;0;2;0;0;4;0;0;0;4;0;0;0;4;4;6;2;0;0;0;2;4;8;4;8;0;8;0;4;0;2;2;0;0;0;2;2;4;2;2;0;2;6;2;0;0;0;0;0;2;0;2;2;4;0;0;0;0;4;6;0;8;0;4;0;0;0;0;2;0;4;0;0
