;minnesotans;#buildonemn;#oneminnesota;state;access;working;local;ensure;projects;work;across;#mnleg;minnesota;affordable;thank;together;people;students;community;communities;year;broadband;mn;businesses;great;services;cant;jobs;king;#mnmlk;plan;home;insulin;quality;#insulin4all;million;honor;critical;improve;proud;safe;dr;health;greater;minnesotan;everyone;young;heard;joined;place;find;#weremembermn;deserves;corner;school;housing;victims;world;lives;water;proposal;companies;internet;committed;facing;live;call;still;support;diabetes;celebrate;building;remember;governor;divide;help;congrats;often;best;grants;economy;project;creating;workers;disability;welcoming;life;river;build;capitol;legacy;excited;stormwater;star;grownish;workforce;experiencing;employees;homelessness;@mnhealth
minnesotans;0;10;6;12;8;12;8;12;6;2;12;8;4;6;4;4;4;6;2;8;4;2;6;4;0;4;4;6;2;2;6;2;6;8;6;0;2;6;6;2;2;2;8;6;2;0;4;6;2;2;2;0;2;0;2;2;0;2;4;4;4;2;0;0;6;4;2;2;2;4;2;0;0;2;0;0;0;2;2;2;0;2;0;0;2;0;4;0;0;2;2;0;0;0;0;2;4;0;4;2
#buildonemn;0;0;0;10;2;2;8;4;10;2;8;0;6;4;0;0;2;4;2;8;2;0;0;2;0;2;4;10;0;0;8;4;0;4;0;4;0;4;2;2;4;0;0;0;4;0;0;0;0;2;4;0;4;4;2;4;0;0;2;2;6;0;0;0;0;2;4;0;0;0;0;2;0;2;0;2;0;4;0;0;0;4;2;0;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;0
#oneminnesota;0;0;0;4;4;6;2;0;2;2;4;6;6;0;4;6;2;4;4;0;4;6;4;6;4;4;4;2;0;0;0;0;0;2;0;4;0;2;2;2;0;0;2;6;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;2;2;0;2;2;0;2;0;0;0;0;0;0;0;0;2;0;0
state;0;0;0;0;4;4;8;4;10;2;12;0;2;2;4;0;0;4;2;6;2;2;6;2;0;0;4;8;0;0;8;2;0;6;0;4;0;4;4;2;2;0;4;4;4;0;2;2;0;4;2;0;4;4;0;2;0;0;0;4;2;0;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0
access;0;0;0;0;0;2;2;6;2;0;2;4;2;4;2;0;0;0;6;4;0;6;2;6;2;6;0;0;0;0;0;0;4;4;4;2;0;4;4;2;0;0;2;4;4;2;0;0;2;0;0;0;4;2;0;0;0;0;2;2;0;2;4;2;4;4;0;0;6;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;4;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0
working;0;0;0;0;0;0;0;6;0;6;4;2;2;2;2;8;4;4;2;4;2;0;4;0;0;0;4;0;2;2;0;4;0;2;0;0;2;0;2;2;0;2;6;2;2;0;2;2;0;2;2;2;2;0;2;2;0;2;0;2;0;2;0;4;2;2;2;4;0;0;2;0;0;2;0;0;0;2;2;0;2;0;0;2;0;2;0;0;2;0;2;0;0;0;0;0;0;2;0;0
local;0;0;0;0;0;0;0;2;8;0;8;2;0;2;0;0;0;2;0;6;2;4;2;4;2;4;2;8;0;0;8;2;0;4;0;2;0;6;4;2;2;0;0;2;2;0;2;2;2;2;2;0;2;0;0;2;0;0;0;2;2;2;4;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0
ensure;0;0;0;0;0;0;0;0;2;4;2;2;2;4;2;0;4;2;4;2;0;0;2;0;2;6;0;2;0;0;2;4;2;2;2;0;0;2;2;6;4;0;2;0;2;2;2;2;0;4;0;0;0;0;0;0;0;0;4;0;2;0;0;2;6;4;2;2;4;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;4;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0
projects;0;0;0;0;0;0;0;0;0;0;8;0;0;2;0;0;0;2;2;4;2;2;0;4;0;0;2;10;0;0;8;2;0;4;0;6;0;4;2;2;2;0;0;0;2;0;0;0;0;2;2;0;2;2;0;2;0;0;0;2;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;4;2;0;2;2;0;0;0;0;0;0;6;0;0;0;0;6;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;2;2;4;0;0;2;2;2;0;0;0;0;0;0;2;0;2;4;4;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
across;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;2;0;6;2;0;4;0;0;0;2;8;0;0;8;2;0;6;0;2;0;4;4;2;2;0;4;4;4;0;0;0;0;2;2;0;4;0;0;2;0;0;0;4;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
#mnleg;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;2;0;0;0;2;2;2;2;2;0;2;0;0;0;0;10;0;8;2;0;0;4;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;6;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
minnesota;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;2;2;2;2;0;2;0;2;4;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0
affordable;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;2;6;6;0;6;2;0;0;2;0;4;0;0;0;4;0;0;0;0;4;4;0;2;0;2;4;0;0;0;0;0;0;0;0;2;2;6;0;2;2;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
