;live;#covid19;fight;provide;order;et;virtual;livestream;updates;watch;ct;230;tune;130;press;conference;hold;facebook;may;website;executive;hoosiers;health;state;indiana;@statehealthin;minutes;information;15;hour;school;found;@cdcgov;#inthistogether;county;help;business;face;testing;public;additional;work;shields;medical;across;people;care;mental;businesses;spread;days;click;signed;limit;hoosier;reopen;announced;providers;positive;requirements;emergency;ppe;learning;support;stay;continue;production;hours;resources;tested;week;guidance;home;safe;number;ems;company;available;close;sites;great;students;communities;year;safely;items;call;distancing;together;gowns;workers;response;social;leaders;april;community;new;services;message;safety
live;0;90;90;90;0;90;90;90;90;90;90;90;88;90;90;88;88;82;0;0;0;0;0;0;0;0;46;0;40;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
#covid19;0;0;118;92;16;90;90;90;92;90;90;90;88;90;90;88;88;82;12;8;10;22;4;16;20;16;46;8;40;42;6;8;8;18;2;12;4;0;4;4;2;2;0;2;10;4;2;2;6;18;0;4;10;4;6;2;6;2;6;2;4;0;4;8;8;4;0;0;0;4;0;2;12;6;0;8;0;6;2;0;2;2;4;2;0;0;4;4;6;0;0;6;4;4;0;4;2;0;8;0
fight;0;0;0;92;8;90;90;90;92;90;90;90;88;90;90;88;88;82;4;2;8;4;0;4;8;6;46;2;40;42;2;2;2;10;0;8;2;0;2;0;0;2;0;2;2;0;0;0;2;8;0;2;8;0;4;0;0;0;2;0;2;0;2;2;2;2;0;0;0;0;0;0;2;2;0;4;0;0;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0
provide;0;0;0;0;6;90;90;90;90;90;90;90;88;90;90;88;88;82;4;2;6;4;6;6;6;0;46;2;40;42;6;0;0;2;4;2;0;4;0;2;0;0;4;4;0;2;4;6;2;0;2;0;2;2;0;0;2;2;0;0;4;0;4;2;0;6;2;2;2;0;2;0;0;0;4;4;2;0;0;0;0;2;0;4;0;0;0;2;0;0;0;2;2;0;2;0;2;4;0;0
order;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;8;0;58;6;8;6;8;2;0;0;2;0;12;4;2;0;4;2;4;0;0;14;10;4;2;2;0;8;8;0;6;2;4;12;16;10;2;0;2;8;4;12;8;2;8;0;8;2;0;4;0;6;2;6;8;0;0;6;0;2;2;0;0;4;0;6;0;2;0;0;0;0;0;8;0;0;4;0;4;2;0;2
et;0;0;0;0;0;0;90;90;90;90;90;90;88;90;90;88;88;82;0;0;2;0;0;0;0;0;46;0;40;42;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
virtual;0;0;0;0;0;0;0;92;90;90;90;90;88;90;90;88;88;82;0;0;0;0;0;0;0;0;46;0;40;42;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0
livestream;0;0;0;0;0;0;0;0;90;90;90;90;88;90;90;88;88;82;0;0;0;0;0;0;0;0;46;0;40;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
updates;0;0;0;0;0;0;0;0;0;90;90;90;88;90;90;88;88;82;0;0;0;0;0;2;0;0;46;0;40;42;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
watch;0;0;0;0;0;0;0;0;0;0;90;90;88;90;90;88;88;82;0;0;0;0;0;0;0;0;46;0;40;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
